time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2008-09-01,67.097297,-49.931913,676.17,-2.5934,-2.5962,79.9399
2008-10-01,67.097284,-49.932058,675.85,-8.839,-8.8353,76.7142
2008-11-01,67.097269,-49.932229,674.28,-10.8112,-10.8295,81.3601
2008-12-01,67.097245,-49.932428,670.38,-15.4373,-15.4285,71.2094
2009-01-01,67.097234,-49.932626,678.0,-13.5028,-13.4724,62.6707
2009-02-01,67.097209,-49.93275,674.96,-13.594,-13.5978,56.2237
2009-03-01,67.097174,-49.932914,676.23,-18.8556,-18.8495,62.4592
2009-04-01,67.097179,-49.933154,677.61,-11.0406,-11.0488,70.2471
2009-05-01,67.097166,-49.933339,678.43,-3.8159,-3.8235,66.0155
2009-06-01,67.097135,-49.933629,678.81,2.5129,2.5196,74.5129
2009-07-01,67.097103,-49.933953,678.37,3.3473,3.3433,74.7087
2009-08-01,67.09708,-49.934167,678.11,2.8778,2.8789,73.7976
2009-09-01,67.097064,-49.934336,678.4,-3.3832,-3.3805,78.6263
2009-10-01,67.097052,-49.934483,678.59,-8.4761,-8.4811,73.4734
2009-11-01,67.097012,-49.934687,672.72,-16.409,-16.4213,72.7644
2009-12-01,67.097026,-49.934847,680.68,-9.635,-9.6715,59.5448
2010-01-01,67.097002,-49.935028,677.27,-11.6791,-11.6763,69.9746
2010-02-01,67.09697,-49.93522,678.17,-10.1923,-10.1887,66.2525
2010-03-01,67.09698,-49.935351,682.76,-11.8549,-11.8531,64.5273
2010-04-01,67.096957,-49.935578,683.11,-7.063,-7.0662,72.8625
2010-05-01,67.09693,-49.935814,681.7,1.4346,1.4099,68.3683
2010-06-01,67.096892,-49.936191,681.3,3.4061,3.3991,73.3917
2010-07-01,67.096861,-49.936442,682.37,3.8329,3.8192,75.4599
2010-08-01,67.096829,-49.936639,680.5,4.1931,4.1798,76.3783
2010-09-01,67.096806,-49.936787,679.19,1.2162,1.2198,74.2277
2010-10-01,67.096794,-49.936943,678.84,-3.9789,-3.9843,67.1305
2010-11-01,67.096772,-49.937145,677.19,-5.738,-5.7442,63.0754
2010-12-01,67.096771,-49.937263,680.21,-6.0013,-6.0015,72.8343
2011-01-01,,,,-13.6251,-13.6217,61.812
2011-02-01,,,,-17.1303,-17.1345,69.819
2011-03-01,,,,-17.6626,-17.6723,69.8721
2011-04-01,,,,-18.8864,-18.8909,63.2215
2011-05-01,,,,-4.6828,-4.689,70.5219
2011-06-01,,,,2.7755,2.7728,73.8298
2011-07-01,,,,4.5155,4.5148,71.4082
2011-08-01,,,,3.0431,3.0488,76.3673
2011-09-01,,,,-2.3789,-2.3869,72.5043
2011-10-01,,,,-10.2976,-10.2806,71.2346
2011-11-01,,,,-13.6432,-13.6427,64.2634
2011-12-01,,,,-16.1161,-16.1074,65.5596
2012-01-01,,,,-17.7429,-17.7587,62.697
2012-02-01,,,,-15.8506,-15.8381,65.0631
2012-03-01,,,,-18.796,-18.827,64.44
2012-04-01,,,,-5.8881,-5.8746,75.7536
2012-05-01,,,,-0.3526,-0.3531,72.3468
2012-06-01,,,,3.6707,3.6686,73.467
2012-07-01,,,,4.4485,4.4452,75.2181
2012-08-01,67.096335,-49.941485,677.3,3.3295,3.3375,76.5716
2012-09-01,67.096328,-49.941601,676.31,-0.2055,-0.2116,76.4855
2012-10-01,67.09631,-49.941778,674.28,-4.9794,-4.9602,71.1033
2012-11-01,67.096291,-49.941983,673.73,-12.1159,-12.1283,68.8322
2012-12-01,67.096258,-49.942113,670.68,-13.5827,-13.5604,61.2501
2013-01-01,,,,-14.2586,-14.275,57.2582
2013-02-01,,,,-16.7873,-16.7899,60.6445
2013-03-01,67.096221,-49.942592,673.55,-11.0815,-11.0603,63.2961
2013-04-01,67.096212,-49.942753,675.56,-8.7071,-8.7075,60.6904
2013-05-01,67.096201,-49.942901,677.41,-6.9225,-6.923,69.6632
2013-06-01,67.09618,-49.943145,678.56,2.3986,2.3916,70.7758
2013-07-01,67.096147,-49.943444,676.67,3.1732,3.1695,73.2481
2013-08-01,67.096116,-49.943683,675.53,1.1401,1.1503,75.7705
2013-09-01,67.096094,-49.943877,674.63,-1.1099,-1.1068,76.3208
2013-10-01,67.096079,-49.944035,673.71,-6.5613,-6.5505,73.8433
2013-11-01,,,,-12.7531,-12.7526,72.18
2013-12-01,,,,-17.4098,-17.4264,64.3424
2014-01-01,,,,-13.2763,-13.2706,60.2534
2014-02-01,,,,-15.62,-15.6243,54.3225
2014-03-01,,,,-18.0298,-18.0328,61.5852
2014-04-01,67.095968,-49.945188,674.4,-13.9976,-13.9977,68.1036
2014-05-01,67.095946,-49.945342,675.75,-3.3819,-3.3785,74.0788
2014-06-01,67.09592,-49.945639,676.62,3.1526,3.1497,70.2949
2014-07-01,67.095874,-49.945988,675.81,3.7248,3.7245,73.3059
2014-08-01,67.095841,-49.946255,673.62,3.2541,3.2616,76.4381
2014-09-01,67.095816,-49.946439,671.83,-1.648,-1.6376,76.8295
2014-10-01,67.095807,-49.946552,671.7,-7.4773,-7.4737,72.3872
2014-11-01,,,,-11.4203,-11.4196,60.7291
2014-12-01,,,,-16.3985,-16.4104,70.6962
2015-01-01,,,,-20.6826,-20.665,63.0936
2015-02-01,,,,-22.853,-22.8435,65.8296
2015-03-01,,,,-19.1064,-19.1039,63.6397
2015-04-01,67.095704,-49.947503,673.43,-14.0881,-14.1114,69.8724
2015-05-01,67.095687,-49.947614,680.59,-4.6771,-4.7013,67.6393
2015-06-01,67.095667,-49.947826,680.05,1.7273,1.7213,70.054
2015-07-01,67.095661,-49.948188,679.5,3.3135,3.3095,72.1222
2015-08-01,67.095639,-49.948421,677.69,1.6412,1.6472,79.0838
2015-09-01,67.095612,-49.948658,676.75,-2.0451,-2.033,79.9584
2015-10-01,67.095596,-49.948804,676.19,-9.0687,-9.0668,72.187
2015-11-01,67.095571,-49.948976,675.79,-16.8922,-16.8859,67.4412
2015-12-01,67.095555,-49.949165,672.66,-20.9261,-20.9216,61.7048
2016-01-01,67.095536,-49.949329,672.76,-12.8105,-12.834,54.1994
2016-02-01,67.095528,-49.949485,676.26,-13.5247,-13.5314,56.7501
2016-03-01,67.095503,-49.949681,676.52,-11.2869,-11.2927,64.4002
2016-04-01,67.095477,-49.949887,676.04,-2.6463,-2.6708,65.3074
2016-05-01,67.095446,-49.950139,676.2,-0.578,-0.5842,74.2319
2016-06-01,67.095403,-49.950489,675.57,2.5428,2.5443,75.3757
2016-07-01,67.095424,-49.950737,673.32,3.9055,3.907,72.9802
2016-08-01,67.095473,-49.950908,671.56,2.7455,2.7461,80.2471
2016-09-01,67.095456,-49.951051,670.98,-2.7427,-2.7521,81.3574
2016-10-01,67.095444,-49.951171,670.76,-7.8309,-7.845,76.8215
2016-11-01,67.095418,-49.951288,668.08,-10.89,-10.8815,80.1782
2016-12-01,67.095418,-49.95143,669.41,-15.5309,-15.5647,69.3012
2017-01-01,67.095408,-49.951552,670.12,-16.2758,-16.2794,74.5963
2017-02-01,67.095379,-49.951705,667.94,-17.4835,-17.4833,70.2562
2017-03-01,67.095362,-49.951816,668.55,-15.638,-15.6318,71.5394
2017-04-01,67.095346,-49.951999,668.98,-11.2342,-11.236,72.6306
2017-05-01,67.095329,-49.952163,669.03,-0.7022,-0.7159,81.1012
2017-06-01,67.095297,-49.952444,668.78,1.9364,1.9414,77.9331
