time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,,,,,47.9375,KPC_L,KPC,L,month,DJF
2010-02-01,,,,,,KPC_L,KPC,L,month,DJF
2010-03-01,,,,,,KPC_L,KPC,L,month,MAM
2010-04-01,,,,,,KPC_L,KPC,L,month,MAM
2010-05-01,,,,,,KPC_L,KPC,L,month,MAM
2010-06-01,,,,,,KPC_L,KPC,L,month,JJA
2010-07-01,,,,,,KPC_L,KPC,L,month,JJA
2010-08-01,,,,,,KPC_L,KPC,L,month,JJA
2010-09-01,,,,,,KPC_L,KPC,L,month,SON
2010-10-01,,,,,,KPC_L,KPC,L,month,SON
2010-11-01,,,,,,KPC_L,KPC,L,month,SON
2010-12-01,,,,,,KPC_L,KPC,L,month,DJF
2011-01-01,,,,,,KPC_L,KPC,L,month,DJF
2011-02-01,,,,,,KPC_L,KPC,L,month,DJF
2011-03-01,,,,,,KPC_L,KPC,L,month,MAM
2011-04-01,,,,,,KPC_L,KPC,L,month,MAM
2011-05-01,,,,,,KPC_L,KPC,L,month,MAM
2011-06-01,,,,,,KPC_L,KPC,L,month,JJA
2011-07-01,,,,,,KPC_L,KPC,L,month,JJA
2011-08-01,,,,,,KPC_L,KPC,L,month,JJA
2011-09-01,,,,,,KPC_L,KPC,L,month,SON
2011-10-01,,,,,,KPC_L,KPC,L,month,SON
2011-11-01,,,,,,KPC_L,KPC,L,month,SON
2011-12-01,,,,,,KPC_L,KPC,L,month,DJF
2012-01-01,,,,,,KPC_L,KPC,L,month,DJF
2012-02-01,,,,,,KPC_L,KPC,L,month,DJF
2012-03-01,,,,,,KPC_L,KPC,L,month,MAM
2012-04-01,,,,,,KPC_L,KPC,L,month,MAM
2012-05-01,,,,,,KPC_L,KPC,L,month,MAM
2012-06-01,,,,,,KPC_L,KPC,L,month,JJA
2012-07-01,79.910928,-24.08438,373.38,,75.6377,KPC_L,KPC,L,month,JJA
2012-08-01,79.91092,-24.084309,373.09,2.2937,76.145,KPC_L,KPC,L,month,JJA
2012-09-01,79.910917,-24.084264,372.11,-6.0099,79.67,KPC_L,KPC,L,month,SON
2012-10-01,79.910918,-24.084235,370.48,-15.2699,65.1126,KPC_L,KPC,L,month,SON
2012-11-01,79.910917,-24.084252,372.57,-20.6334,62.6748,KPC_L,KPC,L,month,SON
2012-12-01,79.910904,-24.084203,369.04,-22.8763,63.0883,KPC_L,KPC,L,month,DJF
2013-01-01,79.91092,-24.08413,371.29,-21.4611,70.0398,KPC_L,KPC,L,month,DJF
2013-02-01,79.910926,-24.084155,375.38,-28.9574,51.7519,KPC_L,KPC,L,month,DJF
2013-03-01,79.910913,-24.084114,373.87,-23.4157,55.6798,KPC_L,KPC,L,month,MAM
2013-04-01,79.910917,-24.08409,372.36,-19.2029,57.2335,KPC_L,KPC,L,month,MAM
2013-05-01,79.910918,-24.084065,373.24,-10.7291,66.1941,KPC_L,KPC,L,month,MAM
2013-06-01,79.910919,-24.084039,374.06,0.706,69.5177,KPC_L,KPC,L,month,JJA
2013-07-01,79.910917,-24.083961,372.81,2.9363,72.2697,KPC_L,KPC,L,month,JJA
2013-08-01,79.910912,-24.083885,372.11,-0.7979,72.1499,KPC_L,KPC,L,month,JJA
2013-09-01,79.910911,-24.08386,371.08,-6.1991,76.5216,KPC_L,KPC,L,month,SON
2013-10-01,79.91091,-24.083831,369.38,-17.0425,65.3712,KPC_L,KPC,L,month,SON
2013-11-01,79.91091,-24.08386,370.9,-23.0375,59.6848,KPC_L,KPC,L,month,SON
2013-12-01,79.910905,-24.083706,367.87,-23.0866,65.9383,KPC_L,KPC,L,month,DJF
2014-01-01,79.910922,-24.083747,370.38,-22.7639,57.1268,KPC_L,KPC,L,month,DJF
