time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,79.834022,-25.169657,865.32,-29.7519,66.8408,KPC_U,KPC,U,month,DJF
2010-02-01,79.834023,-25.169612,866.01,-27.0769,72.3485,KPC_U,KPC,U,month,DJF
2010-03-01,79.834035,-25.169508,866.77,-29.9547,69.3487,KPC_U,KPC,U,month,MAM
2010-04-01,79.834036,-25.169513,866.44,-19.8609,74.9362,KPC_U,KPC,U,month,MAM
2010-05-01,79.834046,-25.169469,867.61,-10.0751,77.6745,KPC_U,KPC,U,month,MAM
2010-06-01,79.834052,-25.169421,868.02,-1.8639,80.3525,KPC_U,KPC,U,month,JJA
2010-07-01,79.834058,-25.169383,869.05,0.8516,78.9268,KPC_U,KPC,U,month,JJA
2010-08-01,79.834062,-25.169335,868.36,-2.9892,80.2443,KPC_U,KPC,U,month,JJA
2010-09-01,79.83407,-25.16928,867.89,-13.2245,80.1893,KPC_U,KPC,U,month,SON
2010-10-01,79.834079,-25.169225,866.52,-20.0963,76.0178,KPC_U,KPC,U,month,SON
2010-11-01,79.834083,-25.169177,864.56,-24.4408,72.1863,KPC_U,KPC,U,month,SON
2010-12-01,79.834099,-25.169151,867.78,-23.698,74.1905,KPC_U,KPC,U,month,DJF
2011-01-01,79.834095,-25.169081,863.36,-27.5524,69.0216,KPC_U,KPC,U,month,DJF
2011-02-01,79.834108,-25.168998,864.4,-27.0449,67.4893,KPC_U,KPC,U,month,DJF
2011-03-01,79.834114,-25.169042,866.7,-27.3484,72.9714,KPC_U,KPC,U,month,MAM
2011-04-01,79.834114,-25.16896,865.6,-25.7314,68.3192,KPC_U,KPC,U,month,MAM
2011-05-01,79.834123,-25.168907,867.85,-11.6057,76.8941,KPC_U,KPC,U,month,MAM
2011-06-01,79.834127,-25.168856,868.05,-2.293,77.3877,KPC_U,KPC,U,month,JJA
2011-07-01,79.834134,-25.168837,868.55,0.7522,83.4328,KPC_U,KPC,U,month,JJA
2011-08-01,79.834141,-25.168788,868.41,-2.0796,84.1031,KPC_U,KPC,U,month,JJA
2011-09-01,79.834146,-25.168733,865.66,-14.4571,71.674,KPC_U,KPC,U,month,SON
2011-10-01,79.834155,-25.168684,865.25,-21.5911,75.489,KPC_U,KPC,U,month,SON
2011-11-01,79.834158,-25.168702,864.64,-24.2225,74.805,KPC_U,KPC,U,month,SON
2011-12-01,79.834166,-25.168607,864.63,-28.3508,73.618,KPC_U,KPC,U,month,DJF
2012-01-01,79.834175,-25.168471,869.13,-26.4983,76.9248,KPC_U,KPC,U,month,DJF
2012-02-01,79.83418,-25.168477,862.9,-28.9718,73.4762,KPC_U,KPC,U,month,DJF
2012-03-01,79.834188,-25.168459,868.49,-28.0476,73.3453,KPC_U,KPC,U,month,MAM
2012-04-01,79.834193,-25.168367,865.84,-23.9659,65.2574,KPC_U,KPC,U,month,MAM
2012-05-01,79.834193,-25.168325,867.38,-12.8607,70.8194,KPC_U,KPC,U,month,MAM
2012-06-01,79.834206,-25.168312,868.24,-0.2717,79.3512,KPC_U,KPC,U,month,JJA
2012-07-01,79.834235,-25.168289,867.78,1.1649,82.7546,KPC_U,KPC,U,month,JJA
