time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,,,,,,NUK_L,NUK,L,month,DJF
2010-02-01,,,,,,NUK_L,NUK,L,month,DJF
2010-03-01,,,,,,NUK_L,NUK,L,month,MAM
2010-04-01,,,,,61.3226,NUK_L,NUK,L,month,MAM
2010-05-01,64.481892,-49.531048,559.66,4.1247,61.9502,NUK_L,NUK,L,month,MAM
2010-06-01,64.481917,-49.531381,557.35,4.3081,72.9429,NUK_L,NUK,L,month,JJA
2010-07-01,64.481923,-49.531602,555.58,,67.088,NUK_L,NUK,L,month,JJA
2010-08-01,64.481922,,550.29,,,NUK_L,NUK,L,month,JJA
2010-09-01,64.481944,,547.96,,,NUK_L,NUK,L,month,SON
2010-10-01,,,,,,NUK_L,NUK,L,month,SON
2010-11-01,,,,,,NUK_L,NUK,L,month,SON
2010-12-01,,,,,,NUK_L,NUK,L,month,DJF
2011-01-01,,,,,,NUK_L,NUK,L,month,DJF
2011-02-01,,,,,,NUK_L,NUK,L,month,DJF
2011-03-01,,,,,,NUK_L,NUK,L,month,MAM
2011-04-01,,,,,,NUK_L,NUK,L,month,MAM
2011-05-01,,,,,,NUK_L,NUK,L,month,MAM
2011-06-01,64.482159,-49.534514,545.83,,,NUK_L,NUK,L,month,JJA
2011-07-01,64.482186,-49.534753,543.18,,,NUK_L,NUK,L,month,JJA
2011-08-01,64.482196,-49.534999,539.82,,77.2093,NUK_L,NUK,L,month,JJA
2011-09-01,64.482168,-49.535184,538.34,1.0698,66.1422,NUK_L,NUK,L,month,SON
2011-10-01,64.482189,-49.535375,538.01,-5.8947,62.6296,NUK_L,NUK,L,month,SON
2011-11-01,64.48219,-49.535615,537.03,-11.1868,54.065,NUK_L,NUK,L,month,SON
2011-12-01,64.482235,-49.535844,537.16,-12.0302,61.9844,NUK_L,NUK,L,month,DJF
2012-01-01,64.482229,-49.536039,537.76,-12.4111,59.5437,NUK_L,NUK,L,month,DJF
2012-02-01,64.482253,-49.536232,532.36,-9.8118,60.0831,NUK_L,NUK,L,month,DJF
2012-03-01,64.482284,-49.536478,542.26,-13.2653,61.3791,NUK_L,NUK,L,month,MAM
2012-04-01,64.482303,-49.536723,538.41,-2.3701,72.7267,NUK_L,NUK,L,month,MAM
2012-05-01,64.48233,-49.536991,540.28,2.0022,67.4962,NUK_L,NUK,L,month,MAM
2012-06-01,64.482361,-49.537288,539.2,5.0538,69.0073,NUK_L,NUK,L,month,JJA
2012-07-01,64.482387,-49.537543,534.81,6.559,68.1209,NUK_L,NUK,L,month,JJA
2012-08-01,64.482409,-49.537807,531.39,5.2878,71.2407,NUK_L,NUK,L,month,JJA
2012-09-01,64.482435,-49.53801,530.04,3.0418,72.5874,NUK_L,NUK,L,month,SON
2012-10-01,64.482452,-49.538189,527.43,-0.3063,68.363,NUK_L,NUK,L,month,SON
2012-11-01,64.482481,-49.538427,526.12,-6.9057,65.8244,NUK_L,NUK,L,month,SON
2012-12-01,64.482483,-49.538597,526.34,-8.5575,53.3676,NUK_L,NUK,L,month,DJF
2013-01-01,64.482496,-49.538825,524.52,,57.9307,NUK_L,NUK,L,month,DJF
2013-02-01,64.482531,-49.539055,521.38,,,NUK_L,NUK,L,month,DJF
2013-03-01,64.482559,-49.539275,525.21,,,NUK_L,NUK,L,month,MAM
2013-04-01,64.482574,-49.539436,525.5,,,NUK_L,NUK,L,month,MAM
2013-05-01,64.482598,-49.53961,527.13,,,NUK_L,NUK,L,month,MAM
2013-06-01,64.482618,-49.539839,527.71,,,NUK_L,NUK,L,month,JJA
2013-07-01,64.48263,-49.540035,526.64,,62.8492,NUK_L,NUK,L,month,JJA
2013-08-01,64.482617,-49.540195,525.89,3.5889,68.1986,NUK_L,NUK,L,month,JJA
2013-09-01,64.482639,-49.540395,524.86,1.7802,67.8394,NUK_L,NUK,L,month,SON
2013-10-01,64.48266,-49.540587,523.83,-1.9567,62.2315,NUK_L,NUK,L,month,SON
2013-11-01,64.482679,-49.540815,520.7,-7.3785,64.6722,NUK_L,NUK,L,month,SON
2013-12-01,64.482689,-49.541026,522.39,-12.6718,52.9625,NUK_L,NUK,L,month,DJF
2014-01-01,64.48271,-49.541198,522.37,-9.2865,49.8253,NUK_L,NUK,L,month,DJF
2014-02-01,64.482736,-49.541424,531.0,-11.3962,46.9885,NUK_L,NUK,L,month,DJF
2014-03-01,64.482752,-49.541639,523.92,-12.4895,58.0172,NUK_L,NUK,L,month,MAM
