time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2007-08-01,64.498771,-49.258351,1145.97,,,86.7879
2007-09-01,64.49875,-49.258523,1145.54,-2.9884,,73.7504
2007-10-01,64.49871,-49.258686,1144.56,-7.6049,,64.017
2007-11-01,,,,-9.6773,,78.5814
2007-12-01,,,,,,63.1913
2008-01-01,,,,,,
2008-02-01,,,,,,
2008-03-01,,,,,,
2008-04-01,,,,,,
2008-05-01,,,,,,
2008-06-01,,,,,,
2008-07-01,,,,,,
2008-08-01,64.49824,-49.261135,1143.06,0.5658,,79.7503
2008-09-01,64.498199,-49.261391,1140.78,-3.1242,,82.5092
2008-10-01,64.498163,-49.2616,1141.81,-7.8932,,77.444
2008-11-01,,,,-7.9497,,82.9274
2008-12-01,,,,,,76.9732
2009-01-01,,,,,,
2009-02-01,,,,,,
2009-03-01,,,,,,
2009-04-01,,,,,,
2009-05-01,,,,,,
2009-06-01,,,,,,
2009-07-01,,,,,,
2009-08-01,64.497615,-49.264588,1139.09,,,65.332
2009-09-01,64.497583,-49.26474,1138.35,-4.3169,-4.301,81.0703
2009-10-01,64.497545,-49.264971,1137.54,-9.5131,-9.5132,72.3287
2009-11-01,64.497489,-49.265207,1137.71,-13.6282,-13.6317,67.469
2009-12-01,64.497448,-49.265492,1142.89,-8.9973,-8.9998,57.0724
2010-01-01,64.497387,-49.265761,1136.46,-8.0934,-8.1036,63.8093
2010-02-01,64.497317,-49.266024,1139.31,-8.1931,-8.1703,61.6194
2010-03-01,64.497285,-49.266291,1140.42,-10.4092,-10.4072,64.5673
2010-04-01,64.497224,-49.266586,1137.48,-6.7908,-6.7912,67.0901
2010-05-01,64.497176,-49.266848,1137.49,0.8853,0.8774,68.6314
2010-06-01,64.49712,-49.267181,1137.66,1.7762,1.7694,76.692
2010-07-01,64.497079,-49.267434,1135.98,2.4398,2.4317,74.8526
2010-08-01,,,,,,
2010-09-01,,,,,,
2010-10-01,,,,,,62.2759
2010-11-01,,,,,,
2010-12-01,,,,,,
2011-01-01,,,,,,
2011-02-01,,,,,,
2011-03-01,,,,,,
2011-04-01,,,,,,88.8562
2011-05-01,64.496627,-49.26981,1131.57,-4.9754,,94.9637
2011-06-01,64.496583,-49.270019,1132.26,0.5014,0.5103,81.8336
2011-07-01,64.496505,-49.270313,1131.03,2.0295,2.024,79.4847
2011-08-01,64.496485,-49.270537,1129.25,1.1025,1.1169,80.2297
2011-09-01,64.496471,-49.270716,1127.59,-3.2387,-3.2336,71.7547
2011-10-01,64.496438,-49.270897,1127.0,-10.0816,-10.0777,67.0957
2011-11-01,64.496378,-49.271139,1128.24,-15.5946,-15.5816,62.2232
2011-12-01,,,,-16.9123,-16.9085,71.4335
2012-01-01,64.496296,-49.27159,1127.01,-16.0028,-16.0116,65.7317
2012-02-01,64.496263,-49.271831,1125.63,-13.8991,-13.8843,67.1956
2012-03-01,64.496216,-49.272051,1130.91,-16.5221,-16.5384,67.1384
2012-04-01,64.496162,-49.272278,1126.31,-5.9466,-5.9393,74.525
2012-05-01,64.496119,-49.272492,1127.12,-1.605,-1.6025,68.83
2012-06-01,64.496061,-49.272772,1126.98,2.521,2.5292,71.6974
2012-07-01,64.496018,-49.273033,1125.74,3.2899,3.2928,74.9646
2012-08-01,64.495972,-49.273243,1125.39,1.9588,1.96,77.5668
2012-09-01,64.495889,-49.273453,1122.71,-0.8916,-0.8844,79.9324
2012-10-01,64.495855,-49.273618,1120.82,-4.2175,-4.204,77.0221
2012-11-01,64.495834,-49.27383,1121.2,-10.7161,-10.7275,73.3699
2012-12-01,64.495774,-49.274027,1117.74,-11.8127,-11.8006,61.7814
2013-01-01,64.495741,-49.274209,1117.58,-12.9538,-12.9474,62.8186
2013-02-01,64.495721,-49.274441,1125.23,-14.2149,-14.2146,59.6095
2013-03-01,64.495648,-49.274653,1121.3,-8.9342,-8.9375,59.2096
2013-04-01,64.495601,-49.274836,1120.25,-8.32,-8.3212,58.1333
2013-05-01,64.495562,-49.275038,1121.9,-5.8925,-5.8978,63.8054
2013-06-01,64.495493,-49.275287,1119.58,2.0938,2.0781,65.7081
2013-07-01,64.500316,-49.271461,1123.17,2.7897,2.7797,69.903
2013-08-01,64.511546,-49.262277,1131.75,0.1597,0.1715,76.7256
2013-09-01,64.511536,-49.262455,1130.26,-2.5555,-2.5658,77.6783
2013-10-01,64.511519,-49.262608,1130.16,-6.7392,-6.7253,72.1243
2013-11-01,64.511506,-49.262879,1128.54,-11.7977,-11.787,78.0616
2013-12-01,,,,,,70.2502
2014-01-01,,,,,,
2014-02-01,,,,,,
2014-03-01,,,,,,65.7885
2014-04-01,,,,,,
2014-05-01,,,,,,
2014-06-01,,,,,,
2014-07-01,64.511311,-49.264379,1128.0,,,78.4992
2014-08-01,64.511293,-49.264498,1127.63,1.9513,1.9576,76.3979
2014-09-01,64.511268,-49.264639,1127.7,-3.2313,-3.2334,81.299
2014-10-01,64.511253,-49.264771,1126.94,-9.0643,-9.067,73.7118
2014-11-01,64.511224,-49.26494,1126.99,-12.2641,-12.2426,66.0557
2014-12-01,64.511224,-49.265067,1126.97,-17.0389,-17.0474,76.1297
2015-01-01,64.5112,-49.265232,1128.12,-20.9939,-20.9948,70.6301
2015-02-01,64.511184,-49.265383,1130.15,-20.3498,-20.3511,74.1794
2015-03-01,,,,-19.5873,-19.585,70.3082
2015-04-01,,,,,,70.5131
2015-05-01,,,,,,
2015-06-01,,,,,,61.9304
2015-07-01,64.511067,-49.266396,1126.77,1.684,1.6931,74.7692
2015-08-01,64.511054,-49.266526,1126.11,-0.0302,-0.0203,77.2089
2015-09-01,64.511029,-49.266747,1125.3,-3.4397,-3.4435,81.5205
