time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2007-08-01,61.024202,-46.872438,281.31,,,90.6591
2007-09-01,61.024194,-46.872462,280.5,2.7611,,78.059
2007-10-01,61.024177,-46.872488,278.94,0.409,,63.1777
2007-11-01,,,,-2.6767,,79.2891
2007-12-01,,,,-9.5227,,63.9036
2008-01-01,,,,-11.4413,,61.0611
2008-02-01,,,,-11.1393,,72.5343
2008-03-01,,,,-6.1822,,74.7003
2008-04-01,61.024109,-46.872662,278.87,1.0452,,68.0793
2008-05-01,61.024086,-46.872695,278.25,3.483,,75.9928
2008-06-01,61.024072,-46.872777,275.67,3.9469,,78.3433
2008-07-01,61.024066,-46.872833,273.14,4.1296,,82.0651
2008-08-01,61.024051,-46.872768,272.48,4.3613,,78.3695
2008-09-01,61.024038,-46.872833,269.97,2.2871,,79.297
2008-10-01,61.024029,-46.872833,270.42,-1.2204,,70.8517
2008-11-01,,,,-2.4566,,81.7049
2008-12-01,,,,-8.0685,,77.8403
2009-01-01,,,,-5.769,,64.557
2009-02-01,,,,-4.1069,,64.3867
2009-03-01,,,,-7.4537,,63.2711
2009-04-01,61.023954,-46.872987,270.22,-1.1069,,71.8464
2009-05-01,61.023942,-46.87302,269.55,0.3242,,72.857
2009-06-01,61.023918,-46.873079,268.6,3.7921,,81.1708
2009-07-01,61.023902,-46.873156,267.76,4.6377,,77.101
2009-08-01,61.024054,-46.872571,267.7,4.3022,,78.5617
2009-09-01,61.031444,-46.848246,313.31,1.1504,1.1615,80.0285
2009-10-01,61.031436,-46.848256,313.11,-1.4678,-1.4621,63.9125
2009-11-01,61.031429,-46.848263,311.57,-6.5316,-6.52,64.8746
2009-12-01,61.03143,-46.848275,314.28,-3.9137,-3.9064,61.8198
2010-01-01,61.031428,-46.848289,312.25,-2.7228,-2.7256,69.2048
2010-02-01,61.03139,-46.848277,314.55,-1.722,-1.7328,59.733
2010-03-01,61.031408,-46.848268,315.24,-3.6709,-3.6702,65.8256
2010-04-01,,,,-0.3688,-0.3665,60.4325
2010-05-01,61.031373,-46.848317,313.33,4.2495,4.2487,69.9803
2010-06-01,61.03136,-46.848317,311.68,4.0935,4.1058,76.1695
2010-07-01,61.031348,-46.848322,309.87,4.3792,4.3932,78.4967
2010-08-01,,,,,,
2010-09-01,,,,,,
2010-10-01,,,,,,
