time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2008-08-01,61.17886,-46.816231,909.59,0.9776,0.9827,79.9077
2008-09-01,61.178819,-46.816262,907.74,-2.4585,-2.4451,84.996
2008-10-01,61.178791,-46.816283,906.93,-7.3736,-7.3799,78.9503
2008-11-01,,,,-7.9172,-7.9263,88.8712
2008-12-01,,,,-14.7542,-14.7563,88.3238
2009-01-01,,,,-13.2956,-13.2864,82.7744
2009-02-01,,,,-11.9578,-11.9697,82.6475
2009-03-01,,,,-14.878,-14.8604,79.7194
2009-04-01,,,,-5.343,-5.3418,94.7686
2009-05-01,,,,-1.4018,-1.4089,99.6846
2009-06-01,,,,0.3634,0.355,86.1567
2009-07-01,,,,1.7228,1.7125,82.1488
2009-08-01,,,,1.2041,1.201,81.6781
2009-09-01,,,,-3.1541,-3.1605,85.3003
2009-10-01,,,,-7.7225,-7.6988,75.2184
2009-11-01,,,,-12.3964,-12.399,76.9375
2009-12-01,,,,-9.6993,-9.7013,76.1422
2010-01-01,,,,-8.0218,-8.016,82.3967
2010-02-01,,,,-8.838,-8.8367,78.7709
2010-03-01,,,,-9.9567,-9.9775,81.2891
2010-04-01,,,,-5.3621,-5.3786,91.6827
2010-05-01,,,,0.5939,0.5998,79.922
2010-06-01,,,,1.2007,1.1957,83.9779
2010-07-01,61.177999,-46.816967,907.89,1.7836,1.7909,83.6188
2010-08-01,61.177983,-46.816974,907.42,,,85.181
2010-09-01,,,,,,
2010-10-01,,,,,,73.5569
2010-11-01,,,,,,79.5321
2010-12-01,,,,-5.7081,-5.7197,81.6871
2011-01-01,,,,-12.6925,-12.6798,76.4935
2011-02-01,61.177175,-46.817127,,-14.0507,-14.0511,76.0574
2011-03-01,61.17773,-46.81726,907.55,-14.058,-14.0598,75.5857
2011-04-01,61.177659,-46.817261,904.73,,,64.8317
2011-05-01,61.177609,-46.81729,904.89,-4.0056,-4.0192,68.8603
2011-06-01,61.177589,-46.816008,901.43,2.416,2.421,69.925
