time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,,,,-13.7975,64.6938,SCO_L,SCO,L,month,DJF
2010-02-01,,,,-18.3515,56.8089,SCO_L,SCO,L,month,DJF
2010-03-01,,,,-19.927,58.8029,SCO_L,SCO,L,month,MAM
2010-04-01,,,,-10.3166,54.3252,SCO_L,SCO,L,month,MAM
2010-05-01,72.227952,-26.817044,474.29,-2.5993,72.8532,SCO_L,SCO,L,month,MAM
2010-06-01,72.227871,-26.817079,475.13,2.2059,73.1565,SCO_L,SCO,L,month,JJA
2010-07-01,72.227773,-26.817114,474.56,4.243,66.7429,SCO_L,SCO,L,month,JJA
2010-08-01,72.227689,-26.817165,472.29,2.8569,74.8914,SCO_L,SCO,L,month,JJA
2010-09-01,,,,,73.9326,SCO_L,SCO,L,month,SON
2010-10-01,72.227544,-26.81723,472.02,,50.1385,SCO_L,SCO,L,month,SON
2010-11-01,72.227506,-26.817244,472.18,-15.7046,48.2574,SCO_L,SCO,L,month,SON
2010-12-01,72.227467,-26.817278,474.98,-13.7428,47.1563,SCO_L,SCO,L,month,DJF
2011-01-01,72.227385,-26.817236,465.93,-15.872,43.7333,SCO_L,SCO,L,month,DJF
2011-02-01,72.227358,-26.817235,468.61,-13.6355,62.0288,SCO_L,SCO,L,month,DJF
2011-03-01,72.227317,-26.81729,468.94,-19.5069,40.2439,SCO_L,SCO,L,month,MAM
2011-04-01,72.227254,-26.817313,473.23,-12.5753,62.1401,SCO_L,SCO,L,month,MAM
2011-05-01,72.227215,-26.817323,474.27,-3.766,69.3765,SCO_L,SCO,L,month,MAM
2011-06-01,72.227148,-26.817355,472.55,2.1222,68.1347,SCO_L,SCO,L,month,JJA
2011-07-01,72.227046,-26.817399,470.49,3.6298,74.6759,SCO_L,SCO,L,month,JJA
2011-08-01,72.226967,-26.817431,469.79,2.5286,75.4437,SCO_L,SCO,L,month,JJA
2011-09-01,72.226914,-26.817446,469.56,-1.6362,74.7135,SCO_L,SCO,L,month,SON
2011-10-01,72.226869,-26.817456,469.93,-10.8256,67.178,SCO_L,SCO,L,month,SON
2011-11-01,72.226782,-26.817469,467.84,-14.1671,64.3993,SCO_L,SCO,L,month,SON
2011-12-01,72.226766,-26.817523,475.28,-19.2715,53.1397,SCO_L,SCO,L,month,DJF
2012-01-01,72.22668,-26.817436,466.31,-13.0954,63.8542,SCO_L,SCO,L,month,DJF
2012-02-01,72.226669,-26.817469,465.48,-17.721,49.9945,SCO_L,SCO,L,month,DJF
2012-03-01,72.226622,-26.817544,478.74,-14.5124,60.927,SCO_L,SCO,L,month,MAM
2012-04-01,72.226561,-26.817528,471.23,-15.2452,59.5061,SCO_L,SCO,L,month,MAM
2012-05-01,72.226516,-26.817545,472.5,-4.8978,66.5455,SCO_L,SCO,L,month,MAM
2012-06-01,72.226442,-26.817581,471.84,2.9659,72.2183,SCO_L,SCO,L,month,JJA
2012-07-01,72.226345,-26.817628,470.08,3.7803,73.4104,SCO_L,SCO,L,month,JJA
2012-08-01,72.226257,-26.817678,468.01,3.5741,69.2075,SCO_L,SCO,L,month,JJA
2012-09-01,72.226179,-26.817686,467.41,-2.5274,63.6285,SCO_L,SCO,L,month,SON
2012-10-01,72.226126,-26.817697,465.35,-9.2855,61.0054,SCO_L,SCO,L,month,SON
2012-11-01,72.226071,-26.81773,470.7,-15.2884,52.665,SCO_L,SCO,L,month,SON
2012-12-01,72.225975,-26.817727,466.68,-17.5087,57.5022,SCO_L,SCO,L,month,DJF
2013-01-01,72.225945,-26.817676,464.08,-17.7123,58.7469,SCO_L,SCO,L,month,DJF
2013-02-01,72.225885,-26.817727,469.16,-18.5046,63.2493,SCO_L,SCO,L,month,DJF
2013-03-01,72.225817,-26.817782,464.54,-18.3536,51.1577,SCO_L,SCO,L,month,MAM
2013-04-01,72.22574,-26.817757,466.38,-13.8486,49.3587,SCO_L,SCO,L,month,MAM
2013-05-01,72.225685,-26.817777,468.53,-4.2085,62.175,SCO_L,SCO,L,month,MAM
2013-06-01,72.225593,-26.81779,467.12,3.5526,63.4307,SCO_L,SCO,L,month,JJA
2013-07-01,72.225498,-26.817806,464.69,4.0858,66.679,SCO_L,SCO,L,month,JJA
