time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,,,,,,SCO_U,SCO,U,month,DJF
2010-02-01,,,,,,SCO_U,SCO,U,month,DJF
2010-03-01,,,,,,SCO_U,SCO,U,month,MAM
2010-04-01,,,,,,SCO_U,SCO,U,month,MAM
2010-05-01,,,,,,SCO_U,SCO,U,month,MAM
2010-06-01,,,,,,SCO_U,SCO,U,month,JJA
2010-07-01,72.394219,-27.257506,990.23,,72.106,SCO_U,SCO,U,month,JJA
2010-08-01,72.394211,-27.257332,988.55,1.4699,73.7573,SCO_U,SCO,U,month,JJA
2010-09-01,72.394204,-27.257125,988.03,,84.3774,SCO_U,SCO,U,month,SON
2010-10-01,72.394195,-27.256763,987.77,,57.2499,SCO_U,SCO,U,month,SON
2010-11-01,72.394189,-27.25656,989.33,-15.8921,57.7319,SCO_U,SCO,U,month,SON
2010-12-01,72.394196,-27.256289,989.04,-15.7036,57.1036,SCO_U,SCO,U,month,DJF
2011-01-01,72.394174,-27.255992,988.22,-18.5702,56.4622,SCO_U,SCO,U,month,DJF
2011-02-01,72.394163,-27.255734,983.43,-17.0882,68.6789,SCO_U,SCO,U,month,DJF
2011-03-01,72.394164,-27.255541,987.34,-22.3974,56.5094,SCO_U,SCO,U,month,MAM
2011-04-01,72.394143,-27.255188,986.65,-15.3103,64.4238,SCO_U,SCO,U,month,MAM
2011-05-01,72.394139,-27.254945,987.71,-6.9892,66.6997,SCO_U,SCO,U,month,MAM
2011-06-01,72.394132,-27.254669,987.6,0.0863,70.4907,SCO_U,SCO,U,month,JJA
2011-07-01,72.394119,-27.254332,986.71,2.8601,74.6602,SCO_U,SCO,U,month,JJA
2011-08-01,72.394102,-27.254019,984.94,1.0031,73.6016,SCO_U,SCO,U,month,JJA
2011-09-01,72.394095,-27.253754,982.97,-4.3452,69.8864,SCO_U,SCO,U,month,SON
2011-10-01,72.39409,-27.253508,983.22,-14.468,68.9937,SCO_U,SCO,U,month,SON
2011-11-01,72.39407,-27.253265,982.18,-16.1338,67.4175,SCO_U,SCO,U,month,SON
2011-12-01,72.394081,-27.252987,983.7,-21.5992,63.1106,SCO_U,SCO,U,month,DJF
2012-01-01,72.394062,-27.252673,985.59,-15.9462,67.7133,SCO_U,SCO,U,month,DJF
2012-02-01,,,,-19.6353,58.9203,SCO_U,SCO,U,month,DJF
2012-03-01,,,,-16.5699,61.5574,SCO_U,SCO,U,month,MAM
2012-04-01,,,,-15.6361,59.7716,SCO_U,SCO,U,month,MAM
2012-05-01,,,,-6.5153,62.4673,SCO_U,SCO,U,month,MAM
2012-06-01,,,,2.3875,71.6253,SCO_U,SCO,U,month,JJA
2012-07-01,,,,2.8101,73.4576,SCO_U,SCO,U,month,JJA
2012-08-01,,,,2.1726,68.4428,SCO_U,SCO,U,month,JJA
2012-09-01,,,,-5.4269,61.9043,SCO_U,SCO,U,month,SON
2012-10-01,,,,-11.5334,60.0187,SCO_U,SCO,U,month,SON
2012-11-01,,,,-17.5089,53.1204,SCO_U,SCO,U,month,SON
2012-12-01,,,,-18.6281,54.5246,SCO_U,SCO,U,month,DJF
2013-01-01,,,,-19.5215,58.9811,SCO_U,SCO,U,month,DJF
2013-02-01,,,,-18.8315,60.8357,SCO_U,SCO,U,month,DJF
2013-03-01,,,,-19.2298,52.66,SCO_U,SCO,U,month,MAM
2013-04-01,,,,-16.1453,51.4161,SCO_U,SCO,U,month,MAM
2013-05-01,,,,-7.9085,60.2924,SCO_U,SCO,U,month,MAM
2013-06-01,,,,1.6738,64.0545,SCO_U,SCO,U,month,JJA
2013-07-01,,,,2.7537,67.0153,SCO_U,SCO,U,month,JJA
2013-08-01,,,,0.5355,69.7795,SCO_U,SCO,U,month,JJA
2013-09-01,,,,-5.8813,70.2112,SCO_U,SCO,U,month,SON
