time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2007-08-01,65.641704,-38.898018,273.25,,,77.524
2007-09-01,65.641689,-38.898019,272.56,1.5144,,77.1658
2007-10-01,65.641676,-38.898025,271.76,-1.623,,77.9208
2007-11-01,,,,-3.8762,,78.4754
2007-12-01,,,,-6.2217,,80.7641
2008-01-01,,,,-8.8937,,74.2874
2008-02-01,,,,-11.5638,,78.1956
2008-03-01,,,,-7.8078,,77.2301
2008-04-01,65.641611,-38.898111,273.54,-2.6285,,77.0261
2008-05-01,65.641596,-38.898138,273.71,0.3134,,83.9499
2008-06-01,65.641571,-38.898151,273.87,3.8279,,72.6976
2008-07-01,65.641555,-38.898162,274.59,4.4129,,80.3908
2008-08-01,65.641524,-38.898167,271.86,4.0838,,78.095
2008-09-01,65.641491,-38.898144,269.8,,,84.4886
2008-10-01,65.641467,-38.89815,266.77,,,
2008-11-01,,,,,,
2008-12-01,,,,,,
2009-01-01,,,,,,
2009-02-01,,,,,,
2009-03-01,,,,,,
2009-04-01,65.641368,-38.898043,270.34,,,
2009-05-01,65.641426,-38.898135,270.41,0.7251,0.7439,74.4261
2009-06-01,65.641412,-38.898161,270.67,1.6745,1.6765,81.1185
2009-07-01,65.641387,-38.898195,270.17,3.3916,3.3743,82.3946
2009-08-01,65.641361,-38.898215,269.44,2.2951,2.2955,84.6823
2009-09-01,65.641345,-38.898214,267.75,-0.3342,-0.3295,80.1601
2009-10-01,65.641335,-38.898218,267.49,-4.1677,-4.1872,75.3898
2009-11-01,65.641324,-38.898223,263.85,-5.7652,-5.7216,77.5279
2009-12-01,65.641323,-38.898236,267.47,-5.2841,-5.2497,70.5758
2010-01-01,65.641296,-38.898346,267.01,-2.9688,-2.9639,74.812
2010-02-01,65.641281,-38.898249,269.09,-7.5664,-7.5609,77.0787
2010-03-01,,,,-7.2404,-7.2265,90.4603
2010-04-01,,,,,,
2010-05-01,,,,,,
2010-06-01,,,,,,
2010-07-01,,,,,,
2010-08-01,,,,2.8131,2.8256,35.3234
2010-09-01,,,,,,
2010-10-01,65.641165,-38.898241,267.43,,,72.9498
2010-11-01,65.641161,-38.898242,267.62,-5.9691,-5.9645,69.6979
2010-12-01,65.641155,-38.898254,267.68,-4.0656,-4.0533,60.6366
2011-01-01,65.641134,-38.898258,265.2,-8.155,-8.121,69.3485
2011-02-01,65.641131,-38.89824,262.59,-6.6644,-6.662,69.7313
2011-03-01,,,,-12.3191,-12.3328,63.0462
2011-04-01,,,,,,69.7191
2011-05-01,,,,,,71.0055
2011-06-01,,,,2.1458,2.1143,69.3217
2011-07-01,,,,,,77.5558
2011-08-01,,,,,,77.0883
2011-09-01,,,,1.0111,1.0179,78.0878
2011-10-01,,,,,,61.7586
2011-11-01,,,,,,
2011-12-01,,,,,,
2012-01-01,,,,,,63.6108
2012-02-01,,,,,,67.0034
2012-03-01,,,,-6.7276,-6.7356,69.3332
2012-04-01,,,,-3.5569,-3.5747,64.7725
2012-05-01,,,,1.4094,1.4004,63.6678
2012-06-01,,,,3.9166,3.9085,70.2858
2012-07-01,,,,3.9237,3.9155,77.4048
2012-08-01,,,,3.4337,3.43,79.6688
2012-09-01,,,,1.387,1.3853,74.9857
2012-10-01,,,,-1.2289,-1.2103,72.8566
2012-11-01,,,,-5.7214,-5.7304,71.0375
2012-12-01,,,,-5.5705,-5.5539,76.4978
2013-01-01,,,,-3.9813,-3.9355,75.567
2013-02-01,,,,-5.1049,-5.0818,79.6641
2013-03-01,,,,-7.8845,-7.8519,71.9361
2013-04-01,,,,-6.7659,-6.7371,68.481
2013-05-01,,,,-0.2142,-0.2095,78.2194
2013-06-01,,,,3.2294,3.2259,81.4134
2013-07-01,,,,3.5211,3.5125,79.3074
