time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,,,,-4.3583,76.6011,TAS_U,TAS,U,month,DJF
2010-02-01,,,,-9.5318,80.1581,TAS_U,TAS,U,month,DJF
2010-03-01,,,,-8.8352,81.8493,TAS_U,TAS,U,month,MAM
2010-04-01,,,,-6.8619,70.2293,TAS_U,TAS,U,month,MAM
2010-05-01,,,,0.3229,73.6714,TAS_U,TAS,U,month,MAM
2010-06-01,,,,2.804,77.8029,TAS_U,TAS,U,month,JJA
2010-07-01,,,,2.8758,80.6522,TAS_U,TAS,U,month,JJA
2010-08-01,,,,2.9868,82.7075,TAS_U,TAS,U,month,JJA
2010-09-01,,,,2.1527,86.0929,TAS_U,TAS,U,month,SON
2010-10-01,,,,-2.5472,80.7666,TAS_U,TAS,U,month,SON
2010-11-01,,,,-7.4543,70.2422,TAS_U,TAS,U,month,SON
2010-12-01,,,,,61.4528,TAS_U,TAS,U,month,DJF
2011-01-01,,,,,,TAS_U,TAS,U,month,DJF
2011-02-01,,,,,,TAS_U,TAS,U,month,DJF
2011-03-01,,,,,,TAS_U,TAS,U,month,MAM
2011-04-01,,,,,,TAS_U,TAS,U,month,MAM
2011-05-01,,,,,,TAS_U,TAS,U,month,MAM
2011-06-01,,,,,,TAS_U,TAS,U,month,JJA
2011-07-01,,,,,,TAS_U,TAS,U,month,JJA
2011-08-01,,,,,84.1077,TAS_U,TAS,U,month,JJA
2011-09-01,,,,0.8042,84.3402,TAS_U,TAS,U,month,SON
2011-10-01,,,,-5.3948,70.9011,TAS_U,TAS,U,month,SON
2011-11-01,,,,-5.6377,82.315,TAS_U,TAS,U,month,SON
2011-12-01,,,,-14.5713,72.0548,TAS_U,TAS,U,month,DJF
2012-01-01,,,,-8.2579,79.418,TAS_U,TAS,U,month,DJF
2012-02-01,,,,-10.1617,81.0849,TAS_U,TAS,U,month,DJF
2012-03-01,,,,-8.3656,78.3364,TAS_U,TAS,U,month,MAM
2012-04-01,,,,-5.5883,78.3307,TAS_U,TAS,U,month,MAM
2012-05-01,,,,,59.8892,TAS_U,TAS,U,month,MAM
2012-06-01,,,,,,TAS_U,TAS,U,month,JJA
2012-07-01,,,,,,TAS_U,TAS,U,month,JJA
2012-08-01,,,,,,TAS_U,TAS,U,month,JJA
2012-09-01,,,,-0.6081,74.0703,TAS_U,TAS,U,month,SON
2012-10-01,,,,-3.3389,73.8766,TAS_U,TAS,U,month,SON
2012-11-01,,,,-7.9147,71.9581,TAS_U,TAS,U,month,SON
2012-12-01,,,,-8.2799,78.6499,TAS_U,TAS,U,month,DJF
