time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2010-08-01,76.39984,-68.265345,575.83,,,77.3201
2010-09-01,76.399841,-68.265356,575.39,,,76.8771
2010-10-01,,,,,,
2010-11-01,,,,,,
2010-12-01,,,,,,
2011-01-01,,,,,,
2011-02-01,,,,,,65.4922
2011-03-01,,,,-23.1681,-23.1495,58.0952
2011-04-01,,,,,,65.9974
2011-05-01,,,,,,
2011-06-01,,,,,,71.3947
2011-07-01,,,,4.0141,4.008,72.1069
2011-08-01,,,,2.1788,2.1892,79.751
2011-09-01,,,,-5.2456,-5.2441,78.4689
2011-10-01,,,,-12.382,-12.383,82.0687
2011-11-01,,,,-15.0434,-15.0471,75.6238
2011-12-01,,,,-21.8859,-21.8504,67.9518
2012-01-01,,,,-23.6447,-23.6871,63.986
2012-02-01,,,,-24.3281,-24.3375,68.838
2012-03-01,,,,-27.0946,-27.1094,65.6057
2012-04-01,,,,-14.7231,-14.7384,
2012-05-01,,,,-6.2963,-6.3144,52.3065
2012-06-01,,,,1.1709,1.1709,
2012-07-01,,,,3.5845,3.6,
2012-08-01,,,,1.1932,1.2148,
2012-09-01,,,,-2.8443,-2.8278,
2012-10-01,,,,-8.1615,-8.149,
2012-11-01,,,,-13.6364,-13.6217,
2012-12-01,,,,-18.0507,-18.0705,
2013-01-01,,,,-19.3157,-19.3468,
2013-02-01,,,,-22.4351,-22.4173,
2013-03-01,,,,-16.3667,-16.3801,
2013-04-01,,,,-15.6951,-15.7068,
2013-05-01,,,,-12.03,-12.0287,
2013-06-01,,,,-1.0618,-1.0682,
2013-07-01,,,,1.3371,1.3318,
2013-08-01,,,,-0.1599,-0.1395,73.0016
2013-09-01,,,,-5.5513,-5.5401,74.8331
2013-10-01,,,,-9.4667,-9.4668,76.9549
2013-11-01,,,,-18.7563,-18.7301,70.2375
2013-12-01,,,,-21.3968,-21.4026,63.0542
2014-01-01,,,,-17.0465,-17.0563,69.8534
2014-02-01,,,,-19.7271,-19.7243,47.3645
2014-03-01,,,,-21.1914,-21.2129,60.3226
2014-04-01,,,,-17.1445,-17.1491,67.0641
2014-05-01,,,,-9.3349,-9.3338,74.9663
2014-06-01,,,,-0.5229,-0.5256,80.3758
2014-07-01,,,,2.5028,2.5062,82.4492
2014-08-01,,,,0.3097,0.3165,81.2251
2014-09-01,76.399806,-68.266006,571.43,-4.3285,-4.2996,75.0958
2014-10-01,76.399809,-68.266007,571.02,-9.9846,-9.9949,75.1223
2014-11-01,76.399811,-68.266031,570.11,-14.5259,-14.4937,76.2806
2014-12-01,76.399812,-68.266032,567.38,-21.0332,-21.0081,66.8479
2015-01-01,76.399816,-68.266047,571.32,-23.0555,-23.0605,70.6547
2015-02-01,76.399813,-68.266053,569.46,-28.7901,-28.7625,59.7642
2015-03-01,76.399814,-68.266036,571.8,-19.8349,-19.8561,60.3882
2015-04-01,76.399807,-68.26608,572.82,-19.5095,-19.492,55.5406
2015-05-01,76.399812,-68.266091,573.19,-8.4854,-8.4824,73.3662
2015-06-01,76.399814,-68.266102,572.93,-0.2488,-0.2464,70.7467
2015-07-01,76.399813,-68.266155,571.86,4.3726,4.3501,69.6589
2015-08-01,76.39981,-68.266196,569.86,0.9796,0.997,71.4729
2015-09-01,76.39981,-68.266207,569.36,-5.4717,-5.4659,80.2992
2015-10-01,,,,-9.6962,-9.709,79.113
2015-11-01,,,,,,82.2804
2015-12-01,,,,,,
2016-01-01,,,,,,
2016-02-01,,,,,,57.1126
2016-03-01,,,,,,66.2471
2016-04-01,,,,-10.9694,-10.9667,73.3873
2016-05-01,,,,-3.8955,-3.8957,63.184
2016-06-01,,,,1.277,1.2588,65.3531
2016-07-01,76.399803,-68.266373,566.36,4.1372,4.1243,70.4529
2016-08-01,76.399801,-68.26639,566.13,2.1888,2.1859,77.9996
2016-09-01,76.3998,-68.266398,564.59,-4.7817,-4.7978,76.3689
2016-10-01,76.3998,-68.266411,564.01,-11.7737,-11.7682,69.0422
2016-11-01,,,,-13.3897,-13.3741,77.062
2016-12-01,,,,-20.8338,-20.8117,64.023
2017-01-01,,,,-22.5056,-22.4772,57.1767
2017-02-01,,,,-22.5773,-22.5689,59.2707
2017-03-01,,,,-25.1669,-25.1707,57.5304
2017-04-01,76.39981,-68.266505,564.7,-15.49,-15.5087,60.3552
2017-05-01,76.399809,-68.266496,566.08,-6.5324,-6.5302,73.1812
2017-06-01,76.399808,-68.266505,566.47,-0.9179,-0.9158,72.7031
2017-07-01,76.399813,-68.26651,566.25,2.3599,,70.2379
2017-08-01,76.399817,-68.266525,566.08,1.3323,,79.1311
2017-09-01,76.399817,-68.266534,565.69,-4.7116,,73.9028
2017-10-01,76.399819,-68.266549,565.42,-9.7571,,78.0848
2017-11-01,,,,-14.7641,,61.0238
2017-12-01,,,,-15.6949,,75.1897
2018-01-01,,,,-20.6058,,53.7357
2018-02-01,,,,-24.6198,,60.4147
2018-03-01,,,,-22.3861,,58.8961
2018-04-01,76.39982,-68.266624,566.25,-14.5488,,60.0964
2018-05-01,76.399822,-68.266632,566.75,-8.5467,,63.6342
2018-06-01,76.399828,-68.266636,566.51,0.2758,0.2706,67.6248
2018-07-01,76.39983,-68.266646,566.54,1.0171,1.0065,77.4172
2018-08-01,76.399831,-68.266659,566.11,1.033,1.0306,81.9701
2018-09-01,76.399831,-68.266658,565.91,-5.7696,-5.7815,79.7705
2018-10-01,76.399832,-68.266675,565.62,-12.1543,-12.1348,72.6154
2018-11-01,76.399835,-68.266693,568.2,-17.7544,-17.7538,64.8414
2018-12-01,76.399837,-68.266683,568.36,-20.12,-20.1008,63.5273
2019-01-01,76.399836,-68.26668,567.51,-22.7403,-22.7428,61.3284
2019-02-01,,,,,,51.502
2019-03-01,76.39984,-68.266678,566.03,-25.0384,-25.0421,61.2405
2019-04-01,76.399834,-68.266741,566.49,-15.0228,-15.051,66.0678
2019-05-01,76.399834,-68.266746,567.4,-1.2497,-1.2605,65.86
2019-06-01,76.399834,-68.266768,567.51,1.0116,0.9945,72.0498
2019-07-01,76.399835,-68.266811,566.84,4.2507,4.2784,69.4587
2019-08-01,76.399832,-68.266872,564.89,3.4639,3.4659,72.6285
2019-09-01,76.399832,-68.266887,564.43,-2.2325,-2.2266,65.9042
2019-10-01,76.399835,-68.266902,564.52,-7.3545,-7.3461,87.9439
2019-11-01,76.399836,-68.266902,566.3,-12.4516,-12.447,81.028
2019-12-01,76.399845,-68.266904,565.92,-18.7094,-18.7052,70.9342
2020-01-01,76.39984,-68.2669,565.27,-26.0769,-26.0665,62.8394
2020-02-01,,,,,,59.6473
2020-03-01,76.399844,-68.26694,565.4,-24.434,-24.4189,62.682
2020-04-01,76.39984,-68.266958,565.78,-11.3367,-11.3625,68.5564
2020-05-01,76.399841,-68.266972,565.63,-5.5253,-5.5279,64.1944
2020-06-01,76.399841,-68.266984,565.52,1.0463,1.06,60.8437
2020-07-01,76.399839,-68.267006,565.0,4.3339,4.3517,67.8269
2020-08-01,76.399837,-68.267038,563.91,0.9641,0.9592,79.2371
2020-09-01,76.399841,-68.267052,563.71,-6.7282,-6.715,72.4814
2020-10-01,76.399843,-68.267061,563.93,-7.2465,-7.2426,77.1659
2020-11-01,76.39985,-68.267064,564.65,-17.1316,-17.1377,81.9904
2020-12-01,76.399839,-68.267078,564.85,-17.1088,-17.1245,72.8844
2021-01-01,76.399844,-68.267064,565.01,-17.0735,-17.0607,66.388
2021-02-01,,,,,,63.1989
2021-03-01,76.399846,-68.267061,564.82,-23.6787,-23.6912,61.6693
2021-04-01,76.399844,-68.267114,564.46,-14.0136,-14.0504,68.9578
2021-05-01,76.399845,-68.26713,564.4,-3.8179,-3.7933,66.8014
2021-06-01,76.399844,-68.26714,564.76,2.3216,2.307,62.615
2021-07-01,76.399844,-68.267152,564.55,1.1014,1.1039,78.6153
2021-08-01,76.399843,-68.267184,563.42,2.1415,2.1464,81.152
2021-09-01,76.399838,-68.267134,563.19,-6.5529,-6.5607,66.1922
2021-10-01,76.399842,-68.267136,563.36,-7.3608,-7.3651,83.407
2021-11-01,76.399838,-68.267135,563.09,-15.7359,-15.7426,71.0984
2021-12-01,76.399834,-68.267191,560.1,-13.4997,-13.5239,77.0058
2022-01-01,76.399845,-68.26721,561.55,-18.9468,-18.9129,63.2593
2022-02-01,76.399845,-68.26722,563.73,-22.7522,-22.767,46.4093
2022-03-01,76.399842,-68.267218,561.07,-18.5643,-18.5921,62.3954
2022-04-01,76.39984,-68.26723,563.89,-16.8429,-16.8434,62.9724
2022-05-01,76.399843,-68.26725,564.87,-8.5011,,68.2857
2022-06-01,76.399842,-68.267237,564.29,-2.1594,,78.9078
2022-07-01,76.399843,-68.267279,563.37,3.4472,,82.7664
2022-08-01,76.399843,-68.267309,562.98,1.5767,,84.73
2022-09-01,76.399842,-68.267316,561.94,-2.005,,93.2053
2022-10-01,76.39984,-68.267308,562.73,-10.1022,,87.0793
2022-11-01,,,,,,
2022-12-01,,,,,,
2023-01-01,,,,,,
2023-02-01,,,,,,
2023-03-01,,,,,,
2023-04-01,76.399841,-68.267362,564.09,,,73.3573
2023-05-01,76.399846,-68.267387,564.24,-8.8229,,80.9802
2023-06-01,76.399845,-68.267422,564.6,-2.6205,,84.5172
