time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2010-08-01,76.419642,-68.144923,767.43,,,79.8439
2010-09-01,,,,,,86.8718
2010-10-01,,,,,,
2010-11-01,,,,,,
2010-12-01,,,,,,
2011-01-01,,,,,,
2011-02-01,,,,,,66.0123
2011-03-01,,,,,,
2011-04-01,,,,,,
2011-05-01,,,,,,
2011-06-01,,,,,,73.6473
2011-07-01,,,,3.3781,3.3829,74.1012
2011-08-01,,,,1.2715,1.2738,82.5197
2011-09-01,,,,-6.4222,-6.4355,80.7764
2011-10-01,,,,-13.8025,-13.8143,85.7215
2011-11-01,,,,-16.101,-16.0963,76.7067
2011-12-01,,,,-22.4534,-22.4138,68.1716
2012-01-01,,,,-24.1517,-24.1715,61.9217
2012-02-01,,,,-24.8455,-24.809,67.9874
2012-03-01,,,,-27.3307,-27.3514,66.5051
2012-04-01,,,,-15.54,-15.5573,58.3481
2012-05-01,,,,-7.2487,-7.2628,76.3
2012-06-01,,,,0.3236,0.3256,78.75
2012-07-01,,,,2.9377,2.9444,85.0008
2012-08-01,,,,0.3407,0.3455,78.8329
2012-09-01,,,,-4.1465,-4.1433,82.8319
2012-10-01,,,,-9.3969,-9.4004,76.5409
2012-11-01,,,,-15.1868,-15.1894,80.9287
2012-12-01,,,,-19.4033,-19.3825,72.4754
2013-01-01,,,,-20.8069,-20.8183,62.1049
2013-02-01,,,,-23.8474,-23.8474,69.6593
2013-03-01,,,,-17.6546,-17.6632,70.2095
2013-04-01,,,,-17.0119,-17.0213,68.7541
2013-05-01,,,,-13.1258,-13.0946,69.9121
2013-06-01,,,,-2.1352,-2.1365,80.3914
2013-07-01,,,,0.3059,0.3081,78.9407
2013-08-01,,,,-1.3563,-1.3524,81.8122
2013-09-01,,,,-6.9018,-6.906,78.6819
2013-10-01,,,,-10.8971,-10.9089,80.8611
2013-11-01,,,,-20.5573,-20.5437,74.7022
2013-12-01,,,,-22.7417,-22.7451,65.3645
2014-01-01,,,,-18.1401,-18.1425,72.0541
2014-02-01,,,,-21.2584,-21.2651,51.2811
2014-03-01,,,,-22.6845,-22.6994,63.0129
2014-04-01,,,,-18.4898,-18.49,69.2474
2014-05-01,,,,-10.4507,-10.4485,74.8836
2014-06-01,,,,-1.4814,-1.4875,83.5565
2014-07-01,,,,1.7196,1.7193,86.1579
2014-08-01,,,,-0.6889,-0.6929,84.9479
2014-09-01,,,,-6.0996,-6.1075,79.5665
2014-10-01,,,,-11.7846,-11.7549,77.3161
