time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2009-08-01,72.893215,-54.295083,227.65,,,66.4403
2009-09-01,72.893215,-54.295086,227.23,-1.9065,-1.8843,67.7308
2009-10-01,72.89322,-54.295085,227.5,-8.4057,-8.3781,66.2353
2009-11-01,72.893214,-54.295092,224.76,-14.5206,-14.5129,64.1978
2009-12-01,72.893222,-54.295117,229.06,-9.1288,-9.1409,60.2638
2010-01-01,72.893213,-54.29514,224.97,-16.5348,-16.5215,78.454
2010-02-01,72.893199,-54.295129,224.5,-10.9541,-10.9623,63.8044
2010-03-01,72.893213,-54.295085,231.74,-15.3291,-15.3265,63.0159
2010-04-01,72.893211,-54.295116,227.62,-10.3668,-10.3873,65.9603
2010-05-01,72.893208,-54.295131,228.81,-0.5296,-0.5384,71.2193
2010-06-01,72.893206,-54.295138,227.47,4.2337,4.2264,76.7056
2010-07-01,72.893203,-54.295135,227.52,5.0695,5.0473,72.8264
2010-08-01,72.893201,-54.295141,226.72,5.118,5.1037,74.9429
2010-09-01,72.893199,-54.295136,225.28,0.5797,0.578,77.5336
2010-10-01,72.8932,-54.295143,224.62,-3.9708,-3.959,69.3907
2010-11-01,72.893211,-54.295155,231.87,-4.446,-4.4555,67.0542
2010-12-01,72.893202,-54.295174,223.59,-7.7687,-7.7459,69.2271
2011-01-01,72.893187,-54.295216,221.8,-10.6015,-10.6011,66.821
2011-02-01,72.89318,-54.295168,221.59,-16.4456,-16.4283,71.591
2011-03-01,72.893207,-54.295216,229.46,-19.4445,-19.4093,63.3161
2011-04-01,72.893188,-54.295168,225.15,-18.7715,-18.7589,60.8395
2011-05-01,72.893189,-54.295166,226.54,-4.3939,-4.382,78.1674
2011-06-01,72.893188,-54.295183,226.59,3.6282,3.594,69.6632
2011-07-01,72.89319,-54.29518,225.59,6.5465,6.5915,65.4416
2011-08-01,72.893188,-54.295182,224.06,4.2487,4.2391,74.7315
2011-09-01,72.893188,-54.29518,222.29,-0.4556,-0.4531,67.8875
2011-10-01,72.89319,-54.295183,221.88,-7.5736,-7.5746,69.5351
2011-11-01,72.893191,-54.295247,221.98,-10.7124,-10.6953,64.2822
2011-12-01,72.893178,-54.295263,220.08,-15.4259,-15.4291,61.0302
2012-01-01,72.893175,-54.295249,217.4,-18.9612,-18.9582,68.0808
2012-02-01,72.893188,-54.29521,223.25,-20.8084,-20.8136,73.0771
2012-03-01,72.893192,-54.295232,225.86,-22.7764,-22.7652,68.3157
2012-04-01,72.893184,-54.295208,222.07,-11.3085,-11.2811,71.9954
2012-05-01,72.893182,-54.295217,223.23,-1.8054,-1.8074,80.379
2012-06-01,72.893182,-54.295228,224.09,4.9597,4.957,72.254
2012-07-01,72.893181,-54.295216,221.81,5.9699,5.9784,71.5779
2012-08-01,72.893167,-54.295241,219.4,4.7135,4.7051,72.1744
2012-09-01,72.89316,-54.295265,217.37,1.3118,1.3342,71.4911
2012-10-01,72.89316,-54.295275,215.68,-4.0022,-4.0054,67.0189
2012-11-01,72.893157,-54.295341,216.21,-9.8756,-9.8808,62.2786
2012-12-01,72.893163,-54.295328,218.53,-12.3037,-12.2591,67.0712
2013-01-01,,,,-14.8519,-14.8544,59.2384
2013-02-01,,,,,,52.6034
2013-03-01,,,,-10.9353,-10.9816,66.5153
2013-04-01,,,,-9.6461,-9.6854,61.9517
2013-05-01,,,,-5.8432,-5.8646,57.8687
2013-06-01,,,,5.4338,5.4639,63.4637
2013-07-01,,,,6.5667,6.5576,63.6169
2013-08-01,72.893212,-54.295278,219.72,3.1235,3.14,71.7816
2013-09-01,72.893214,-54.295279,219.13,-0.8712,-0.8529,73.5108
2013-10-01,72.893215,-54.295281,218.98,-6.4059,-6.4287,70.7851
2013-11-01,72.893217,-54.29529,218.86,-13.8438,-13.8419,63.5941
2013-12-01,72.89322,-54.295311,217.58,-17.3107,-17.2999,66.5999
2014-01-01,72.89321,-54.295288,216.88,-12.149,-12.1269,69.2197
2014-02-01,72.893206,-54.295316,218.27,-16.0064,-16.0214,63.4119
2014-03-01,72.893207,-54.295227,222.55,-18.7518,-18.7348,66.8262
2014-04-01,72.893201,-54.295304,220.28,-14.2689,-14.2836,69.5394
2014-05-01,72.893201,-54.295318,220.02,-6.6601,-6.6641,80.0878
2014-06-01,72.893204,-54.295324,220.16,3.6057,3.6157,72.2696
2014-07-01,72.893202,-54.29533,219.94,5.1015,5.1189,73.5528
2014-08-01,72.893198,-54.295324,217.83,3.9954,4.0006,72.7624
2014-09-01,72.893195,-54.295314,216.83,-0.6941,-0.6897,73.9285
2014-10-01,72.893198,-54.29531,217.13,-5.8856,-5.8944,65.6796
2014-11-01,72.8932,-54.295332,217.45,-9.0606,-9.0623,65.7963
2014-12-01,72.893192,-54.295319,215.12,-15.8129,-15.8389,66.367
2015-01-01,72.893206,-54.295336,214.86,-19.4238,-19.4262,65.4392
2015-02-01,72.893195,-54.295306,216.81,-26.1102,-26.1425,67.2749
2015-03-01,72.893198,-54.295305,218.21,-19.2992,-19.274,65.6779
2015-04-01,72.893188,-54.295335,218.28,-17.4351,-17.4577,63.4226
2015-05-01,72.893192,-54.295338,218.37,-4.9828,-4.9912,78.7906
2015-06-01,72.893191,-54.295353,218.81,1.4699,1.4365,75.6081
2015-07-01,72.893188,-54.295347,217.65,7.0891,7.0649,60.9575
2015-08-01,72.893225,-54.295367,216.1,3.3398,3.3623,71.9456
2015-09-01,72.893227,-54.295368,215.42,-2.3756,-2.3638,76.7682
2015-10-01,72.893228,-54.295372,215.1,-6.3375,-6.3548,69.6843
2015-11-01,72.893232,-54.295361,216.01,-13.3229,-13.3378,70.4118
2015-12-01,72.893223,-54.295386,212.8,-19.7209,-19.7141,72.4372
2016-01-01,72.893222,-54.295386,211.34,-14.4261,-14.4262,61.9854
2016-02-01,72.893224,-54.295374,214.25,-16.9257,-16.9026,67.6523
2016-03-01,72.893225,-54.295358,215.96,-14.5938,-14.6,77.4423
2016-04-01,72.893226,-54.295392,216.03,-4.3887,-4.3934,71.9161
2016-05-01,72.893225,-54.295395,216.01,-1.2674,-1.2681,77.4043
2016-06-01,72.893225,-54.295405,216.05,2.5278,2.5471,74.2168
2016-07-01,72.893227,-54.295422,215.15,6.0282,6.0255,65.4527
2016-08-01,72.893229,-54.295427,214.24,4.3202,4.3137,74.2443
2016-09-01,72.893229,-54.295425,213.33,-1.7071,-1.7386,71.7396
2016-10-01,72.893229,-54.295425,212.96,-7.0119,-7.0018,72.1335
2016-11-01,72.893226,-54.295415,212.29,-10.2825,-10.2789,66.8698
2016-12-01,72.893232,-54.29544,212.61,-16.8933,-16.9203,69.4314
2017-01-01,72.893226,-54.295436,211.28,-18.8692,-18.8583,69.0826
2017-02-01,72.893231,-54.295435,212.89,-19.211,-19.2366,70.1944
2017-03-01,72.893224,-54.29542,212.09,-19.4831,-19.4667,73.6562
2017-04-01,72.893227,-54.295445,212.99,-12.8091,-12.8147,68.9024
2017-05-01,72.893226,-54.295448,213.38,-2.1326,-2.1405,76.5529
2017-06-01,72.893226,-54.295456,213.38,1.1895,1.1746,82.2951
2017-07-01,72.893228,-54.295467,212.39,4.8505,4.858,61.5132
2017-08-01,72.89323,-54.295482,211.53,3.8454,3.8533,71.7961
2017-09-01,72.893231,-54.29549,211.14,-1.6976,-1.6986,75.4772
2017-10-01,72.893235,-54.295496,210.82,-5.294,-5.2621,73.9131
2017-11-01,72.893229,-54.295489,209.52,-10.8854,-10.8788,64.6691
2017-12-01,72.893231,-54.295509,209.91,-10.5076,-10.4851,72.8783
2018-01-01,72.893235,-54.295489,209.98,-18.2912,-18.2855,67.0943
2018-02-01,72.893231,-54.295492,210.75,-23.2096,-23.2118,68.1773
2018-03-01,72.893234,-54.295498,211.89,-19.5825,-19.5817,72.4065
2018-04-01,72.893232,-54.295515,210.98,-11.8032,-11.7922,71.2972
2018-05-01,72.893231,-54.295519,211.38,-6.2441,-6.2592,77.3475
2018-06-01,72.893229,-54.295524,211.65,1.312,1.3181,81.3294
2018-07-01,72.893232,-54.295533,210.62,3.2023,3.2198,81.745
2018-08-01,72.893232,-54.295543,209.46,3.9784,3.9935,78.1456
2018-09-01,72.893235,-54.295544,209.07,-1.6938,-1.6895,76.7702
2018-10-01,72.893235,-54.295546,208.67,-9.2403,-9.2301,65.782
2018-11-01,72.893233,-54.295537,208.32,-13.1166,-13.0858,74.9736
2018-12-01,72.893235,-54.295553,208.82,-15.5669,-15.5443,73.1495
2019-01-01,72.893235,-54.295544,208.56,-19.3236,-19.2962,77.6264
2019-02-01,72.893236,-54.29555,208.63,-19.5984,-19.6074,72.3027
2019-03-01,72.893237,-54.295552,208.7,-21.8877,-21.8695,72.9502
2019-04-01,72.893232,-54.295559,208.94,-9.2549,-9.2793,71.3868
2019-05-01,72.893232,-54.295566,209.74,0.281,0.2718,78.6607
2019-06-01,72.893233,-54.295572,209.26,3.1511,3.1317,78.6508
2019-07-01,72.893235,-54.295582,207.94,6.2795,6.2577,64.6563
2019-08-01,72.893237,-54.295593,206.6,4.9067,4.8922,64.8659
2019-09-01,72.893237,-54.295589,205.89,1.2712,1.2596,69.5314
2019-10-01,72.893239,-54.295591,206.01,-2.5552,-2.5702,69.8712
2019-11-01,72.893238,-54.295584,205.6,-5.6377,-5.6799,68.8891
2019-12-01,72.893242,-54.295592,206.59,-13.8554,-13.8738,62.9683
2020-01-01,72.893241,-54.295583,206.04,-20.322,-20.3309,65.5984
2020-02-01,72.893239,-54.295587,206.82,-21.3798,-21.3498,68.2762
2020-03-01,72.893236,-54.295588,205.1,-20.9283,-20.9297,66.4681
2020-04-01,72.893234,-54.295598,206.1,-6.7207,-6.753,66.6067
2020-05-01,72.893233,-54.2956,206.31,-2.7126,-2.7136,78.3418
2020-06-01,72.893233,-54.295606,206.82,1.6493,1.6576,78.1478
2020-07-01,72.893234,-54.295616,205.82,5.0743,5.0893,71.9744
2020-08-01,72.893332,-54.295673,205.58,3.9125,3.9295,70.4878
2020-09-01,72.893375,-54.295696,204.78,-3.4325,-3.4339,71.8762
2020-10-01,72.893378,-54.295699,205.18,-4.1708,-4.1611,71.8882
2020-11-01,72.893377,-54.295695,205.09,-10.9967,-10.9853,71.3128
2020-12-01,72.893375,-54.295688,205.22,-9.4708,-9.454,75.66
2021-01-01,72.893378,-54.295706,203.73,-12.0354,-12.0074,73.3408
2021-02-01,72.89338,-54.295702,204.07,-16.3394,-16.3521,62.6805
2021-03-01,72.893378,-54.295702,205.31,-18.8642,-18.8734,70.0319
2021-04-01,72.893376,-54.295717,205.38,-9.0375,-9.0157,66.425
2021-05-01,72.893374,-54.295718,205.85,-0.0762,-0.0598,70.9292
2021-06-01,72.893376,-54.295733,205.53,3.4279,3.4354,70.4079
2021-07-01,72.893376,-54.29575,204.41,4.457,4.435,77.5853
2021-08-01,72.89337,-54.295764,203.0,5.0331,5.0364,78.0292
2021-09-01,72.89337,-54.295771,202.58,-3.6221,-3.6274,70.0632
2021-10-01,72.893372,-54.29577,202.42,-4.2002,-4.2033,69.1321
2021-11-01,72.893371,-54.295773,202.07,-11.2104,-11.2438,71.9991
2021-12-01,72.893373,-54.295768,201.51,-7.9371,-7.925,74.3487
2022-01-01,72.893372,-54.295773,201.09,-13.4074,-13.4051,71.3028
2022-02-01,72.893367,-54.295767,200.8,-18.8792,-18.9013,67.8498
2022-03-01,72.893373,-54.295765,203.88,-14.2649,-14.2668,62.4698
2022-04-01,72.893369,-54.295785,203.45,-11.7812,-11.7869,74.5006
2022-05-01,72.89337,-54.295797,204.31,-6.6276,-6.6333,76.3592
2022-06-01,72.893373,-54.295798,204.55,1.1107,1.1055,70.0377
2022-07-01,72.893374,-54.295815,203.13,5.4627,5.4438,68.3919
2022-08-01,72.893373,-54.295837,201.5,3.8623,3.8539,76.9289
2022-09-01,72.893371,-54.29584,200.83,1.708,1.7066,87.7757
2022-10-01,72.89337,-54.295835,200.42,-5.5823,-5.5549,79.1879
2022-11-01,72.893369,-54.295825,199.25,-10.6215,-10.6398,76.8973
2022-12-01,72.89337,-54.295838,197.79,-10.4159,-10.4033,74.0031
2023-01-01,72.89337,-54.295843,201.06,-20.2282,-20.2376,62.1267
2023-02-01,72.893366,-54.295818,199.2,-21.7473,-21.7452,72.9477
2023-03-01,72.89337,-54.295819,200.34,-16.5673,-16.5454,65.0277
2023-04-01,72.893371,-54.295848,202.16,-12.2457,-12.2352,73.2879
2023-05-01,72.893369,-54.29585,202.19,-4.8529,-4.8727,74.4471
2023-06-01,72.893372,-54.295853,202.82,-0.2873,-0.2832,79.2277
2023-07-01,72.89337,-54.295861,203.06,4.7923,4.8048,79.8042
2023-08-01,72.893376,-54.295844,201.95,5.2579,,71.5931
2023-09-01,72.893382,-54.295797,200.14,-0.2513,,75.8361
2023-10-01,72.893387,-54.295794,201.65,-6.0429,,68.2876
2023-11-01,,,,,,
2023-12-01,,,,,,
2024-01-01,,,,,,
2024-02-01,,,,,,
2024-03-01,,,,,,
2024-04-01,72.893383,-54.295804,202.19,,,77.7676
2024-05-01,72.893384,-54.295812,201.28,-7.6726,,76.3663
2024-06-01,72.893383,-54.295815,202.86,1.5202,,78.3282
2024-07-01,72.89338,-54.29583,202.19,4.6123,,73.59
2024-08-01,72.893381,-54.295842,199.83,3.1976,,78.597
2024-09-01,72.89338,-54.29584,199.65,1.0514,,70.9869
2024-10-01,72.893375,-54.295833,199.82,-2.5629,,66.5138
2024-11-01,,,,,,
2024-12-01,,,,,,
2025-01-01,,,,,,
2025-02-01,,,,,,
2025-03-01,,,,,,
2025-04-01,72.893374,-54.29585,199.24,,,80.2872
2025-05-01,72.893378,-54.295858,199.15,-4.6676,,78.0693
2025-06-01,72.893377,-54.295851,198.79,2.2089,,81.0055
2025-07-01,72.893381,-54.295874,198.29,4.1254,,83.3804
2025-08-01,72.893378,-54.295873,197.4,2.5989,,82.8811
2025-09-01,72.89338,-54.295871,197.93,-0.3048,,76.4624
