time,gps_lat,gps_lon,gps_alt,t_u,t_i,rh_u
2009-08-01,72.891435,-53.535011,980.71,,,70.0759
2009-09-01,72.891403,-53.535383,979.54,-7.9461,-7.9476,73.9092
2009-10-01,72.891363,-53.535865,979.21,-13.5763,-13.5678,72.4906
2009-11-01,72.891306,-53.536429,978.66,-19.8755,-19.8603,64.7823
2009-12-01,72.891266,-53.536899,979.74,-13.5234,-13.5206,68.0969
2010-01-01,72.891221,-53.537473,979.88,-18.5888,-18.6147,78.6719
2010-02-01,72.89116,-53.537946,977.09,-14.8647,-14.8496,68.911
2010-03-01,72.891145,-53.538466,983.73,-16.5255,-16.5063,61.5822
2010-04-01,72.891078,-53.539051,978.2,-12.9016,-12.9037,65.2909
2010-05-01,72.891036,-53.539537,978.78,-3.0896,-3.0911,70.3202
2010-06-01,72.89099,-53.540085,978.72,1.8536,1.8536,78.8977
2010-07-01,72.890939,-53.540646,977.39,2.0663,2.0578,78.1401
2010-08-01,72.890885,-53.541206,974.94,2.2733,2.2786,81.2366
2010-09-01,72.890835,-53.541727,972.58,-3.3955,-3.3879,77.2471
2010-10-01,72.890795,-53.542201,971.79,-8.8165,-8.8047,73.1401
2010-11-01,72.89075,-53.542739,969.19,-9.5907,-9.5935,72.5603
2010-12-01,72.890702,-53.543282,973.28,-12.5753,-12.5722,75.896
2011-01-01,72.890662,-53.543795,970.17,-16.2093,-16.1921,72.4122
2011-02-01,72.890609,-53.544287,966.13,-20.02,-20.0036,70.413
2011-03-01,72.890581,-53.544809,969.71,-23.8622,-23.8478,65.9989
2011-04-01,72.890515,-53.545347,967.71,-21.7426,-21.7731,60.0889
2011-05-01,72.890478,-53.545803,969.33,-7.4064,-7.3995,70.4674
2011-06-01,72.890435,-53.546333,969.12,0.4802,0.4868,73.0663
2011-07-01,72.890391,-53.546903,968.38,3.3225,3.3382,75.1107
2011-08-01,72.890332,-53.547466,965.47,0.9427,0.9531,78.9747
2011-09-01,72.89029,-53.54798,962.48,-5.9209,-5.9082,73.3064
2011-10-01,72.890253,-53.548456,962.2,-13.6958,-13.6944,73.7511
2011-11-01,72.890198,-53.54903,957.71,-17.1999,-17.2144,70.0729
2011-12-01,72.890172,-53.549578,962.27,-21.5934,-21.5962,65.2752
2012-01-01,72.890113,-53.550053,959.84,-20.7794,-20.7952,68.051
2012-02-01,72.890081,-53.550513,962.64,-21.3654,-21.3404,67.7466
2012-03-01,72.890032,-53.551098,957.52,-23.9277,-23.9358,68.3306
2012-04-01,72.889983,-53.551561,960.18,-13.0417,-13.0312,73.6658
2012-05-01,72.889942,-53.552025,961.13,-4.6364,-4.6407,77.6485
2012-06-01,72.889897,-53.552547,961.69,2.1829,2.18,79.0709
2012-07-01,72.889849,-53.553123,959.57,3.1578,3.1621,79.4905
2012-08-01,72.889816,-53.553631,959.12,1.4928,1.505,77.1703
2012-09-01,72.889783,-53.554095,958.06,-3.9756,-3.9702,79.4071
2012-10-01,72.889748,-53.554549,956.61,-10.2056,-10.2043,77.9793
2012-11-01,72.889694,-53.55512,955.52,-16.2837,-16.3079,73.8617
2012-12-01,72.889649,-53.555586,954.9,-17.6775,-17.6879,72.4297
2013-01-01,72.889611,-53.55604,952.11,-17.8106,-17.8145,64.2674
2013-02-01,72.889592,-53.55657,958.32,-20.1062,-20.1067,68.1475
2013-03-01,72.88953,-53.557046,951.91,-15.7709,-15.7633,71.1197
2013-04-01,72.889491,-53.557563,953.54,-13.7761,-13.7875,70.0009
2013-05-01,72.889454,-53.558005,954.34,-12.6212,-12.6109,71.0363
2013-06-01,72.889411,-53.558518,954.78,0.9666,0.9685,76.0276
2013-07-01,72.889364,-53.559036,952.71,1.5449,1.5361,80.6963
2013-08-01,72.889313,-53.559559,951.62,-1.2094,-1.2011,77.187
2013-09-01,72.88927,-53.560053,950.93,-5.8803,-5.8794,76.2947
2013-10-01,72.889233,-53.560515,949.8,-11.89,-11.8884,74.1984
2013-11-01,72.889197,-53.561147,948.84,-19.7356,-19.7344,71.0978
2013-12-01,72.889134,-53.56157,945.25,-21.6709,-21.6596,66.3484
2014-01-01,72.889117,-53.562088,950.63,-15.2972,-15.2871,68.7118
2014-02-01,72.889064,-53.562562,950.68,-18.764,-18.7579,64.4183
2014-03-01,72.889018,-53.563042,945.55,-21.4998,-21.4948,62.5371
2014-04-01,72.888975,-53.563572,946.38,-17.6795,-17.6659,70.0244
2014-05-01,72.88894,-53.564025,948.42,-9.0694,-9.0801,72.1307
2014-06-01,72.888901,-53.564537,948.35,0.6835,0.6687,77.9275
2014-07-01,72.888856,-53.565083,947.56,2.1511,2.1469,80.7971
2014-08-01,72.888813,-53.565607,945.45,0.4088,0.4066,78.25
2014-09-01,72.888772,-53.566091,943.71,-5.7799,-5.7899,76.5346
2014-10-01,72.888736,-53.566558,942.54,-11.7513,-11.7488,70.3349
