time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,74.62491,-21.375618,654.38,-14.1492,54.2521,ZAC_L,ZAC,L,month,DJF
2010-02-01,74.624902,-21.375618,655.86,-16.8769,48.6478,ZAC_L,ZAC,L,month,DJF
2010-03-01,74.624895,-21.375599,653.46,-19.1376,45.379,ZAC_L,ZAC,L,month,MAM
2010-04-01,74.624893,-21.375589,654.72,-11.7532,55.2148,ZAC_L,ZAC,L,month,MAM
2010-05-01,74.624843,-21.375683,655.66,-4.1128,66.496,ZAC_L,ZAC,L,month,MAM
2010-06-01,74.62479,-21.375774,656.03,3.0637,64.301,ZAC_L,ZAC,L,month,JJA
2010-07-01,74.624777,-21.375756,654.57,6.8968,54.5748,ZAC_L,ZAC,L,month,JJA
2010-08-01,74.624757,-21.375743,653.57,3.8886,58.2111,ZAC_L,ZAC,L,month,JJA
2010-09-01,74.624743,-21.375706,651.8,-2.5691,69.6389,ZAC_L,ZAC,L,month,SON
2010-10-01,74.624739,-21.37569,650.85,-10.308,56.2216,ZAC_L,ZAC,L,month,SON
2010-11-01,74.624734,-21.375665,651.05,-14.2015,45.009,ZAC_L,ZAC,L,month,SON
2010-12-01,74.62473,-21.375666,651.65,-13.2997,47.6489,ZAC_L,ZAC,L,month,DJF
2011-01-01,74.624722,-21.375661,650.06,-16.0121,45.5762,ZAC_L,ZAC,L,month,DJF
2011-02-01,74.624722,-21.375646,652.26,-12.7939,63.8581,ZAC_L,ZAC,L,month,DJF
2011-03-01,74.624717,-21.375638,650.77,-19.0668,50.7923,ZAC_L,ZAC,L,month,MAM
2011-04-01,74.624707,-21.375619,651.64,-12.5196,58.4511,ZAC_L,ZAC,L,month,MAM
2011-05-01,74.624703,-21.375623,654.62,-4.6818,57.4615,ZAC_L,ZAC,L,month,MAM
2011-06-01,74.624697,-21.37562,654.91,2.7751,59.1672,ZAC_L,ZAC,L,month,JJA
