time,gps_lat,gps_lon,gps_alt,t_u,rh_u,station_id,site,position,resolution,season
2010-01-01,74.644035,-21.469558,876.74,-13.5797,55.8037,ZAC_U,ZAC,U,month,DJF
2010-02-01,74.644031,-21.469516,877.09,-17.0734,49.5025,ZAC_U,ZAC,U,month,DJF
2010-03-01,74.644025,-21.469473,877.84,-19.3751,46.3651,ZAC_U,ZAC,U,month,MAM
2010-04-01,74.64402,-21.469432,877.78,-12.6847,56.1227,ZAC_U,ZAC,U,month,MAM
2010-05-01,74.644016,-21.469392,879.2,-4.5218,64.2434,ZAC_U,ZAC,U,month,MAM
2010-06-01,74.644013,-21.469348,879.54,2.2375,64.4856,ZAC_U,ZAC,U,month,JJA
2010-07-01,74.644003,-21.469276,879.18,5.2491,57.8092,ZAC_U,ZAC,U,month,JJA
2010-08-01,74.643987,-21.469183,877.52,2.3828,61.5739,ZAC_U,ZAC,U,month,JJA
2010-09-01,74.643981,-21.469123,877.11,-3.7056,71.136,ZAC_U,ZAC,U,month,SON
2010-10-01,74.643978,-21.469083,876.67,-11.4691,56.7149,ZAC_U,ZAC,U,month,SON
2010-11-01,74.643977,-21.469044,876.49,-14.204,43.9609,ZAC_U,ZAC,U,month,SON
2010-12-01,74.643972,-21.469005,875.92,-14.1611,48.1428,ZAC_U,ZAC,U,month,DJF
2011-01-01,74.643967,-21.468955,876.01,-16.7929,45.3225,ZAC_U,ZAC,U,month,DJF
2011-02-01,74.643963,-21.46891,876.1,-13.7876,63.4451,ZAC_U,ZAC,U,month,DJF
2011-03-01,74.643955,-21.468864,876.71,-20.2245,52.2181,ZAC_U,ZAC,U,month,MAM
2011-04-01,74.643947,-21.468815,878.21,-13.1855,58.1223,ZAC_U,ZAC,U,month,MAM
2011-05-01,74.643942,-21.468767,878.73,-5.6608,56.9741,ZAC_U,ZAC,U,month,MAM
2011-06-01,74.643941,-21.468725,878.49,1.5595,61.546,ZAC_U,ZAC,U,month,JJA
2011-07-01,74.643932,-21.468642,877.64,4.5205,65.3913,ZAC_U,ZAC,U,month,JJA
2011-08-01,74.643922,-21.468556,876.16,2.0712,67.6924,ZAC_U,ZAC,U,month,JJA
2011-09-01,74.643918,-21.468498,875.5,-3.3691,56.7934,ZAC_U,ZAC,U,month,SON
2011-10-01,74.643914,-21.468447,875.24,-13.0444,61.451,ZAC_U,ZAC,U,month,SON
2011-11-01,74.643912,-21.468407,874.07,-14.0347,58.0682,ZAC_U,ZAC,U,month,SON
2011-12-01,74.64391,-21.468372,872.81,-17.2688,55.889,ZAC_U,ZAC,U,month,DJF
2012-01-01,74.643903,-21.468328,873.18,-13.2701,63.8746,ZAC_U,ZAC,U,month,DJF
2012-02-01,74.6439,-21.468288,874.37,-17.7628,50.135,ZAC_U,ZAC,U,month,DJF
2012-03-01,74.643889,-21.468235,874.79,-15.4085,57.9896,ZAC_U,ZAC,U,month,MAM
2012-04-01,74.643889,-21.468198,875.99,-16.0509,47.6415,ZAC_U,ZAC,U,month,MAM
2012-05-01,,,,-6.3013,51.021,ZAC_U,ZAC,U,month,MAM
2012-06-01,,,,3.2661,64.0983,ZAC_U,ZAC,U,month,JJA
2012-07-01,,,,4.7079,66.5859,ZAC_U,ZAC,U,month,JJA
2012-08-01,,,,3.7598,59.8585,ZAC_U,ZAC,U,month,JJA
