time,gps_lat_upper,gps_lon_upper,gps_alt_upper,t_u_upper,rh_u_upper,station_id_upper,site,position_upper,resolution,season,gps_lat_lower,gps_lon_lower,gps_alt_lower,t_u_lower,rh_u_lower,station_id_lower,position_lower,elev_upper_fixed,elev_lower_fixed,elev_diff_m,gradient_per100m
2010-01-01,67.000208,-47.017842,1842.88,-16.3719,78.6627,KAN_U,KAN,U,month,DJF,67.097002,-49.935028,677.27,-11.6791,69.9746,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4012208989167515
2010-02-01,67.000172,-47.017934,1838.12,-18.0194,80.235,KAN_U,KAN,U,month,DJF,67.09697,-49.93522,678.17,-10.1923,66.2525,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6691945316040118
2010-03-01,67.000207,-47.017996,1840.33,-20.7649,74.0013,KAN_U,KAN,U,month,MAM,67.09698,-49.935351,682.76,-11.8549,64.5273,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.76177936612433
2010-04-01,67.0002,-47.018135,1842.86,-16.5841,77.0813,KAN_U,KAN,U,month,MAM,67.096957,-49.935578,683.11,-7.063,72.8625,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8140266580029584
2010-05-01,67.000201,-47.018196,1843.79,-6.1922,80.1394,KAN_U,KAN,U,month,MAM,67.09693,-49.935814,681.7,1.4346,68.3683,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.652069457862743
2010-06-01,67.000198,,1843.21,-2.8537,81.0884,KAN_U,KAN,U,month,JJA,67.096892,-49.936191,681.3,3.4061,73.3917,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5351948906919283
2010-07-01,67.000192,,1845.1,-1.347,85.1575,KAN_U,KAN,U,month,JJA,67.096861,-49.936442,682.37,3.8329,75.4599,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4428665475406753
2010-08-01,67.000191,,1844.8,-1.144,88.2224,KAN_U,KAN,U,month,JJA,67.096829,-49.936639,680.5,4.1931,76.3783,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4563066952797039
2010-09-01,67.000196,-47.018613,1844.22,-7.093,85.4794,KAN_U,KAN,U,month,SON,67.096806,-49.936787,679.19,1.2162,74.2277,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7104126946128264
2010-10-01,67.000208,-47.018694,1841.43,-13.2745,82.0261,KAN_U,KAN,U,month,SON,67.096794,-49.936943,678.84,-3.9789,67.1305,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7947470567615401
2011-05-01,,,,-13.9292,76.3204,KAN_U,KAN,U,month,MAM,,,,-4.6828,70.5219,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.790540598308867
2011-06-01,,,,-3.8485,83.403,KAN_U,KAN,U,month,JJA,,,,2.7755,73.8298,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5663329428964716
2011-07-01,,,,-0.7803,84.5625,KAN_U,KAN,U,month,JJA,,,,4.5155,71.4082,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4527756640989031
2011-08-01,,,,-3.9191,87.019,KAN_U,KAN,U,month,JJA,,,,3.0431,76.3673,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5952480699024477
2011-09-01,,,,-12.3457,83.1192,KAN_U,KAN,U,month,SON,,,,-2.3789,72.5043,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.8521327257337792
2012-02-01,,,,-24.4921,80.4226,KAN_U,KAN,U,month,DJF,,,,-15.8506,65.0631,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7388233885929739
2012-03-01,,,,-25.106,81.4194,KAN_U,KAN,U,month,MAM,,,,-18.796,64.44,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5394868462676233
2012-04-01,,,,-12.8388,84.9103,KAN_U,KAN,U,month,MAM,,,,-5.8881,75.7536,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5942648529876972
2012-05-01,,,,-8.6268,78.895,KAN_U,KAN,U,month,MAM,,,,-0.3526,72.3468,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7074202953070629
2012-06-01,,,,-1.5032,83.4215,KAN_U,KAN,U,month,JJA,,,,3.6707,73.467,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.4423535648025444
2012-07-01,,,,-0.6321,87.1157,KAN_U,KAN,U,month,JJA,,,,4.4485,75.2181,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.43437668322460954
2012-08-01,,,,-3.3866,88.5834,KAN_U,KAN,U,month,JJA,67.096335,-49.941485,677.3,3.3295,76.5716,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5742072279267804
2012-09-01,,,,-9.4694,87.767,KAN_U,KAN,U,month,SON,67.096328,-49.941601,676.31,-0.2055,76.4855,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7920367979617488
2012-10-01,,,,-13.6896,86.8638,KAN_U,KAN,U,month,SON,67.09631,-49.941778,674.28,-4.9794,71.1033,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7446970409445723
2012-11-01,,,,-21.4581,84.0499,KAN_U,KAN,U,month,SON,67.096291,-49.941983,673.73,-12.1159,68.8322,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7987312226943566
2012-12-01,,,,-23.2225,78.6267,KAN_U,KAN,U,month,DJF,67.096258,-49.942113,670.68,-13.5827,61.2501,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.824175166505647
2013-01-01,,,,-21.8103,75.9204,KAN_U,KAN,U,month,DJF,,,,-14.2586,57.2582,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6456486239238052
2013-02-01,,,,-23.9407,76.0532,KAN_U,KAN,U,month,DJF,,,,-16.7873,60.6445,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6115951198242181
2013-03-01,,,,-20.3505,77.6147,KAN_U,KAN,U,month,MAM,67.096221,-49.942592,673.55,-11.0815,63.2961,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.7924728332891599
2013-04-01,,,,-19.8739,72.3153,KAN_U,KAN,U,month,MAM,67.096212,-49.942753,675.56,-8.7071,60.6904,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.9547292733599513
2013-05-01,67.000306,-47.021854,1840.48,-15.0176,75.2032,KAN_U,KAN,U,month,MAM,67.096201,-49.942901,677.41,-6.9225,69.6632,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6921077605738566
2013-06-01,67.000308,-47.021946,1841.03,-4.3469,76.3155,KAN_U,KAN,U,month,JJA,67.09618,-49.943145,678.56,2.3986,70.7758,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5767208433436215
2013-07-01,67.000314,-47.022043,1841.22,-3.1695,80.653,KAN_U,KAN,U,month,JJA,67.096147,-49.943444,676.67,3.1732,73.2481,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.5422826021904364
2013-08-01,67.000319,-47.022136,1840.61,-5.8895,82.7023,KAN_U,KAN,U,month,JJA,67.096116,-49.943683,675.53,1.1401,75.7705,KAN_L,L,1840.61,670.98,1169.6299999999999,-0.6010105759941179
