time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-09-01,923.9882,-2.5934,79.9399,81.6629,2.8476,3.3134,133.9854,1.832,-1.7682,112.5282,105.8853,86.0352,86.0352,,268.3225,296.9564,0.617,-4.1555,-6.5034,14.6037,2.5215,2.5094,0.7499,0.7467,14.7185,15.5822,0.0715,-0.0562,0.1278,,,-0.6916,-1.6114,-2.5222,-3.3354,-3.9604,-4.3771,-4.5709,-4.4967,0.9331,1.9331,2.9331,3.9331,4.9331,5.9331,6.9331,9.9331,-4.4943,-1.0525,-4.2288,,67.097297,-49.931913,676.17,67.097312,-49.931913,678.73,13.45,-2.0476,-2.5962,81.665,134.9669,-1.7649
2008-10-01,924.2335,-8.839,76.7142,81.4251,1.8167,4.5009,136.0388,2.4764,-2.5678,46.4095,41.9812,37.2887,37.2887,,244.5582,269.8761,0.6489,-10.5563,-4.7347,21.8523,2.5568,2.5146,0.8036,0.7906,14.7019,15.5634,0.0489,-0.0762,0.1252,,,-4.1957,-3.1184,-2.8989,-3.1668,-3.563,-3.9371,-4.1696,-4.3672,0.9104,1.9104,2.9105,3.9104,4.9104,5.9104,6.9104,9.9104,-4.3736,-1.1894,-4.1937,,67.097284,-49.932058,675.85,67.097292,-49.93211,678.7,13.25,-8.9245,-8.8353,82.3774,134.6686,-2.6032
2008-11-01,924.7323,-10.8112,81.3601,88.1435,1.6097,4.3467,133.9104,2.3021,-2.2162,6.906,5.2659,5.4289,5.4289,,240.5742,264.4234,0.6747,-11.8524,,,2.5707,2.5195,0.8318,0.815,14.6948,15.5518,0.0326,-0.0836,0.1162,,,-8.1241,-6.0884,-4.7949,-4.1155,-3.8669,-3.8919,-3.9661,-4.1965,0.8941,1.8941,2.8941,3.8941,4.8941,5.8941,6.8941,9.8941,-4.2052,-0.8315,-4.1618,,67.097269,-49.932229,674.28,67.097272,-49.932309,678.66,12.82,-11.2204,-10.8295,88.6081,131.1321,-2.2228
2008-12-01,916.8134,-15.4373,71.2094,78.6264,1.0833,5.7925,140.0709,3.3923,-4.0529,0.8478,0.7424,0.8832,0.8846,,214.5973,247.6438,0.5576,-16.1695,-8.4236,37.0391,2.6026,2.5279,0.8836,0.8581,14.6139,15.5415,0.0075,-0.0932,0.1006,,,-10.6526,-7.8602,-6.2115,-5.2485,-4.6386,-4.3272,-4.1323,-4.079,0.869,1.869,2.869,3.869,4.869,5.869,6.869,9.869,-4.0764,-0.8583,-4.1598,,67.097245,-49.932428,670.38,67.097251,-49.932509,678.63,12.55,-15.9078,-15.4285,83.5962,140.303,-3.9943
2009-01-01,912.9546,-13.5028,62.6707,68.1504,1.1081,5.3631,129.9273,3.7522,-3.1404,4.2033,2.5839,3.0592,3.0592,,206.0531,247.6949,0.4349,-16.0371,-9.134,42.0637,2.5615,2.4982,0.9099,0.8868,14.5825,15.5444,0.0096,-0.0972,0.1068,,,-13.2946,-10.7353,-8.5008,-6.8506,-5.6853,-4.9949,-4.5185,-4.0467,0.8712,1.8712,2.8712,3.8712,4.8712,5.8712,6.8712,9.8712,-4.0264,-0.8318,-4.1935,,67.097234,-49.932626,678.0,67.097231,-49.932711,678.6,12.55,-14.0442,-13.4724,73.9714,124.2769,-3.1638
2009-02-01,924.8586,-13.594,56.2237,61.0354,0.9793,6.2787,138.9356,3.8876,-4.462,42.5675,33.6412,26.0014,25.9982,,195.3561,247.1994,0.3268,-16.0873,-18.311,49.3524,2.5659,2.5006,0.9295,0.9057,14.6895,15.5455,-0.0017,-0.0981,0.0963,,,-12.7838,-10.9152,-9.4259,-8.0477,-6.7547,-5.8523,-5.1134,-4.1312,0.8599,1.8599,2.8599,3.8599,4.8599,5.8599,6.8599,9.8599,-4.085,-0.556,-4.0509,,67.097209,-49.93275,674.96,67.097211,-49.932904,678.57,13.43,-13.8437,-13.5978,68.9432,133.4327,-4.4201
2009-03-01,926.6395,-18.8556,62.4592,72.7803,0.6545,4.2284,130.1537,2.8657,-2.4177,124.1828,112.5612,76.9515,76.9515,,177.286,232.263,0.3498,-19.8937,-5.6587,17.9839,2.5999,2.5082,0.9431,0.9098,14.6981,15.5382,-0.0076,-0.0996,0.092,,,-15.1967,-12.8756,-10.735,-8.9825,-7.5264,-6.5504,-5.7017,-4.3367,0.8539,1.854,2.854,3.854,4.854,5.854,6.854,9.854,-4.2703,0.0152,-3.9131,,67.097174,-49.932914,676.23,67.097191,-49.933097,678.54,14.2,-18.2715,-18.8495,75.7781,136.0079,-2.378
2009-04-01,925.8398,-11.0406,70.2471,76.4727,1.3523,4.2548,112.3192,2.4928,-1.0234,217.6221,209.5552,136.5587,136.5587,0.6522,218.4736,267.1042,0.4711,-10.9587,-14.7843,2.9244,2.5538,2.5013,0.9387,0.9194,14.6692,15.5164,-0.0085,-0.117,0.1086,,,-9.2564,-10.1568,-9.9847,-9.2235,-8.1559,-7.213,-6.2817,-4.5664,0.8531,1.8531,2.8531,3.8531,4.8531,5.8531,6.8531,9.8531,-4.4824,0.5267,-3.7856,,67.097179,-49.933154,677.61,67.097171,-49.933297,678.5,13.93,-9.4235,-11.0488,79.3548,122.0777,-0.9725
2009-05-01,925.5586,-3.8159,66.0155,67.7708,2.226,4.865,130.8994,3.0276,-2.6225,347.9636,340.1994,208.8119,208.8119,0.619,230.1956,294.0789,0.2778,-4.6786,-31.977,15.8732,2.5145,2.4968,0.9679,0.9612,14.5252,15.3749,-0.0281,-0.2566,0.2285,,,-2.7633,-5.2505,-6.9149,-7.5803,-7.4997,-7.1376,-6.5119,-4.844,0.8334,1.8334,2.8334,3.8334,4.8334,5.8334,6.8334,9.8334,-4.7518,0.4459,-3.995,,67.097166,-49.933339,678.43,67.097151,-49.933496,678.47,13.89,-2.1896,-3.8235,70.3722,129.3271,-2.5955
2009-06-01,935.0804,2.5129,74.5129,74.5561,3.6644,3.745,119.0065,2.8472,-1.5787,,,,,0.5744,275.6628,316.1226,0.4465,-0.2899,-9.39,29.9407,2.4778,2.4891,1.5375,1.5444,13.8772,14.6421,-0.7563,-0.8054,0.0491,,,0.2553,-1.2616,-3.5391,-5.1112,-5.9095,-6.2315,-6.1033,-4.9924,,1.1052,2.1052,3.1052,4.1052,5.1052,6.1052,9.1052,-4.6819,0.0438,-4.6726,,67.097135,-49.933629,678.81,67.09713,-49.933695,678.44,13.81,4.1298,2.5196,75.1065,121.4786,-1.5831
