time,p_u,p_l,t_u,t_l,rh_u,rh_u_wrt_ice_or_water,qh_u,rh_l,rh_l_wrt_ice_or_water,qh_l,wspd_u,wspd_l,wdir_u,wdir_l,wspd_x_u,wspd_y_u,wspd_x_l,wspd_y_l,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dlhf_l,dshf_u,dshf_l,z_boom_u,z_boom_cor_u,z_boom_l,z_boom_cor_l,z_stake,z_stake_cor,z_surf_combined,snow_height,rainfall_u,rainfall_cor_u,rainfall_l,rainfall_cor_l,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,t_i_9,t_i_10,t_i_11,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,d_t_i_9,d_t_i_10,d_t_i_11,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2009-04-01,795.4208,,-16.9396,,76.3513,86.647,1.129,,,,6.3889,,137.8036,,3.8191,-4.2124,,,234.6517,237.9307,201.1511,201.4941,0.8273,198.5718,239.3791,0.5006,-18.2612,-2.5509,,21.5758,,2.6653,2.5803,,,1.7992,1.7415,0.2783,0.2783,,,,,-14.005,-13.972,-18.1619,-16.6036,-14.745,-12.7717,-11.4943,-9.4081,,,,,0.5993,0.4212,1.4212,2.4212,3.4212,4.4212,7.418,7.5079,8.5079,9.5079,,2.5244,0.6198,,67.000164,-47.016925,1841.21,67.000161,-47.016888,1845.21,14.13,-15.9544,-16.9136,87.2428,142.6384,-4.2101
2009-05-01,798.2587,,-12.9472,,73.6321,80.7792,1.4707,,,,6.6168,,130.9646,,4.4619,-3.8739,,,339.0443,340.842,285.9547,285.9547,0.8271,197.7756,254.5425,0.32,-14.164,-8.3886,,23.1988,,2.5274,2.4657,,,1.7664,1.7236,0.3525,0.3525,,,,,-10.9688,-11.4211,-14.5035,-14.4574,-13.7497,-12.6798,-11.8211,-9.8794,,,,,0.6737,0.4937,1.4937,2.4937,3.4937,4.4937,7.4937,7.5822,8.5822,9.5822,,2.3535,0.6103,,67.000171,-47.01702,1843.66,67.000163,-47.016982,1845.14,14.18,-11.4148,-12.9557,83.495,136.5253,-3.8441
2009-06-01,809.6216,,-4.4569,,79.264,81.9981,2.7924,,,,5.8714,,151.4963,,2.2965,-4.2289,,,368.7835,368.9897,297.5217,297.522,0.8094,240.8025,291.4981,0.4463,-5.1851,-15.9404,,14.3762,,2.486,2.4653,,,1.8021,1.7871,0.3032,0.3032,,,,,-4.3583,-4.4881,-3.7095,-8.2126,-11.0433,-11.7681,-11.6269,-10.2355,,,,,0.6244,0.4444,1.4444,2.4444,3.4444,4.4444,7.4444,7.5328,8.5329,9.5329,,2.5688,-0.2849,,67.000169,-47.017113,1844.79,67.000166,-47.017082,1845.08,14.03,-2.4467,-4.4472,83.0479,159.9432,-4.2282
2009-07-01,812.3204,,-2.3948,,82.3773,84.0077,3.345,,,,4.7081,,136.2588,,2.8234,-2.9503,,,357.3877,358.1355,277.8773,277.8773,0.7747,248.2172,299.3057,0.4335,-3.4455,-10.4359,,14.7774,,2.4483,2.4375,,,1.8908,1.8822,0.2695,0.2695,,,,,-3.3468,-1.8782,-1.0696,-2.4397,-5.2279,-7.9644,-10.0642,-10.3272,,,,,0.5907,0.4107,1.4107,2.4108,3.4108,4.4108,7.4108,7.4992,8.4992,9.4992,,2.784,-0.5998,,67.00016,-47.017208,1845.78,67.000169,-47.017183,1845.01,13.92,-0.5233,-2.3955,84.5765,139.1601,-2.9337
2009-08-01,806.1207,,-6.1733,,81.8643,85.8324,2.5507,,,,5.4282,,134.6402,,3.4192,-3.3766,,,282.7556,282.5388,215.7534,215.7534,0.7607,221.4915,281.9876,0.2904,-7.2945,-6.2171,,18.7965,,2.4026,2.3752,,,2.0097,1.9867,0.2466,0.2466,,,,,-6.7321,-2.6491,-1.3573,-0.6712,-2.6521,-5.4251,-7.3532,-9.7963,,,,,0.5678,0.3878,1.3878,2.3879,3.3878,4.3879,7.3879,7.4763,8.4763,9.4763,,3.8227,-0.2949,,67.000171,-47.017307,1843.89,67.000171,-47.017285,1844.94,13.86,-4.9214,-6.176,86.9866,143.6338,-3.3621
2009-09-01,796.0433,,-12.3206,,84.2686,92.4333,1.7435,,,,5.6394,,152.9019,,1.8369,-3.5899,,,134.7045,134.3213,115.5206,115.5206,0.8502,235.1431,259.3236,0.7221,-13.1678,-1.0055,,14.4539,,2.3664,2.312,,,1.9361,1.8919,0.3271,0.3271,,,,,-8.9648,-5.9175,-5.2316,-4.5022,-4.9307,-5.8318,-6.6239,-8.9649,,,,,0.6483,0.4683,1.4683,2.4683,3.4683,4.4683,7.4683,7.5567,8.5567,9.5567,,4.1104,-0.2338,,67.000182,-47.017416,1842.83,67.000174,-47.017385,1844.87,13.67,-11.9377,-12.3189,92.9405,163.0607,-3.5977
2009-10-01,800.1523,,-17.9625,,82.0509,95.0372,1.0674,,,,6.8319,,140.1347,,3.8128,-4.5657,,,47.7557,46.2757,44.0148,44.0148,,205.4432,235.4348,0.6237,-19.3307,2.9342,,27.2599,,2.3327,2.2543,,,1.851,1.7888,0.4078,0.4078,,,,,-14.9332,-10.7771,-10.1395,-8.0037,-7.2451,-6.9016,-6.6934,-8.434,,,,,0.729,0.549,1.549,2.549,3.549,4.5491,7.5491,7.6375,8.6375,9.6375,,4.2222,-0.3808,,67.000187,-47.017511,1842.02,67.000177,-47.017486,1844.8,13.35,-18.122,-17.9483,94.9776,151.689,-4.5474
2009-11-01,791.7244,,-23.9596,,78.578,95.2964,0.6475,,,,7.4604,,134.2292,,4.9673,-4.8354,,,11.7138,11.1012,10.1046,10.1046,,188.8598,215.2852,0.6729,-25.007,3.7086,,33.8079,,2.2743,2.1717,,,1.7784,1.6981,0.5056,0.5056,,,,,-20.2476,-14.8698,-14.6577,-11.3549,-9.6063,-8.2884,-7.385,-8.2702,,,,,0.8268,0.6468,1.6468,2.6468,3.6468,4.6468,7.6468,7.7352,8.7352,9.7352,,4.1758,-0.4179,,67.000177,-47.017576,1833.67,67.000179,-47.017586,1844.73,13.12,-24.4971,-23.9473,95.5955,137.8559,-4.8402
2009-12-01,801.9007,,-20.497,,75.793,87.613,0.8863,,,,9.9185,,126.2697,,7.2151,-5.2941,,,1.059,0.9948,1.1672,1.1672,,190.3106,224.4847,0.5575,-22.4899,2.5045,,48.0579,,2.256,2.1688,,,1.7624,1.6942,0.5059,0.5059,,,,,-21.0887,-17.1715,-17.1784,-14.1435,-11.9728,-9.9365,-8.6022,-8.4139,,,,,0.8243,0.6443,1.6443,2.6443,3.6443,4.6443,7.6443,7.7327,8.7327,9.7327,,4.1758,-0.4179,,67.000181,-47.017727,1842.65,67.000182,-47.017687,1844.66,12.54,-21.0578,-20.5094,86.2276,131.1562,-5.2516
2010-01-01,794.6802,,-16.3719,,78.6627,89.7372,1.168,,,,8.93,,141.8037,,4.8716,-6.1916,,,3.8684,3.7268,3.6892,3.6952,,211.0187,239.9704,0.6138,-18.0792,3.1515,,40.4642,,2.2282,2.1598,,,1.7208,1.668,0.5236,0.5236,,,,,-17.7591,-15.8915,-15.4967,-14.28,-12.8581,-11.0518,-9.6562,-8.8014,,,,,0.852,0.672,1.672,2.672,3.672,4.672,7.672,7.7604,8.7604,9.7604,,4.1758,-0.4179,,67.000208,-47.017842,1842.88,67.000185,-47.017789,1844.6,12.55,-16.9346,-16.3567,89.2351,147.1465,-6.1634
