time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-07-01,,,67.9711,67.9711,,,,,,,,,,0.4542,,,,,,,2.5886,2.6095,1.3422,1.353,,,-0.1772,,,-1.2987,-7.0975,-11.1328,-13.4368,-14.6558,-15.2159,-15.299,-14.6328,,,,,,,,,,,,79.911053,-24.085663,377.06,,,,12.62,,,,,
2008-08-01,965.3028,1.8849,73.5773,73.7559,3.3775,5.1749,305.541,-3.1039,2.2174,173.3811,172.3776,90.9445,90.9445,0.5021,259.3104,311.5058,0.3111,-0.8471,-9.9146,45.4857,2.5701,2.579,2.0349,2.0414,17.9328,18.1705,-0.9207,-0.9392,0.0185,-0.4914,-2.906,-7.3113,-10.5111,-12.5993,-13.8337,-14.4323,-14.5223,0.1213,1.0949,2.0949,3.0949,4.0949,5.0949,6.0949,9.0949,-14.562,1.3335,-1.0867,79.911049,-24.085616,376.59,79.910999,-24.08557,376.78,12.4,2.4511,1.8819,74.7158,274.2222,2.2269
2008-09-01,962.5623,-5.7246,83.7495,87.8326,2.344,5.5886,318.9338,-1.8902,2.1693,46.2825,45.8426,32.8631,32.8974,,259.2871,285.244,0.6752,-6.7014,-4.5537,14.8446,2.5302,2.5036,2.0508,2.0297,17.7607,18.0192,-0.9246,-1.0971,0.1726,-5.1094,-5.0482,-6.4369,-8.3833,-10.2972,-11.8251,-12.918,-14.1087,0.091,1.091,2.091,3.091,4.091,5.091,6.091,9.091,-14.4629,0.6794,-0.555,79.911049,-24.08558,376.2,79.910998,-24.085542,376.7,12.08,-5.7793,-5.717,88.464,250.5865,2.3916
2008-10-01,,-17.5877,68.3504,78.9409,,6.572,320.5629,-3.7936,4.6123,4.717,4.2663,4.6989,4.6989,,177.3782,229.6584,0.3272,-20.6078,,,2.5174,2.4345,1.9352,1.8715,17.7528,,-0.8116,-1.1244,0.3128,-14.7575,-12.2548,-10.0792,-9.688,-10.2257,-11.0348,-11.9142,-13.4926,0.204,1.204,2.204,3.204,4.204,5.204,6.204,9.204,-13.9112,0.7012,-0.6629,79.911049,-24.085555,375.55,79.910997,-24.085514,376.61,11.88,-18.0127,-17.582,78.9426,284.3038,4.642
2008-11-01,,-21.4719,70.1502,85.5133,,7.9202,331.6724,-3.3719,6.255,0.0,0.0,0.0004,0.0004,,177.2907,220.4224,0.4515,-23.1644,,,2.5865,2.4826,1.9591,1.8805,17.8172,,-0.8396,-1.1244,0.2848,-20.3527,-18.0828,-15.2547,-13.2805,-12.2469,-11.8795,-12.0203,-13.0168,0.176,1.176,2.176,3.176,4.176,5.176,6.176,9.176,-13.2915,0.6796,-0.6795,,,,79.910996,-24.085486,376.52,11.96,-21.8447,-21.4831,84.5061,287.7952,6.3587
2008-12-01,,-23.5243,69.1796,85.7079,,6.7637,325.7416,-2.6817,3.9374,0.0,0.0,0.0,0.0,,178.4449,212.0402,0.5346,-25.6798,,,2.5843,2.4703,1.8896,1.8062,17.7655,,-0.7963,-1.1244,0.3281,-23.1008,-20.7672,-18.0991,-15.9867,-14.4628,-13.4565,-12.9564,-12.9207,0.2192,1.2192,2.2192,3.2192,4.2192,5.2192,6.2192,9.2192,-12.911,0.7074,-0.7202,,,,79.910995,-24.085458,376.43,11.93,-23.9443,-23.517,86.423,262.1947,4.0923
2009-01-01,,-24.5509,66.2423,82.6587,,6.715,321.7133,-3.3883,4.2924,0.0,0.0,0.0,0.0,,165.4505,208.9412,0.4066,-26.5131,,,2.5984,2.4786,1.8917,1.8045,17.7694,,-0.7993,-1.1244,0.3251,-25.08,-22.7739,-19.9507,-17.9575,-16.2347,-14.9389,-14.0205,-13.1707,0.2163,1.2163,2.2163,3.2163,4.2163,5.2163,6.2163,9.2163,-12.9488,0.6271,-0.6906,,,,79.910994,-24.085429,376.34,11.91,-24.9311,-24.5318,82.6806,277.5128,4.2795
2009-02-01,,-27.4294,69.7376,89.7073,,5.2894,323.8532,-2.0235,2.7702,0.9909,0.7844,1.2659,1.2659,,166.8526,199.7042,0.539,-29.3237,,,2.5743,2.4414,1.8986,1.8006,17.888,,-0.7789,-1.1244,0.3455,-26.7844,-23.8596,-21.1949,-19.3579,-17.6231,-16.19,-14.9904,-13.5862,0.2366,1.2366,2.2366,3.2366,4.2366,5.2366,6.2366,9.2366,-13.2289,0.6271,-0.7071,,,,79.910993,-24.085402,376.26,11.87,-27.8305,-27.4137,90.3426,243.183,2.8267
2009-03-01,,-27.4547,65.0775,84.1112,,6.1668,334.3585,-2.3849,4.9685,38.2605,36.7629,34.91,34.91,,155.2595,197.0388,0.4188,-30.0531,,,2.55,2.4183,1.896,1.798,17.9075,,-0.7668,-1.1244,0.3576,-28.2658,-25.9939,-23.2381,-21.172,-19.1034,-17.3971,-15.9329,-14.0929,0.2488,1.2488,2.2488,3.2488,4.2488,5.2488,6.2488,9.2488,-13.6322,0.5861,-0.7218,,,,79.910991,-24.085375,376.17,11.84,-27.6183,-27.4671,85.0294,269.8531,4.9619
2009-04-01,,-21.0907,56.8677,68.0708,,5.1237,322.795,-2.453,3.2311,171.0033,169.5709,142.0366,142.0366,,156.7347,216.265,0.216,-24.2715,,,2.4993,2.4004,1.8765,1.8023,17.9347,,-0.7588,-1.1244,0.3656,-23.7764,-23.333,-22.7009,-21.7076,-20.0725,-18.3927,-16.9082,-14.6835,0.2567,1.2567,2.2567,3.2567,4.2567,5.2567,6.2567,9.2567,-14.1324,0.4618,-0.6707,,,,79.91099,-24.085346,376.08,11.83,-20.4267,-21.1022,72.4144,259.5867,3.2427
