time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-07-01,,,77.4196,77.4673,,,,,,,,,,0.6184,,,,,,,2.5541,2.5606,0.9043,0.9066,,-0.0253,,,-3.9283,-9.5672,-13.2613,-15.6187,-16.76,-17.473,-17.507,-17.1367,,,,,,,,,,,,79.833908,-25.170451,868.95,,,,13.88,,,,,
2008-08-01,908.0006,-1.623,79.9926,81.4119,3.0441,4.5606,287.5379,-3.6806,1.1632,214.0122,207.0626,139.7253,139.7253,0.6631,250.1635,300.2641,0.388,-3.233,-8.4562,21.1259,2.4953,2.4878,1.1274,1.1238,18.1909,-0.2426,-0.2433,0.0007,-3.5256,-7.3959,-10.6317,-13.2191,-14.8915,-16.209,-16.7137,-17.0793,0.7281,1.7281,2.7281,3.7281,4.7281,5.7281,6.7281,9.7281,-17.1157,-6.8707,-2.4423,79.833912,-25.170416,868.31,79.833911,-25.170417,867.14,14.01,-0.4902,-1.6112,81.5407,279.8598,1.1579
2008-09-01,903.7312,-9.5447,82.6022,89.5655,1.7644,4.7617,294.8022,-2.8165,1.3015,69.0018,62.9866,49.4954,49.4981,,239.78,268.4244,0.6386,-10.7227,-0.0702,14.7558,2.4181,2.376,1.0873,1.0686,18.111,-0.1884,-0.2781,0.0897,-7.4933,-8.4226,-9.903,-11.6607,-13.1402,-14.639,-15.4693,-16.7444,0.7824,1.7824,2.7824,3.7824,4.7824,5.7824,6.7824,9.7824,-16.8305,-7.1983,-2.6162,79.833917,-25.170365,867.15,79.833918,-25.170371,867.14,13.5,-9.2723,-9.5413,90.5222,269.1044,1.286
2008-10-01,899.8811,-22.2627,74.6477,88.765,0.6234,5.3881,283.586,-4.3877,1.0604,5.6078,4.48,4.748,4.748,,174.7046,212.9678,0.4702,-25.5447,1.9093,40.2537,2.2365,2.1427,0.8339,0.7993,18.0412,0.063,-0.2782,0.3411,-11.2941,-10.8078,-11.0164,-11.8728,-12.718,-13.8567,-14.5951,-16.2404,1.0337,2.0337,3.0337,4.0337,5.0337,6.0337,7.0337,10.0337,-16.2218,-7.3846,-2.7161,79.833925,-25.170318,865.88,79.833924,-25.170325,867.13,12.76,-22.5838,-22.2562,90.1623,273.3431,1.0547
2008-11-01,903.4157,-26.4912,75.2456,95.6343,0.3919,6.448,300.2539,-5.0541,2.9479,0.0,0.0,0.0,0.0,,184.8432,204.3647,0.7162,-28.0973,1.56,28.5951,2.2726,2.1593,0.9183,0.8726,18.0325,0.0181,-0.2782,0.2962,-15.9787,-13.9968,-12.8491,-12.938,-13.1274,-13.7905,-14.2554,-15.8045,0.9888,1.9888,2.9888,3.9888,4.9888,5.9888,6.9888,9.9888,-15.8105,-7.443,-2.7573,79.83393,-25.170196,867.17,79.83393,-25.170279,867.13,12.49,-26.811,-26.4847,95.7303,288.5789,2.9723
2008-12-01,896.2838,-26.9231,73.6436,93.6727,0.3792,5.4895,288.383,-4.071,1.3529,0.0,0.0,0.0,0.0,,179.1162,202.3855,0.6658,-28.689,1.0037,26.8283,2.1968,2.0853,0.7984,0.7579,17.936,0.1115,-0.2782,0.3897,-18.7367,-16.7026,-14.8953,-14.5474,-14.1495,-14.2884,-14.388,-15.5303,1.0822,2.0822,3.0822,4.0822,5.0822,6.0822,7.0822,10.0822,-15.5019,-7.4449,-2.747,79.833945,-25.170195,867.04,79.833937,-25.170233,867.13,12.37,-27.2373,-26.9261,94.1519,272.5654,1.35
2009-01-01,895.3248,-27.8803,72.3896,91.1842,0.3662,4.9046,280.1351,-4.2145,0.7534,,,,,,,,,,,,2.1538,2.0403,0.8064,0.7636,17.9254,0.1322,-0.2782,0.4103,-20.3358,-18.253,-16.2175,-15.8894,-15.2418,-15.0475,-14.8397,-15.4457,1.1029,2.1029,3.1029,4.1029,5.1029,6.1029,7.1029,10.1029,-15.4247,-7.4531,-2.7477,79.833948,-25.170227,867.37,79.833943,-25.170187,867.12,12.24,-28.1968,-27.8835,91.7889,267.722,0.7443
2009-02-01,904.7897,-30.5482,74.9859,98.6385,0.2734,4.431,274.0116,-3.0224,0.212,,,,,,,,,,,,2.102,1.9808,0.6778,0.6387,17.7225,0.2249,-0.2782,0.5031,-20.8651,-19.2401,-17.1922,-16.949,-16.1664,-15.7715,-15.3599,-15.5072,1.1957,2.1957,3.1957,4.1957,5.1957,6.1957,7.1957,10.1957,-15.4978,-7.4851,-2.7888,79.833948,-25.170178,867.44,79.83395,-25.170142,867.12,12.15,-30.7702,-30.5311,98.965,264.8585,0.1711
2009-03-01,905.3209,-30.9956,70.4016,93.1929,0.2447,4.8374,282.5559,-4.138,0.9216,,,,,,163.9976,189.7848,0.6275,-32.5474,1.0468,29.5702,2.0632,1.9423,0.6715,0.6321,16.5634,0.2461,-0.2782,0.5243,-21.9542,-20.1728,-17.9081,-17.7465,-16.917,-16.4265,-15.8878,-15.6588,1.2168,2.2168,3.2168,4.2168,5.2168,6.2168,7.2168,10.2168,-15.6754,-7.4876,-2.7858,79.833945,-25.170058,862.51,79.833956,-25.170098,867.11,12.91,-30.9,-30.9964,94.0163,276.7293,0.9314
2009-04-01,907.5379,-26.0505,63.3834,79.4233,0.3581,4.5954,276.9122,-4.081,0.4947,216.4063,202.5038,168.904,168.904,,153.4111,203.1313,0.352,-28.2534,-0.2958,33.7304,2.0037,1.9054,0.6848,0.6512,15.658,0.2568,-0.2782,0.5349,-22.2601,-20.8055,-18.5663,-18.5068,-17.637,-17.0663,-16.4214,-15.8644,1.2275,2.2275,3.2275,4.2275,5.2275,6.2275,7.2275,10.2275,-15.9066,-7.4102,-2.7395,79.83396,-25.170037,865.58,79.833962,-25.170052,867.11,14.52,-24.8553,-26.0468,82.7098,270.7819,0.4881
