time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-08-01,899.9391,0.9776,79.9077,80.1849,3.6579,4.5998,36.6148,2.3323,3.1387,230.3683,235.4002,98.3377,98.3377,0.4113,263.3076,310.5207,0.3948,-1.0494,-11.7572,24.8625,2.4589,2.4632,1.1518,1.1536,19.7243,20.5439,-0.0921,-0.1147,0.0225,,,-0.0429,-0.0344,-0.1363,-0.6728,-0.6467,-0.5321,-0.6762,-0.5359,0.5814,1.5814,2.5814,3.5814,4.5814,5.5814,6.5814,9.5814,-0.5214,0.0027,2.0626,,61.17886,-46.816231,909.59,61.178921,-46.816217,908.48,13.67,1.8866,0.9827,80.1032,65.8666,3.1947
2008-09-01,898.1941,-2.4585,84.996,86.637,3.1266,5.4814,41.9782,2.2981,2.5543,128.1286,130.6992,76.2119,76.2119,0.5418,265.0996,297.4173,0.5802,-3.9605,-8.6545,23.6441,2.425,2.4142,1.5067,1.5004,19.2715,20.1067,-0.4925,-0.5317,0.0391,,,0.1572,0.0177,0.5615,-0.6475,-0.6099,-0.5711,-0.5836,-0.5396,0.181,1.181,2.181,3.181,4.181,5.181,6.181,9.181,-0.528,1.2834,1.6525,,61.178819,-46.816262,907.74,61.178883,-46.816243,908.35,13.56,-2.2807,-2.4451,86.1907,106.4946,2.6618
2008-10-01,895.6711,-7.3736,78.9503,83.1945,2.0845,6.9927,49.202,4.3225,3.7308,76.1748,79.0381,64.9124,65.005,,234.8389,273.0691,0.4937,-9.6372,-1.8041,39.1796,2.192,2.1622,1.2133,1.1971,19.6939,,-0.3422,-0.5874,0.2452,,,-0.0445,-0.1526,,-0.5391,-0.0152,-0.2591,-0.2264,-0.0336,0.3313,1.3313,2.3313,3.3313,4.3313,5.3313,6.3313,9.3313,,1.5322,1.4128,,61.178791,-46.816283,906.93,61.178841,-46.816273,908.21,13.5,-7.6026,-7.3799,82.4284,75.814,3.795
2008-11-01,900.0699,-7.9172,88.8712,93.8173,2.2575,6.0074,65.4385,2.713,1.2399,,,,,,257.2158,276.4976,0.7294,-9.0075,3.3217,26.1926,1.6268,1.6018,0.6526,0.6416,25.0317,,0.2254,-0.5874,0.8127,,,0.7386,-0.3429,,-0.686,0.7027,-0.107,0.019,,0.8989,1.8989,2.8989,3.8989,4.8989,5.8989,6.8989,9.8989,,2.031,1.9109,,,,,61.178799,-46.816303,908.07,13.18,-8.3665,-7.9263,91.4674,102.4451,1.3079
2008-12-01,888.1865,-14.7542,88.3238,97.7419,1.4122,7.4021,53.8519,3.8869,2.8394,7.5844,9.3399,8.394,8.394,,222.6589,249.8527,0.6451,-15.627,6.8466,34.6742,0.6513,0.6339,,,19.0829,,1.1335,-0.5874,1.7209,,,,0.086,,-0.5434,,-0.0652,0.1541,,1.8068,2.8068,3.8068,4.8068,5.8068,6.8068,7.8068,10.8068,,2.882,2.5676,,,,,61.178757,-46.816333,907.93,12.86,-15.1657,-14.7563,96.5106,93.4283,2.9654
2009-01-01,881.4149,-13.2956,82.7744,90.0238,1.5094,6.8347,61.7407,5.1607,2.774,16.6096,19.2981,16.1037,16.1037,,220.3867,252.1724,0.5784,-15.0034,2.4122,47.3709,0.4548,0.4435,,,19.4407,,1.3667,-0.5874,1.9541,,,0.094,-0.3188,0.9611,-0.5192,,-0.0157,0.2515,,2.0403,3.0403,4.0403,5.0403,6.0403,7.0403,8.0403,11.0403,,2.7657,2.4478,,,,,61.178714,-46.816363,907.79,12.69,-13.6553,-13.2864,91.2368,70.5017,2.8365
2009-02-01,894.2418,-11.9578,82.6475,90.5604,1.5471,6.9349,68.5135,5.5829,2.1976,50.4446,54.5636,46.7319,46.7319,,217.1476,256.9517,0.497,-13.6164,4.2206,48.7099,0.4113,0.4022,,,19.1435,,1.4073,-0.6076,2.0149,,,-0.9831,-1.088,0.6225,-0.7815,,-0.047,0.3953,,2.0808,3.0808,4.0808,5.0808,6.0808,7.0808,8.0808,11.0808,,2.6688,2.288,,,,,61.178673,-46.816392,907.65,12.58,-12.1587,-11.9697,88.5811,76.8164,2.2295
2009-03-01,896.1449,-14.878,79.7194,90.2423,1.1546,5.5347,49.148,3.5924,3.1065,141.7919,149.4372,126.3488,126.3488,,195.4259,244.0847,0.3938,-16.7949,,,0.4804,0.4666,,,19.1368,19.9902,1.3461,-0.6467,1.9928,,,-1.7209,-1.7005,0.1104,-1.1402,,-0.1881,0.292,,2.0197,3.0197,4.0197,5.0197,6.0197,7.0197,8.0197,11.0197,,2.6384,2.2509,,,,,61.178632,-46.816421,907.52,12.48,-14.4758,-14.8604,91.8709,75.578,3.1124
2009-04-01,895.6629,-5.343,94.7686,98.2595,2.8712,4.3943,68.6257,3.1512,1.2333,,,,,0.7928,245.956,280.7326,0.5546,-7.8311,,,0.459,0.4517,,,19.1741,20.0318,1.3613,-0.6504,2.0117,,,-1.2002,-1.8804,-0.1087,-1.5089,0.8266,-0.4039,0.1096,,2.0436,3.0436,4.0436,5.0436,6.0436,7.0436,8.0436,11.0436,,2.8894,2.096,,,,,61.17859,-46.816451,907.38,12.26,-5.0643,-5.3418,97.0257,86.854,1.2673
2009-05-01,898.0262,-1.4018,99.6846,100.9569,3.8299,,,,,,,,,,,,,,,,0.3765,0.3766,,,19.1992,20.0358,1.4066,,,,,-0.0565,-1.0147,0.6434,-1.3929,0.7264,-0.5458,-0.0536,,2.0637,3.0637,4.0637,5.0637,6.0637,7.0637,8.0637,11.0637,,4.2924,0.7173,,,,,61.178548,-46.816481,907.24,11.98,-1.7947,-1.4089,101.1132,,
