time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-07-01,,,69.9622,69.9622,,,,,,,,,,,,,,,,,,,0.5948,0.5995,,,-0.0544,,,,,-1.3213,-4.6255,-6.859,-8.2567,-8.9442,-9.1635,-9.1259,-8.7206,,,,,,,,,,,,,72.229153,-26.816533,474.1,,,,13.56,,,,,
2008-08-01,954.0821,3.0614,75.5303,75.5303,3.771,,,,,161.5591,160.5922,57.9468,57.9468,0.3589,288.3555,317.379,0.5558,-0.0416,,,,,1.2121,1.2185,17.168,17.5056,-0.8372,-0.8395,0.0023,,,0.1209,-2.3586,-4.8544,-6.8213,-8.0002,-8.647,-8.832,-8.7534,,1.0149,2.0149,3.0149,4.0149,5.0149,6.0149,9.0149,-8.7417,2.55,-0.4301,,72.229107,-26.816559,473.51,72.229114,-26.816552,473.76,13.69,3.5959,3.0727,76.1235,,
2008-09-01,950.0986,-1.8596,79.7149,80.9637,2.9209,,,,,74.1053,74.4777,45.4198,45.4198,,268.1887,298.6696,0.5838,-3.7964,,,,,1.6414,1.6396,16.6583,17.0314,-1.3083,-1.3137,0.0054,,,-1.8248,-1.6421,-2.9951,-4.9587,-6.3106,-7.3947,-7.979,-8.5799,,0.5439,1.5439,2.5439,3.5439,4.5439,5.5439,8.5439,-8.8735,4.6868,0.2242,,72.229064,-26.816574,473.44,72.229056,-26.816577,473.77,13.72,-1.6628,-1.8415,79.4004,,
2008-10-01,949.5269,-11.0801,58.5697,64.3514,1.0596,,,,,19.8087,18.9611,14.5248,14.5248,,209.5156,253.2087,0.3861,-14.3891,,,,,1.6999,1.6689,16.636,17.0141,-1.3406,-1.3452,0.0046,,,-12.1743,-9.6633,-6.7805,-6.2247,-6.061,-6.7439,-7.2632,-8.2363,,0.5115,1.5115,2.5115,3.5115,4.5115,5.5115,8.5115,-8.719,4.7024,-0.0683,,,,,72.228998,-26.816602,473.79,13.42,-11.4018,-11.0833,64.1295,,
2008-11-01,953.6979,-16.8998,62.0939,71.7793,0.7096,,,,,0.6471,0.5961,0.6979,0.6979,,182.4141,225.4245,0.3784,-21.7996,,,,,1.714,1.6602,16.6761,17.0171,-1.3333,-1.3507,0.0174,,,-15.604,-13.4342,-10.3657,-9.1024,-7.6316,-7.5899,-7.5015,-7.9484,,0.5188,1.5188,2.5188,3.5188,4.5188,5.5188,8.5188,-8.1687,4.7396,-0.2149,,,,,72.22894,-26.816627,473.81,12.65,-17.3473,-16.8989,70.909,,
2008-12-01,946.4636,-14.21,64.1823,72.3383,0.922,,,,,0.0007,0.0007,0.0012,0.0012,,215.118,241.6731,0.5725,-17.565,,,,,1.7068,1.6664,16.6145,17.0199,-1.338,-1.3507,0.0127,,,-15.8089,-15.6078,-13.0575,-11.5788,-9.4007,-8.9262,-8.3472,-7.9247,,0.5141,1.5141,2.5141,3.5141,4.5141,5.5141,8.5141,-7.7163,4.7145,-0.3008,,,,,72.228882,-26.816652,473.83,12.58,-14.6197,-14.2081,73.078,,
2009-01-01,945.6148,-14.5121,62.6243,69.5944,0.9451,,,,,0.1774,0.172,0.2301,0.2301,,209.5661,242.5413,0.4805,-17.4234,,,,,1.6585,1.6168,16.6078,17.0207,-1.2948,-1.3507,0.056,,,-15.2162,-15.3797,-13.4254,-12.473,-10.4705,-10.0291,-9.2935,-8.1604,,0.5574,1.5574,2.5574,3.5574,4.5574,5.5574,8.5574,-7.6162,4.7025,-0.3994,,,,,72.228823,-26.816677,473.84,12.48,-14.9167,-14.4925,70.0991,,
2009-02-01,956.8315,-20.5465,61.3898,73.5663,0.5138,,,,,,,,,,,,,,,,,,,,16.712,17.0252,-1.235,-1.3507,0.1158,,,-17.8802,-17.077,-14.5065,-13.3447,-11.294,-10.8092,-10.0109,-8.5002,,0.6172,1.6172,2.6172,3.6172,4.6172,5.6172,8.6172,-7.8051,4.7327,-0.56,,,,,72.228767,-26.816701,473.86,12.55,-20.8384,-20.5402,73.1127,,
2009-03-01,955.393,-19.0629,55.6416,66.0287,0.5201,,,,,,,,,,172.3387,217.0991,0.3251,-24.1218,,,,,1.539,1.49,16.707,17.0329,-1.1703,-1.3507,0.1805,,,-16.9576,-17.0433,-15.1947,-14.2292,-12.1814,-11.5861,-10.6912,-8.8615,,0.6819,1.6819,2.6819,3.6819,4.6819,5.6819,8.6819,-8.0582,4.7055,-0.6192,,,,,72.228711,-26.816725,473.88,13.6,-18.7918,-19.0815,67.2419,,
2009-04-01,958.5307,-15.4323,60.2931,68.8639,0.7673,,,,,,,,,0.8057,,,,,,,,,1.472,1.4313,16.7368,17.0348,-1.1087,-1.3507,0.2421,,,-15.1461,-15.9854,-14.833,-14.3439,-12.6029,-12.1259,-11.269,-9.2461,,0.7435,1.7435,2.7435,3.7435,4.7435,5.7435,8.7435,-8.399,4.6668,-0.61,,,,,72.228652,-26.81675,473.89,14.34,-13.3813,-15.4594,71.3391,,
