time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2007-08-01,,,77.524,77.524,,,,,,,,,,,,,,,,,2.659,2.6766,0.7913,0.7966,,,-0.085,,,-0.0421,0.3571,0.1342,-0.0187,-0.3903,-0.1774,-0.6838,0.4458,,,,,,,,,,,,65.641704,-38.898018,273.25,,,,13.27,,,,,
2007-09-01,974.8294,1.5144,77.1658,77.3749,3.4049,4.2813,84.8095,3.5206,0.3198,101.3974,96.9038,39.359,39.469,0.3928,277.4551,312.2561,0.5448,-1.0411,-17.3967,34.2081,2.6676,2.675,0.9257,0.9282,,,-0.4305,-0.4402,0.0097,0.013,0.3201,0.1284,0.2627,-0.3714,-0.0985,-0.3426,0.7007,0.5892,1.5892,2.5892,3.5892,4.5892,5.5892,6.5892,9.5892,,-2.4161,-1.8679,65.641689,-38.898019,272.56,65.641687,-38.898065,273.79,13.27,1.4212,,,,
2007-10-01,966.2654,-1.623,77.9208,79.0496,3.0004,4.6222,80.8795,3.8604,0.6198,42.0892,38.5805,29.2477,29.2477,,272.3965,299.1047,0.6211,-3.7417,-7.9796,20.9694,2.639,2.6312,0.8666,0.8641,,,-0.3794,-0.4435,0.0641,0.5621,0.3968,0.1896,0.6612,-0.1986,0.0108,0.1172,0.9284,0.6403,1.6403,2.6403,3.6403,4.6403,5.6403,6.6403,9.6403,,-1.3246,-2.3978,65.641676,-38.898025,271.76,65.641673,-38.89807,273.58,13.13,-2.0172,,,,
2007-11-01,,-3.8762,78.4754,81.0851,,6.3246,90.2997,5.0455,-0.0264,9.7613,8.3926,8.3377,8.3377,,267.0458,288.1744,0.6706,-6.1093,,,2.3042,2.2872,0.6448,0.6396,,,-0.0773,-0.4435,0.3662,0.746,0.3325,0.2256,0.8653,-0.0994,0.0787,0.3727,,0.9424,1.9424,2.9424,3.9424,4.9424,5.9424,6.9424,9.9424,,-1.3203,-2.4101,,,,65.641659,-38.898075,273.38,12.8,-4.5385,,,,
2007-12-01,,-6.2217,80.7641,84.5808,,6.2701,109.0973,4.8332,-1.6734,2.0135,1.4141,2.0236,2.0236,,250.2038,277.4977,0.6012,-8.6597,,,1.8472,1.8259,0.4439,0.4383,,,0.2405,-0.4435,0.684,0.9245,-0.0042,-0.0708,0.8679,-0.1815,0.07,0.3352,,1.2601,2.2601,3.2601,4.2601,5.2601,6.2601,7.2601,10.2601,,-1.3324,-2.0297,,,,65.641645,-38.898081,273.17,12.51,-6.903,,,,
2008-01-01,,-8.8937,74.2874,79.1432,,7.2785,93.2949,6.1744,-0.3555,5.9848,4.6276,5.5446,5.5446,,232.2744,265.108,0.5289,-11.6534,,,1.5801,1.5542,,,,,0.4635,-0.4435,0.9071,0.6322,-0.2679,-0.3493,0.6482,-0.2671,0.0594,0.4856,,1.4833,2.4833,3.4833,4.4833,5.4833,6.4833,7.4833,10.4833,,-1.4532,-1.8251,,,,65.641631,-38.898086,272.96,12.26,-9.6466,,,,
2008-02-01,,-11.5638,78.1956,84.8911,,5.8133,83.4187,5.0453,0.5821,32.9939,29.0572,30.0604,29.9403,,229.2804,255.7374,0.597,-14.0709,,,1.0839,1.0604,,,,,0.9683,-0.4435,1.4119,-0.1975,-0.7787,-0.7395,0.4084,-0.4871,-0.0732,0.5903,,1.9876,2.9876,3.9876,4.9876,5.9876,6.9876,7.9876,10.9876,,-1.4192,-1.8296,,,,65.641617,-38.898092,272.75,12.01,-11.8738,,,,
2008-03-01,,-7.8078,77.2301,81.9978,,3.7323,88.66,2.9588,0.0692,98.3946,93.4627,89.4815,89.4815,,250.3012,273.5092,0.6612,-9.6551,,,0.7181,0.7079,,,,,1.3211,-0.4435,1.7647,-0.6897,-1.2316,-1.2224,0.1121,-0.8215,-0.2898,0.3973,,2.3409,3.3409,4.3409,5.3409,6.3409,7.3409,8.3409,11.3409,,-1.2752,-2.0221,,,,65.641603,-38.898097,272.55,11.75,-7.1351,,,,
2008-04-01,,-2.6285,77.0261,78.7084,,3.4539,84.6876,2.7073,0.2517,196.0275,190.7914,154.6428,154.5757,0.8148,263.2584,296.2755,0.5709,-4.4999,,,0.8608,0.8572,,,,,1.1733,-0.4435,1.6169,-0.3115,-1.1508,-1.3907,0.0353,-1.1059,-0.4924,0.1967,,2.1931,3.1931,4.1931,5.1931,6.1931,7.1931,8.1931,11.1931,,-1.1432,-2.208,65.641611,-38.898111,273.54,65.641589,-38.898102,272.34,11.48,-0.982,,,,
2008-05-01,,0.3134,83.9499,84.5109,,2.2436,103.4873,1.1519,-0.2763,252.7428,249.7671,190.6736,190.8794,0.7763,290.5675,312.2622,0.7066,-1.1638,,,0.5807,0.5809,1.3264,1.3276,,,0.5359,-0.4435,0.9795,0.7497,-0.2965,-0.9403,0.2593,-1.1163,-0.5316,0.1638,,1.5537,2.5537,3.5537,4.5537,5.5537,6.5537,7.5537,10.5537,,-1.0491,-4.6911,65.641596,-38.898138,273.71,65.641575,-38.898108,272.13,12.38,2.6633,,,,
2008-06-01,,3.8279,72.6976,72.6994,,3.1266,76.7958,2.5127,0.5895,348.3247,353.4162,231.0607,231.0607,0.6736,269.9125,317.9371,0.3228,-0.1748,,,0.5861,0.5903,1.7838,1.7961,,,-1.0214,-1.0691,0.0476,,0.2894,-0.346,0.7032,-0.78,-0.2714,0.4245,,,1.0098,2.0098,3.0098,4.0098,5.0098,6.0098,9.0098,,-4.3833,1.7016,65.641571,-38.898151,273.87,65.641561,-38.898113,271.92,13.91,6.2844,,,,
2008-07-01,,4.4129,80.3908,80.3908,,3.5863,70.7286,2.9442,1.0294,247.7719,249.2236,68.9637,69.061,0.2699,296.009,319.8697,0.5691,-0.0069,,,1.6662,1.68,,,,,,,,,0.8171,0.4533,,-0.0745,0.3099,0.8997,,,1.0081,2.0081,3.0081,4.0081,5.0081,6.0081,9.0081,,-5.4263,1.1789,65.641555,-38.898162,274.59,65.641547,-38.898119,271.71,13.77,5.3804,,,,
2008-08-01,,4.0838,78.095,78.0951,,3.3358,68.654,2.7946,1.0921,235.1763,224.8443,58.555,58.555,0.2525,280.1197,318.8617,0.4212,-0.0412,,,2.3205,2.3377,,,,,,,,,0.8419,0.6187,,0.2456,0.6414,,,,0.9482,1.9482,2.9482,3.9482,4.9482,5.9482,8.9482,,-1.4737,-5.7853,65.641524,-38.898167,271.86,65.641533,-38.898124,271.5,13.71,4.8218,,,,
2008-09-01,,,84.4886,84.4886,,,,,,,,,,,,,,,,,2.5107,2.5288,,,,,-1.1015,,,-0.687,-0.2266,0.6026,,0.1631,0.59,,,,0.9217,1.9217,2.9217,3.9217,4.9217,5.9217,8.9217,,-0.82,-10.7882,65.641491,-38.898144,269.8,65.641519,-38.89813,271.29,13.28,1.7094,,,,
2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.3078,-3.4783,-1.5792,0.3561,-0.1303,0.3408,0.8674,,,1.0232,2.0232,3.0232,4.0232,5.0232,6.0232,9.0232,,-0.6605,-22.772,65.641467,-38.89815,266.77,65.641505,-38.898135,271.09,13.05,-3.2836,,,,
2008-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0123,-4.0658,-3.2526,-0.5716,-1.0834,-0.0282,0.7795,,0.168,1.168,2.168,3.168,4.168,5.168,6.168,9.168,,-0.6605,-22.4691,,,,65.641491,-38.898141,270.88,12.8,-4.0723,,,,
2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7498,-3.9192,-4.1078,-1.836,-2.3848,-1.1543,-0.1528,,0.3129,1.3129,2.3129,3.3129,4.3129,5.3129,6.3129,9.3129,,-0.6605,-21.5543,,,,65.641477,-38.898146,270.67,12.58,-4.4039,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2987,-3.2526,-3.8277,-1.8086,-2.5517,-0.6926,-0.1002,,0.4601,1.4601,2.4601,3.4601,4.4601,5.4601,6.4601,9.4601,,-0.6605,-21.126,,,,65.641463,-38.898151,270.46,12.4,-4.0843,,,,
2009-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.87,-2.9616,-3.5277,-1.7166,-2.6878,-1.187,-0.3044,,0.6002,1.6002,2.6002,3.6002,4.6002,5.6002,6.6002,9.6002,,-0.6605,-20.7823,,,,65.64145,-38.898157,270.26,12.21,-3.8351,,,,
2009-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1513,-3.2389,-3.7628,-1.9351,-2.9304,-1.6798,-0.5038,,0.7403,1.7403,2.7403,3.7403,4.7403,5.7403,6.7403,9.7403,,-0.6605,-20.2822,,,,65.641436,-38.898162,270.06,12.03,-3.997,,,,
2009-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2135,-2.4399,-3.2527,-1.7147,-2.9195,-1.6888,-0.5185,,0.8852,1.8852,2.8852,3.8852,4.8852,5.8852,6.8852,9.8852,,-0.6605,-19.7581,65.641368,-38.898043,270.34,65.641422,-38.898167,269.85,11.83,-2.6757,,,,
2009-05-01,975.6741,0.7251,74.4261,74.7919,3.101,,,,,,,,,0.7281,,,,,,,,,0.9575,0.9589,,,-0.2484,-1.1015,0.8531,-0.0492,-0.3097,-0.4647,-0.6159,-1.2797,-1.1904,-1.0355,-0.597,0.8096,1.8096,2.8096,3.8096,4.8096,5.8096,6.8096,9.8096,-0.5536,-1.7741,-5.5759,65.641426,-38.898135,270.41,65.641408,-38.898173,269.64,13.07,,0.7439,75.7006,,
2009-06-01,985.4832,1.6745,81.1185,81.2674,3.5728,,,,,331.9822,,204.4199,,0.6176,,,,,,,,,1.2351,1.2378,,,-0.5573,-1.1015,0.5442,0.2935,0.2026,0.3487,0.0661,-0.225,-0.4993,-0.8468,-0.4758,0.442,1.442,2.442,3.442,4.442,5.442,6.442,9.442,-0.4097,-7.4863,-0.7797,65.641412,-38.898161,270.67,65.641394,-38.898178,269.43,13.85,,1.6765,82.5822,,
2009-07-01,984.5822,3.3916,82.3946,82.3947,4.0787,,,,,311.3327,,107.0253,,0.3672,,,,,,,,,1.5138,1.5234,,,-0.993,,,0.3328,0.2455,0.5364,0.4513,0.1596,0.1064,-0.0066,0.1282,,0.9311,1.9311,2.9311,3.9311,4.9311,5.9311,8.9311,,-20.2833,-10.3559,65.641387,-38.898195,270.17,65.64138,-38.898184,269.23,13.65,,3.3743,82.9657,,
2009-08-01,978.0756,2.2951,84.6823,84.7028,3.9005,,,,,240.3197,,58.0705,,0.2442,,,,,,,,,,,,,,,,0.1148,-0.0703,0.3665,0.3824,-0.0337,0.1768,0.0836,0.2541,,0.7573,1.7573,2.7573,3.7573,4.7573,5.7573,8.7573,,-23.8823,-9.1852,65.641361,-38.898215,269.44,65.641366,-38.898189,269.01,13.45,,2.2955,84.967,,
2009-09-01,969.268,-0.3342,80.1601,80.8594,3.1309,,,,,135.7352,,45.2546,,0.3168,,,,,,,2.1267,2.1254,,,,,-1.2624,-1.2624,0.0,-0.9355,-1.2556,-1.0353,-0.7007,-1.1733,-0.9791,-0.0061,0.2419,,0.7573,1.7573,2.7573,3.7573,4.7573,5.7573,8.7573,,-18.2131,-6.8903,65.641345,-38.898214,267.75,65.641352,-38.898195,268.81,13.28,,-0.3295,79.4959,,
