time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-03-01,,,69.3912,75.82,,,,,,,,,,,,,,,,,1.5847,1.5518,0.5042,0.4938,,,1.1577,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.71,,,,,
2008-04-01,950.7745,-3.9543,75.9236,78.176,2.4115,4.5416,,,,195.41,196.5404,151.9649,151.6546,0.7723,256.6668,291.4839,0.5643,-5.5291,-10.4038,22.2619,1.6556,1.6435,0.5742,0.5701,6.606,7.2223,0.9985,-0.0012,0.9997,,,,,,,,,0.2736,1.2736,2.2736,3.2736,4.2736,5.2736,5.2736,5.2736,,-0.8296,1.4379,65.701243,-38.865932,575.59,65.701181,-38.865988,572.87,13.21,-2.1606,,,,
2008-05-01,950.1718,-0.4437,81.8832,82.785,3.2552,2.9916,,,,239.0908,239.7769,185.7982,185.7982,0.7808,287.5718,309.4163,0.697,-1.7486,,,1.8587,1.8546,0.7054,0.7039,6.5905,7.2122,0.8065,-0.0037,0.8102,,,,,,,,,0.105,1.0816,2.0816,3.0816,4.0816,5.0816,5.0816,5.0816,,-0.8296,1.4379,65.70121,-38.865964,576.35,65.701143,-38.865998,572.83,13.9,2.2056,,,,
2008-06-01,949.8185,3.0296,72.5545,72.5703,3.6502,3.9992,345.91,-0.8142,3.2438,337.2497,338.2766,195.5246,195.5246,0.5882,261.2526,316.4642,0.2824,-0.2905,-11.0723,38.6023,2.4807,2.4943,1.4205,1.4282,6.4717,7.0965,0.3307,-0.0137,0.3444,,,,,,,,,,0.6058,1.6058,2.6058,3.6058,4.6058,4.6058,4.6058,,-0.8296,1.4379,65.701156,-38.865978,575.21,65.701105,-38.866007,572.79,13.91,5.7661,,,,
2008-07-01,945.4281,3.4942,79.6013,79.6054,4.137,3.8891,337.5316,-1.2899,3.1189,254.9561,255.789,95.5717,95.5717,0.3671,287.2777,318.7254,0.5289,-0.0662,-2.0699,33.1735,2.6697,2.6865,2.5884,2.6053,5.4269,6.0908,-0.6927,-0.697,0.0043,,,,,,,,,,,0.6591,1.5824,2.5824,3.5824,3.5824,3.5824,,-0.8296,1.4379,65.701106,-38.866,574.75,65.701067,-38.866017,572.75,13.73,5.1773,,,,
2008-08-01,939.7266,3.1423,78.0472,78.0504,3.9765,3.5755,331.163,-1.5456,2.8072,216.6553,218.7941,77.4663,77.3095,0.3431,271.1822,317.5465,0.3764,-0.1236,-5.9147,27.5138,2.6697,2.685,3.3075,3.3265,3.9344,4.6491,-2.1348,-2.1393,0.0045,,,,,,,,,,,,,1.1403,2.1403,2.1403,2.1403,,-0.8296,1.4379,65.701052,-38.866002,572.63,65.701029,-38.866026,572.71,13.63,4.4124,,,,
2008-09-01,934.7601,,85.3716,85.3729,,,,,,,,,,,,,,,,,2.6718,2.6865,1.8956,1.906,2.854,,-2.7232,,,-1.5198,-1.4068,-1.2322,0.0773,,,,,,,,,0.5681,1.5681,1.5681,1.5681,,-0.8296,1.4379,65.700995,-38.865983,571.77,65.700991,-38.866036,572.66,13.17,0.623,,,,
2008-10-01,,,,,,,,,,,,,,,,,,,,,,,,,2.4073,,,,,-5.2009,-4.6959,-4.9843,-4.4079,,0.2508,,-0.4815,,,,,0.6917,1.6917,1.6917,1.6917,,-0.8296,1.4379,65.700946,-38.865958,569.45,65.700953,-38.866045,572.62,13.02,-5.7646,,,,
2008-11-01,,,,,,,,,,,,,,,,,,,,,,,,,2.3642,,,,,-7.228,-6.9246,-7.4208,-7.3155,0.0047,-1.1782,0.452,-2.0608,,,,,0.7987,1.7987,1.7987,1.7987,,-0.8296,1.4379,,,,65.700915,-38.866054,572.58,12.63,-7.0773,,,,
2008-12-01,,,,,,,,,,,,,,,,,,,,,,,,,2.2821,,,,,-8.3286,-8.1269,-8.4992,-8.8168,-1.563,-3.2558,-1.6389,-4.1405,,,,,0.9057,1.9057,1.9057,1.9057,,-0.8296,1.4379,,,,65.700877,-38.866064,572.54,12.25,-7.8329,,,,
2009-01-01,,,,,,,,,,,,,,,,,,,,,,,,,2.3634,,,,,-6.4676,-6.4679,-7.0858,-7.6474,-1.4444,-3.8497,-2.3696,-4.6169,,,,,1.0145,2.0145,2.0145,2.0145,,-0.8296,1.4379,,,,65.700838,-38.866073,572.5,11.84,-6.5882,,,,
