time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2010-08-01,946.2634,,77.3201,77.3228,,,,,,,,,,0.3774,,,,,,,2.6271,2.6413,0.7806,0.7849,,,-0.3059,,,-0.3143,-2.3456,-5.1071,-7.2085,-8.6816,-9.8856,-10.5413,-11.0987,,,,,,,,,,,,76.39984,-68.265345,575.83,,,,13.34,,,,,
2010-09-01,945.8907,,76.8771,79.0042,,,,,,,,,,,,,,,,,2.654,2.6391,1.0635,1.0575,,,-0.6037,-0.6081,0.0044,-3.6649,-2.6205,-4.0585,-5.8512,-7.3888,-8.8313,-9.7441,-10.878,0.4068,1.4068,2.4068,3.4068,4.4068,5.4068,6.4068,9.4068,,,,76.399841,-68.265356,575.39,76.39984,-68.265331,577.01,13.47,,,,,
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4737,1.4737,2.4737,3.4737,4.4737,5.4737,6.4737,9.4737,,,,,,,76.399839,-68.265345,576.88,,,,,,
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5681,1.5681,2.5681,3.5681,4.5681,5.5681,6.5681,9.5681,,,,,,,76.399838,-68.265359,576.76,,,,,,
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6624,1.6624,2.6624,3.6624,4.6624,5.6624,6.6624,9.6624,,,,,,,76.399838,-68.265374,576.63,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7583,1.7583,2.7583,3.7583,4.7583,5.7583,6.7583,9.7583,,,,,,,76.399837,-68.265388,576.51,,,,,,
2011-02-01,,,65.4922,84.7898,,,,,,,,,,,,,,,,,2.259,2.1395,0.6092,0.5769,,,-0.13,,,-16.9075,-13.9959,-11.9125,-10.9283,-10.1708,-9.973,-9.6756,-9.6037,0.854,1.854,2.854,3.854,4.854,5.854,6.854,9.854,,,,,,,76.399837,-68.265402,576.39,11.43,,,,,
2011-03-01,936.7604,-23.1681,58.0952,70.1027,0.423,7.72,77.5935,6.8828,1.5141,61.325,57.0904,44.7969,44.8591,,164.8783,214.0709,0.3765,-25.0219,-3.5507,23.2306,2.2698,2.1709,0.6388,0.611,14.3093,15.105,-0.1504,-0.6108,0.4605,-18.2596,-15.5834,-13.1078,-11.8503,-10.8842,-10.524,-10.068,-9.6557,0.859,1.859,2.859,3.859,4.859,5.859,6.859,9.859,-9.6354,1.8658,-1.9186,,,,76.399836,-68.265416,576.27,12.49,-22.9335,-23.1495,77.0768,82.221,1.5382
2011-04-01,,,65.9974,83.4382,,,,,,,,,,,,,,,,,2.3052,2.1991,0.6633,0.6328,,,-0.1798,,,-18.2453,-16.1072,-14.0254,-12.7889,-11.6585,-11.1324,-10.5189,-9.7627,0.8068,1.8068,2.8068,3.8068,4.8068,5.8068,6.8068,9.8068,,,,,,,76.399836,-68.26543,576.14,13.05,,,,,
2011-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6758,1.6758,2.6758,3.6758,4.6758,5.6758,6.6758,9.6758,,,,,,,76.399835,-68.265445,576.02,,,,,,
2011-06-01,954.7191,,71.3947,71.4397,,,,,,,,,,0.57,,,,,,,2.5218,2.5351,1.0176,1.0232,,,-0.5581,,,-0.8138,-5.8818,-9.3782,-11.3801,-11.924,-12.1414,-11.7575,-10.5435,0.506,1.506,2.506,3.506,4.506,5.506,6.506,9.506,,,,,,,76.399835,-68.265459,575.89,13.93,,,,,
2011-07-01,943.4296,4.0141,72.1069,72.1268,3.9152,7.0892,65.9956,6.1323,2.7308,304.1449,303.4389,125.6554,125.6554,0.4017,281.7272,322.3203,0.4336,-0.036,-2.3106,56.3917,2.594,2.613,1.8071,1.8201,13.467,14.2005,-1.3971,-1.3993,0.0022,0.3645,-0.2459,-2.8654,-6.3417,-8.7012,-10.2685,-10.7826,-10.5756,,0.6694,1.6123,2.6123,3.6123,4.6123,5.6123,8.6123,,2.277,-4.3863,,,,76.399834,-68.265473,575.77,14.0,5.0647,4.008,73.9123,73.0841,2.7435
2011-08-01,948.0085,2.1788,79.751,79.8355,3.7822,5.1132,60.4475,4.084,2.3156,198.7139,189.5729,76.6716,76.6716,0.3904,287.3692,318.03,0.5898,-0.2718,-4.6704,31.5219,2.6276,2.6381,3.0118,3.0231,12.21,12.9007,-2.6968,-2.6996,0.0028,-0.3787,-0.1298,0.4359,-1.7901,-4.4872,-6.9917,-8.4762,-10.1159,,,0.3163,1.3126,2.3126,3.3126,4.3126,7.3126,,0.1544,-6.7703,,,,76.399834,-68.265488,575.64,13.71,2.9864,2.1892,80.1951,90.7616,2.3062
2011-09-01,933.5511,-5.2456,78.4689,82.118,2.2066,6.7721,75.2593,5.8329,1.5347,87.5592,79.7919,67.1725,67.2791,,249.9322,285.7375,0.5462,-6.522,-10.7953,16.3342,2.4959,2.472,3.1107,3.0809,11.8127,12.6384,-2.9425,-3.0949,0.1524,-4.1954,-3.8384,-3.4532,-3.117,-3.9109,-5.6063,-6.9315,-9.3805,,,,1.067,2.067,3.067,4.067,7.067,,-2.955,-3.9641,,,,76.399833,-68.265502,575.52,13.63,-4.7864,-5.2441,82.7597,100.9947,1.5074
2011-10-01,936.8662,-12.382,82.0687,91.1134,1.3641,7.4506,68.8461,5.8237,2.2535,13.0532,10.6056,10.7213,10.7213,,229.7131,256.9754,0.6523,-13.6253,-2.9993,15.0289,2.1695,2.1199,2.7622,2.6991,11.861,12.6557,-2.575,-3.0961,0.5211,-7.0209,-6.6986,-6.3387,-5.8328,-5.6744,-6.3896,-6.9466,-8.7477,,,0.4344,1.4344,2.4344,3.4344,4.4344,7.4344,,-2.9896,-3.9835,,,,76.399833,-68.265516,575.39,12.98,-12.3704,-12.383,90.1623,100.3474,2.2196
2011-11-01,932.4712,-15.0434,75.6238,84.7909,1.0802,5.519,65.397,4.4681,2.046,0.0545,0.0545,0.1366,0.1366,,214.0578,244.6851,0.5854,-16.8963,,,1.5898,1.5431,2.2551,2.1898,11.8354,12.6711,-2.0315,-3.0961,1.0646,-9.0355,-8.7183,-8.3206,-7.763,-7.2006,-7.4325,-7.5041,-8.4767,,,0.978,1.978,2.978,3.978,4.978,7.978,,-2.6922,-3.8076,,,,76.399832,-68.265531,575.27,12.63,-15.1308,-15.0471,85.6271,83.1698,2.0067
2011-12-01,928.2229,-21.8859,67.9518,82.6555,0.5177,5.5616,60.748,4.4815,2.51,0.0,0.0,0.0,0.0,,180.4354,218.3127,0.5011,-23.8383,-0.9805,29.9442,1.3703,1.3141,2.0595,1.975,11.8089,12.6843,-1.8095,-3.0961,1.2866,-10.1751,-9.8285,-9.4428,-8.7107,-8.096,-8.2427,-8.1228,-8.4773,,0.2,1.2,2.2,3.2,4.2,5.2,8.2,,-2.1162,-3.529,,,,76.399832,-68.265545,575.15,12.5,-21.9605,-21.8504,85.0498,76.784,2.4828
