time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2010-08-01,924.6341,,79.8439,79.885,,,,,,,,,,0.5336,,,,,,,,,1.0553,1.0594,,,-0.1701,,,,,-1.0531,-3.7082,-6.1911,-8.0697,-9.5931,-10.4789,-11.0563,-11.4361,,,,,,,,,,,,,76.419642,-68.144923,767.43,,,,13.41,,,,,
2010-09-01,,,86.8718,86.9418,,,,,,,,,,,,,,,,,,,,,,,-0.4203,,,,,,,,,,,,,0.6404,1.6404,2.6404,3.6404,4.6404,5.6404,6.6404,9.6404,,,,,,,,76.419625,-68.144895,764.51,,,,,,
2010-10-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7897,1.7897,2.7897,3.7897,4.7897,5.7897,6.7897,9.7897,,,,,,,,76.419625,-68.144914,764.47,,,,,,
2010-11-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9388,1.9388,2.9388,3.9388,4.9388,5.9388,6.9388,9.9388,,,,,,,,76.419626,-68.144933,764.43,,,,,,
2010-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.088,2.088,3.088,4.088,5.088,6.088,7.088,10.088,,,,,,,,76.419626,-68.144952,764.38,,,,,,
2011-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2396,2.2396,3.2396,4.2396,5.2396,6.2396,7.2396,10.2396,,,,,,,,76.419627,-68.144972,764.34,,,,,,
2011-02-01,,,66.0123,82.4468,,,,,,,,,,,,,,,,,,,,,,,-0.3863,,,,,,,,,,,,,0.976,1.976,2.976,3.976,4.976,5.976,6.976,9.976,,,,,,,,76.419627,-68.14499,764.3,10.22,,,,,
2011-03-01,912.5865,,,,,7.3168,95.0547,6.5697,-0.5811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6289,1.6289,2.6289,3.6289,4.6289,5.6289,6.6289,9.6289,,-0.5536,-0.0994,,,,,76.419628,-68.145009,764.26,11.48,,,,95.3568,-0.613
2011-04-01,906.3298,,,,,5.0312,96.0172,4.7276,-0.4983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6482,1.6482,2.6482,3.6482,4.6482,5.6482,6.6482,9.6482,,-0.5536,-0.0994,,,,,76.419628,-68.145028,764.22,13.59,,,,96.4892,-0.4909
2011-05-01,923.3787,,,,,7.8012,105.4833,7.2228,-2.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6675,1.6675,2.6675,3.6675,4.6675,5.6675,6.6675,9.6675,,-0.5536,-0.0994,,,,,76.419629,-68.145047,764.18,14.21,,,,102.9031,-1.9651
2011-06-01,929.7582,,73.6473,73.7457,,6.9676,102.3306,6.2374,-1.3635,,,,,0.7016,,,,,,,1.9555,1.9631,0.4347,0.4365,,,-0.2918,,,,,-4.0402,-9.3928,-11.1361,-12.0942,-11.9302,-11.9425,-11.6607,-10.2149,0.6982,1.6982,2.6982,3.6982,4.6982,5.6982,6.6982,9.6982,,-0.5536,-0.1046,,,,,76.419629,-68.145066,764.14,14.1,,,,100.992,-1.3964
2011-07-01,921.8642,3.3781,74.1012,74.1438,3.9412,6.9708,95.0453,6.5792,-0.5808,325.4805,324.71,189.6865,189.293,0.6175,277.2825,319.0658,0.4206,-0.0884,-4.1215,47.2914,2.4677,2.4828,1.1017,1.1082,16.1053,17.054,-0.4295,-0.4886,0.0592,,,-0.7415,-5.0644,-7.5542,-9.7516,-10.6474,-11.363,-11.4852,-10.2788,0.5775,1.5775,2.5775,3.5775,4.5775,5.5775,6.5775,9.5775,-10.1196,-17.7779,-0.2325,,,,,76.41963,-68.145086,764.1,14.0,4.461,3.3829,76.1724,88.5841,-0.5985
2011-08-01,926.0339,1.2715,82.5197,82.7697,3.7626,5.1349,98.9418,4.63,-0.7285,,,,,0.5204,281.8864,313.4868,0.5777,-0.7803,-2.6072,27.2968,2.6039,2.61,1.9222,1.9262,15.3848,16.2946,-1.22,-1.2314,0.0114,,,0.2163,-1.1988,-3.6437,-6.4358,-8.2106,-9.7626,-10.5457,-10.3709,,0.787,1.787,2.787,3.787,4.787,5.787,8.787,-10.2923,-20.8207,0.8285,,,,,76.419631,-68.145105,764.06,13.75,1.9573,1.2738,83.2849,97.2829,-0.7247
2011-09-01,911.1419,-6.4222,80.7764,85.4691,2.131,6.8596,111.1961,5.6825,-2.2036,,,,,,248.6069,278.3511,0.5956,-8.3003,-0.9664,23.7996,2.3528,2.3254,1.7562,1.7359,15.0651,16.114,-1.2272,-1.5089,0.2816,,,-3.5666,-3.6747,-3.8598,-5.3092,-6.6743,-8.3205,-9.3897,-10.0977,,0.7797,1.7797,2.7797,3.7797,4.7797,5.7797,8.7797,-10.3741,-19.9754,1.0851,,,,,76.419631,-68.145124,764.02,13.51,-6.1749,-6.4355,86.9082,118.0859,-2.2216
2011-10-01,913.6412,-13.8025,85.7215,96.4472,1.3048,7.2006,106.0001,5.906,-1.6935,9.1829,8.1558,7.8288,7.8281,,233.0092,251.4227,0.7462,-15.1033,2.6777,18.1064,2.0911,2.0376,1.5382,1.4989,15.0621,16.0876,-0.9648,-1.5089,0.5441,,,-6.6964,-6.5627,-5.866,-6.2484,-6.7631,-7.915,-8.7651,-9.6628,,1.0421,2.0421,3.0421,4.0421,5.0421,6.0421,9.0421,-9.9503,-19.4892,1.2997,,,,,76.419632,-68.145143,763.98,12.91,-13.9599,-13.8143,95.5037,110.179,-1.7361
2011-11-01,909.1073,-16.101,76.7067,86.612,1.0423,,,,,,,,,,,,,,,,1.8765,1.8194,1.2696,1.2308,15.0033,16.0711,-0.7217,-1.5089,0.7872,,,-9.01,-8.7482,-7.6766,-7.4979,-7.4424,-8.1476,-8.6823,-9.3128,0.2853,1.2853,2.2853,3.2853,4.2853,5.2853,6.2853,9.2853,-9.4648,-20.4254,1.2777,,,,,76.419632,-68.145162,763.94,12.54,-16.305,-16.0963,89.1632,,
2011-12-01,904.3756,-22.4534,68.1716,83.4857,0.5049,5.3348,99.892,4.9353,-0.8606,0.0,0.0,0.0,0.0,,183.4443,215.9032,0.5402,-24.5594,0.0769,32.6261,1.8635,1.7851,1.2587,1.2057,14.9346,16.0466,-0.6912,-1.5089,0.8177,,,-11.3428,-10.5196,-9.0195,-8.5613,-8.2117,-8.6404,-8.9192,-9.1342,0.3158,1.3158,2.3158,3.3158,4.3158,5.3158,6.3158,9.3158,-9.1832,-21.2897,1.336,,,,,76.419633,-68.145182,763.9,12.4,-22.7344,-22.4138,86.2423,99.1118,-0.8796
2012-01-01,907.3335,-24.1517,61.9217,76.9325,0.3978,7.2889,99.6332,6.6937,-1.1361,0.0,0.0,0.0083,0.0083,,173.964,209.1459,0.4856,-26.4838,-0.0392,45.2268,1.8734,1.7885,1.2681,1.2105,14.9524,16.0368,-0.695,-1.5089,0.8138,,,-14.3804,-13.1634,-11.065,-10.0304,-9.22,-9.2978,-9.314,-9.0829,0.3119,1.3119,2.3119,3.3119,4.3119,5.3119,6.3119,9.3119,-9.03,-21.1495,1.3327,,,,,76.419633,-68.145201,763.86,12.26,-24.3898,-24.1715,81.5321,98.3338,-1.1212
2012-02-01,908.2131,-24.8455,67.9874,82.6361,0.4605,7.2761,104.5251,6.7359,-1.7452,4.8218,3.9138,3.2451,3.2451,,181.1151,208.4257,0.6087,-26.9342,0.1956,28.1493,1.862,1.775,1.272,1.2124,14.9654,16.0415,-0.6895,-1.5089,0.8193,,,-15.4368,-14.3637,-12.4391,-11.3406,-10.3289,-10.1365,-9.896,-9.1574,0.3174,1.3174,2.3174,3.3174,4.3174,5.3174,6.3174,9.3174,-8.9897,-21.5553,1.3172,,,,,76.419634,-68.14522,763.82,12.27,-25.0609,-24.809,86.9423,99.8215,-1.7794
2012-03-01,912.5339,-27.3307,66.5051,83.0276,0.3561,6.4677,100.1199,6.0346,-1.0771,59.3657,51.1642,41.217,40.9816,,160.8625,198.0896,0.4704,-29.9769,0.0163,32.3184,1.8747,1.7781,1.2786,1.2126,15.0018,16.0376,-0.6908,-1.5089,0.818,,,-18.3074,-16.7634,-14.2647,-12.692,-11.3931,-10.9723,-10.5425,-9.3485,0.3161,1.3161,2.3161,3.3161,4.3161,5.3161,6.3161,9.3161,-9.0759,-21.7248,1.3863,,,,,76.419634,-68.145239,763.78,13.28,-27.1843,-27.3514,85.1549,97.7058,-1.108
2012-04-01,921.1856,-15.54,58.3481,66.4175,0.7766,5.1672,97.2114,4.6205,-0.5846,,,,,,188.7598,237.1874,0.3477,-18.5518,-3.6614,32.0115,1.8494,1.7958,1.2494,1.2132,15.1174,16.0725,-0.7004,-1.5089,0.8084,,,-16.4587,-16.1083,-14.7647,-13.6642,-12.4428,-11.8845,-11.2725,-9.6015,0.3065,1.3065,2.3065,3.3065,4.3065,5.3065,6.3065,9.3065,-9.2154,-22.3845,1.1594,,,,,76.419635,-68.145258,763.74,14.04,-14.5014,-15.5573,73.5435,97.9342,-0.5896
2012-05-01,925.369,-7.2487,76.3,80.9295,1.9144,6.1618,103.9568,5.5906,-1.3894,,,,,0.8226,233.9449,278.9692,0.4766,-8.15,-12.0557,16.9327,1.8069,1.7826,1.239,1.2225,15.1931,16.1093,-0.6987,-1.5089,0.8102,,,-12.8095,-13.9199,-13.7736,-13.4327,-12.6991,-12.3617,-11.82,-9.9272,0.3083,1.3083,2.3083,3.3083,4.3083,5.3083,6.3083,9.3083,-9.4908,-23.5999,1.0564,,,,,76.419635,-68.145277,763.7,14.13,-5.6624,-7.2628,81.3593,103.9225,-1.3468
2012-06-01,928.0084,0.3236,78.75,79.3478,3.3765,7.7525,110.0396,6.9149,-2.5223,338.6209,,263.511,,0.8104,273.4755,311.7024,0.5359,-1.1341,-18.614,24.0725,1.9558,1.957,1.4054,1.4063,15.2707,16.1621,-0.8853,-1.5089,0.6236,,,-0.8565,-4.9149,-8.681,-10.8872,-11.6054,-12.0449,-11.8994,-10.2193,0.1328,1.1217,2.1217,3.1217,4.1217,5.1217,6.1217,9.1217,-9.7259,-24.1102,1.0019,,,,,76.419636,-68.145296,763.65,13.9,1.829,0.3256,81.2552,111.39,-2.536
