time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2009-08-01,,,66.4403,66.4403,,,,,,,,,,,,,,,,,2.6207,2.6382,0.9431,0.9494,,,-0.1025,,,-0.8726,-2.7374,-4.6065,-5.7632,-6.4217,-6.688,-6.8671,-6.3039,,,,,,,,,,,,72.893215,-54.295083,227.65,,,,13.55,,,,,
2009-09-01,975.7711,-1.9065,67.7308,69.0772,2.3747,5.2297,101.9979,4.7066,-1.0002,93.0414,86.9141,60.7532,60.7555,,254.7588,295.2366,0.4489,-4.3744,-21.1611,35.8068,2.6254,2.616,1.0572,1.0533,18.7392,19.0401,-0.1745,-0.2398,0.0652,-2.111,-2.4573,-3.7937,-4.8795,-5.6194,-6.0869,-6.427,-6.2415,0.6203,1.6203,2.6203,3.6203,4.6203,5.6203,6.6203,9.6203,-6.2159,2.6413,-3.0293,72.893215,-54.295086,227.23,72.893218,-54.295088,229.09,13.43,-2.0108,-1.8843,69.0675,105.0318,-0.9788
2009-10-01,984.6681,-8.4057,66.2353,71.324,1.396,5.8304,98.1769,5.4779,-0.7871,23.6098,19.5937,16.248,16.248,,229.573,265.9853,0.4845,-11.2545,-11.2584,42.9039,2.6536,2.6124,1.0796,1.0628,18.7615,18.9793,-0.1481,-0.2451,0.097,-7.8002,-5.4409,-4.9937,-4.9445,-5.1195,-5.4904,-5.8358,-6.0602,0.6468,1.6468,2.6468,3.6468,4.6468,5.6468,6.6468,9.6468,-6.0862,2.8278,-3.2206,72.89322,-54.295085,227.5,72.893216,-54.295092,228.85,13.02,-8.9602,-8.3781,70.3575,102.2982,-0.7996
2009-11-01,979.9034,-14.5206,64.1978,73.191,0.8408,4.7668,90.5047,4.5557,-0.0401,0.8147,0.5085,0.7931,0.7931,,205.1378,239.7861,0.4826,-17.9638,-2.8677,39.5863,2.6909,2.6182,1.079,1.0499,18.7205,18.9827,-0.1441,-0.2451,0.101,-12.8202,-9.0662,-7.519,-6.4682,-5.7879,-5.6552,-5.661,-5.8502,0.6508,1.6508,2.6508,3.6508,4.6508,5.6508,6.6508,9.6508,-5.8721,3.0075,-3.3335,72.893214,-54.295092,224.76,72.893215,-54.295097,228.6,12.59,-15.2319,-14.5129,73.0438,96.0275,-0.0414
2009-12-01,986.8757,-9.1288,60.2638,63.4619,1.3755,6.5044,100.3383,5.8829,-1.0732,0.0,0.0,0.0,0.0,,229.7239,260.5727,0.5029,-12.895,-17.511,65.9669,2.6781,2.6323,1.0958,1.0773,18.785,18.9822,-0.1648,-0.2451,0.0803,-12.6192,-10.8152,-9.6897,-8.3224,-7.041,-6.4043,-5.9888,-5.7357,0.6301,1.6301,2.6301,3.6301,4.6301,5.6301,6.6301,9.6301,-5.704,2.8784,-3.3253,72.893222,-54.295117,229.06,72.893214,-54.295101,228.36,12.54,-9.8642,-9.1409,69.7277,106.2814,-1.0616
2010-01-01,980.7853,-16.5348,78.454,86.2602,1.0669,2.7952,99.6589,2.0124,-0.3425,,,,,,,,,,,,2.5627,2.4832,0.8998,0.872,18.7183,18.9724,0.0121,-0.2451,0.2572,-9.7314,-8.8277,-8.9046,-8.4762,-7.6243,-7.0803,-6.523,-5.805,0.807,1.807,2.807,3.807,4.807,5.807,6.807,9.807,-5.7593,2.8506,-3.4706,72.893213,-54.29514,224.97,72.893212,-54.295106,228.11,12.38,-17.1811,-16.5215,87.1958,124.3774,-0.3323
2010-02-01,989.7021,-10.9541,63.8044,68.7251,1.2153,4.4676,104.3574,3.6435,-0.9326,11.6957,9.2511,9.8553,9.8553,,223.9741,254.8523,0.484,-14.2596,-10.6838,41.7747,2.661,2.6062,0.9675,0.9475,18.8124,18.9832,-0.087,-0.2451,0.1581,-11.2894,-9.5135,-9.073,-8.4927,-7.6721,-7.2341,-6.7496,-5.9397,0.7079,1.7079,2.7079,3.7079,4.7079,5.7079,6.7079,9.7079,-5.8608,2.7981,-3.46,72.893199,-54.295129,224.5,72.893211,-54.29511,227.87,12.54,-11.7004,-10.9623,72.9403,121.6558,-0.8949
2010-03-01,984.5635,-15.3291,63.0159,70.6013,0.8378,2.5484,98.6719,2.1563,-0.3289,84.7642,78.105,66.2004,66.2004,,198.0937,235.5166,0.4345,-19.1625,-1.662,19.3648,2.7131,2.6353,1.0227,0.9889,18.7622,18.9809,-0.1233,-0.2451,0.1218,-15.3176,-12.0744,-10.5602,-9.3344,-8.1447,-7.5231,-6.9627,-6.073,0.6716,1.6716,2.6716,3.6716,4.6716,5.6716,6.6716,9.6716,-5.9756,2.8394,-3.49,72.893213,-54.295085,231.74,72.89321,-54.295115,227.63,13.66,-15.0827,-15.3265,78.0792,104.0381,-0.3536
2010-04-01,989.1788,-10.3668,65.9603,71.4405,1.2386,3.1394,101.848,2.5829,-0.5418,204.8988,197.3685,158.1295,158.1295,0.8029,211.3432,257.8765,0.357,-13.3286,-6.2523,19.647,2.6692,2.6177,,,18.8123,18.988,-0.1289,-0.2451,0.1162,-12.8408,-11.93,-11.4107,-10.396,-9.0462,-8.1692,-7.3993,-6.2194,0.6659,1.6659,2.6659,3.6659,4.6659,5.6659,6.6659,9.6659,-6.0883,2.755,-3.4121,72.893211,-54.295116,227.62,72.893208,-54.295119,227.39,14.03,-8.6306,-10.3873,74.5451,112.2913,-0.5097
2010-05-01,990.4866,-0.5296,71.2193,72.079,2.7723,2.4147,92.713,1.484,-0.0703,301.1242,299.8386,221.6857,221.6857,0.7377,266.8211,301.926,0.4929,-3.2447,-4.9086,18.0179,2.6159,2.6132,,,18.6878,18.8513,-0.125,-0.3272,0.2022,-4.1571,-6.8495,-8.8607,-9.4614,-8.9522,-8.4205,-7.769,-6.4135,0.6698,1.6698,2.6698,3.6698,4.6698,5.6698,6.6698,9.6698,-6.2639,2.3156,-3.5287,72.893208,-54.295131,228.81,72.893207,-54.295124,227.14,13.89,2.1512,-0.5384,73.8834,124.3543,-0.0504
2010-06-01,984.6027,4.2337,76.7056,76.7085,4.0469,2.3831,89.538,2.0073,0.0162,281.4329,283.9952,170.1366,170.1366,0.6008,294.6233,318.6495,0.5565,-0.118,0.5021,22.6309,2.4254,2.444,,,17.9562,18.1746,-0.9211,-0.984,0.0629,-0.0445,-1.8178,-4.772,-6.7046,-7.3427,-7.6254,-7.5133,-6.5787,,0.8742,1.8742,2.8742,3.8742,4.8742,5.8742,8.8742,-6.2453,6.1261,-3.1424,72.893206,-54.295138,227.47,72.893206,-54.295128,226.9,13.84,6.3749,4.2264,78.1081,96.5721,-0.0005
2010-07-01,982.6347,5.0695,72.8264,72.8264,4.0711,2.79,88.6488,2.5194,0.0594,298.5264,300.3918,175.3418,175.3418,0.5729,285.8371,319.3059,0.421,-0.0191,0.8376,29.9145,2.4257,2.4481,,,16.9353,17.1721,-1.9847,-1.9867,0.002,0.2821,0.5052,-1.4081,-3.8161,-5.1344,-6.063,-6.4659,-6.3879,,,0.8101,1.8101,2.8101,3.8101,4.8101,7.8101,,9.3277,-2.8789,72.893203,-54.295135,227.52,72.893205,-54.295133,226.65,13.78,6.8081,5.0473,73.8364,93.2288,0.0661
2010-08-01,985.3403,5.118,74.9429,74.9455,4.1964,3.2071,95.3162,2.9318,-0.2728,184.636,180.4259,102.8974,102.8974,0.5753,305.1634,319.1019,0.6246,-0.0213,3.9546,37.5371,2.5144,2.5377,,,15.9959,16.2074,-2.9492,-2.9512,0.0019,0.3332,0.5564,0.2022,-1.4506,-3.0115,-4.3566,-5.2972,-6.1545,,,,0.8456,1.8456,2.8456,3.8456,6.8456,,7.9322,-2.283,72.893201,-54.295141,226.72,72.893203,-54.295137,226.4,13.52,5.6589,5.1037,76.0551,100.5287,-0.2802
2010-09-01,981.9312,0.5797,77.5336,77.8565,3.1756,2.5035,102.7737,2.0933,-0.4746,87.6969,85.7345,63.0709,63.0709,,274.1203,306.4343,0.5315,-1.9086,-4.9598,18.5223,2.4877,2.4901,,,15.6273,15.8707,-3.3919,-3.4242,0.0323,-0.5063,-0.2131,-0.4497,-0.8259,-1.8367,-3.0829,-4.1495,-5.6965,,,,0.4029,1.4029,2.4029,3.4029,6.4029,,7.4111,-1.0473,72.893199,-54.295136,225.28,72.893202,-54.295142,226.16,13.45,0.7159,0.578,78.7974,114.2447,-0.4826
2010-10-01,981.8222,-3.9708,69.3907,71.5747,2.0979,3.778,108.0717,3.226,-1.0527,20.4962,18.8049,16.8134,16.8134,,251.1451,283.7147,0.506,-7.0798,-7.1918,28.1816,2.5425,2.5235,,,15.4972,15.7416,-3.4122,-3.4325,0.0203,-3.6605,-4.8822,-5.1987,-3.4859,-2.6934,-3.0155,-3.655,-5.1928,,,,0.3827,1.3827,2.3827,3.3827,6.3827,,7.4987,-1.0132,72.8932,-54.295143,224.62,72.893201,-54.295147,225.91,13.05,-4.5882,-3.959,71.4925,113.3769,-1.0476
2010-11-01,983.3072,-4.446,67.0542,69.3418,1.9952,5.498,107.1029,4.8159,-1.4818,0.6557,0.5143,0.5993,0.5993,,251.9816,280.4278,0.5356,-7.9219,-11.1847,50.8289,2.5527,2.5317,,,15.5236,15.7541,-3.4205,-3.4366,0.0161,-6.9148,-6.7511,-7.103,-7.0764,-5.5514,-4.6557,-4.3496,-4.8752,,,,0.3744,1.3744,2.3744,3.3744,6.3744,,7.5521,-1.05,72.893211,-54.295155,231.87,72.893199,-54.295151,225.66,12.74,-5.1902,-4.4555,69.5266,112.1276,-1.4822
2010-12-01,990.4277,-7.7687,69.2271,73.5216,1.567,6.6107,110.0062,5.2839,-1.9238,0.0,0.0,0.0,0.0,,235.3797,268.398,0.5174,-10.7443,-9.638,48.5105,2.4896,2.4537,,,15.579,15.7558,-3.342,-3.4479,0.1059,-7.0663,-7.1008,-7.3621,-6.3681,-5.3951,-5.0886,-4.9446,-4.9097,,,,0.4529,1.4529,2.4529,3.4529,6.4529,,7.5971,-1.0862,72.893202,-54.295174,223.59,72.893198,-54.295156,225.42,12.58,-8.458,-7.7459,74.0708,124.404,-1.923
2011-01-01,982.4045,-10.6015,66.821,72.3094,1.2598,6.3665,104.4486,5.7209,-1.474,0.1083,0.1083,0.1843,0.1843,,217.4149,253.7175,0.4884,-14.36,-10.5988,48.6883,2.5931,2.5415,,,15.5184,15.7573,-3.4297,-3.4546,0.025,-12.0661,-12.539,-12.7219,-10.7242,-8.055,-6.4783,-5.6383,-5.0198,,,,0.3652,1.3652,2.3652,3.3652,6.3652,,7.6128,-1.1319,72.893187,-54.295216,221.8,72.893197,-54.29516,225.17,12.45,-11.2437,-10.6011,70.9214,111.4358,-1.457
2011-02-01,967.3205,-16.4456,71.591,80.625,0.9046,4.302,106.0311,3.5366,-1.0162,,,,,,,,,,,,2.6484,2.5668,,,15.3743,15.754,-3.4516,-3.4605,0.0088,-14.2515,-15.3456,-15.7242,-13.8259,-10.9393,-8.8523,-7.2978,-5.3246,,,,0.3433,1.3433,2.3433,3.3433,6.3433,,7.7049,-1.1836,72.89318,-54.295168,221.59,72.893195,-54.295165,224.93,12.49,-17.0811,-16.4283,79.6593,122.7897,-1.0533
2011-03-01,981.3223,-19.4445,63.3161,74.4915,0.5818,4.3623,107.6276,3.5202,-1.1185,75.1226,71.9082,53.8557,53.8557,,175.5495,223.3611,0.3559,-22.3635,-2.5348,33.0109,2.6458,2.5493,,,15.5177,15.7667,-3.4421,-3.4607,0.0186,-18.3265,-19.9311,-19.9175,-17.207,-13.4816,-10.7744,-8.842,-5.9333,,,,0.3528,1.3528,2.3528,3.3528,6.3528,,7.7001,-1.2189,72.893207,-54.295216,229.46,72.893194,-54.295169,224.69,13.73,-19.2963,-19.4093,75.2924,122.8161,-1.1008
2011-04-01,973.5445,-18.7715,60.8395,71.5247,0.5823,2.0499,100.2463,1.7295,-0.3126,,,,,0.7865,173.566,225.5385,0.2981,-21.7686,-0.6528,11.5932,2.663,2.5695,,,15.4475,15.7691,-3.4567,-3.4608,0.0041,-18.7604,-18.6818,-18.8336,-17.2889,-14.7521,-12.5369,-10.5374,-6.7241,,,,0.3382,1.3382,2.3382,3.3382,6.3382,,7.6096,-1.1855,72.893188,-54.295168,225.15,72.893193,-54.295174,224.45,14.19,-16.4718,-18.7589,72.6189,104.5849,-0.3044
2011-05-01,989.542,-4.3939,78.1674,81.2072,2.207,2.3796,107.5462,1.2136,-0.3837,270.5635,272.8351,218.5925,218.5925,0.8018,263.4199,292.6203,0.6551,-4.9928,-9.0243,10.7399,2.5486,2.5268,,,15.5944,15.7667,-3.415,-3.4609,0.0459,-6.9622,-4.8985,-5.052,-8.4572,-10.6435,-11.2143,-10.6428,-7.5218,,,,0.3799,1.3799,2.3799,3.3799,6.3799,,7.4051,-1.0234,72.893189,-54.295166,226.54,72.893191,-54.295178,224.2,13.95,-1.3943,-4.382,82.4247,156.7831,-0.3845
2011-06-01,993.6762,3.6282,69.6632,69.7539,3.5168,2.8403,101.1378,2.3126,-0.4553,325.1211,328.3895,212.2693,212.2693,0.6469,275.5368,316.2188,0.3874,-0.496,,,2.4702,2.4849,,,15.3101,15.4438,-3.7143,-3.7273,0.013,-0.65,0.1824,0.0569,-1.3569,-4.6857,-7.141,-8.2889,-7.7447,,,,,1.0805,2.0805,3.0805,6.0805,,6.334,-1.7974,72.893188,-54.295183,226.59,72.89319,-54.295183,223.96,13.88,6.2906,3.594,71.2258,110.2622,-0.4697
2011-07-01,983.5706,6.5465,65.4416,65.4416,4.0514,4.5461,93.5042,4.2862,-0.2625,276.3751,278.1329,157.4578,157.4578,0.567,295.3832,320.9679,0.4411,0.0,,,2.4591,2.488,,,14.1209,14.349,-4.8079,-4.8099,0.0019,0.4562,0.6781,0.6597,0.4704,-0.3644,-2.7758,-5.0184,-7.1042,,,,,,0.9869,1.9869,4.9869,,6.2207,-1.6987,72.89319,-54.29518,225.59,72.893189,-54.295187,223.71,13.72,7.5642,6.5915,66.3014,94.6356,-0.2754
2011-08-01,988.5076,4.2487,74.7315,74.7315,3.9266,3.0589,88.2469,2.8296,0.0866,199.8083,199.4884,116.4692,116.4692,0.579,291.1989,317.7754,0.5228,-0.0726,,,2.5407,2.5604,2.4763,2.4936,13.0404,13.2224,-5.9338,-5.9361,0.0023,,,,,,,,,,,,,,,0.861,3.861,,7.0215,-1.1261,72.893188,-54.295182,224.06,72.893187,-54.295192,223.46,13.42,5.0001,4.2391,75.6547,91.0897,0.1014
2011-09-01,976.2695,-0.4556,67.8875,68.5686,2.6168,4.1542,99.1661,3.7393,-0.6034,96.4702,91.9338,62.4228,62.4228,,258.516,301.2179,0.4193,-3.0086,,,2.4844,2.4801,2.4247,2.4226,,,-6.2943,-6.3079,0.0136,,,,,,,,,,,,,,,0.5006,3.5006,,7.5158,-1.976,72.893188,-54.29518,222.29,72.893186,-54.295196,223.22,13.33,-0.4944,-0.4531,68.7473,105.507,-0.6043
2011-10-01,981.738,-7.5736,69.5351,74.2051,1.5743,4.6078,96.6126,4.1291,-0.4787,22.9825,19.5038,17.3424,17.3424,,239.0913,269.8516,0.5467,-10.3667,-7.2207,35.2103,2.4792,2.4435,2.3948,2.3613,18.3632,,-6.274,-6.333,0.059,,,,,,,,,,,,,,,0.5208,3.5208,,7.6809,-2.1955,72.89319,-54.295183,221.88,72.893185,-54.295201,222.97,12.83,-8.079,-7.5746,72.376,103.6164,-0.4542
2011-11-01,974.2415,-10.7124,64.2822,68.9947,1.2594,6.016,95.2969,5.6322,-0.5222,0.7749,0.522,0.7573,0.7573,,222.12,256.4821,0.4949,-13.7705,-11.5339,45.5638,2.5168,2.4664,2.4412,2.3921,12.6718,,-6.3029,-6.333,0.0301,,,,,,,,,,,,,,,0.4919,3.4919,,7.7429,-2.2509,72.893191,-54.295247,221.98,72.893184,-54.295205,222.73,12.54,-11.4083,-10.6953,70.8266,98.4147,-0.5392
2011-12-01,970.2785,-15.4259,61.0302,69.6296,0.7729,6.6299,95.7692,6.3502,-0.6416,0.0,0.0,0.0,0.0,,195.4038,238.5637,0.4122,-18.2437,-7.3902,52.8649,2.5519,2.4791,2.4872,2.4155,12.4972,12.8493,-6.3154,-6.3341,0.0188,,,,,,,,,,,,,,,0.4795,3.4795,,7.8209,-2.287,72.893178,-54.295263,220.08,72.893182,-54.29521,222.48,12.4,-16.0929,-15.4291,70.9001,100.929,-0.652
2012-01-01,974.5253,-18.9612,68.0808,79.8969,0.6535,2.9796,98.836,2.6714,-0.4153,,,,,,,,,,,,2.5779,2.4867,2.5038,2.4149,12.5429,12.8554,-6.3219,-6.3398,0.018,,,,,,,,,,,,,,,0.473,3.473,,7.8944,-2.3297,72.893175,-54.295249,217.4,72.893181,-54.295215,222.23,12.26,-19.7728,-18.9582,82.8239,117.0364,-0.4493
2012-02-01,977.1777,-20.8084,73.0771,85.6079,0.6509,2.38,97.8217,1.8136,-0.2491,,,,,,,,,,,,2.5368,2.4377,2.47,2.3733,12.5829,12.8707,-6.2786,-6.3398,0.0613,,,,,,,,,,,,,,,0.5163,3.5163,,7.9211,-2.3515,72.893188,-54.29521,223.25,72.89318,-54.295219,221.99,12.4,-21.4675,-20.8136,88.2337,114.5293,-0.2445
2012-03-01,981.5273,-22.7764,68.3157,80.6227,0.5332,2.1178,100.4558,1.6691,-0.308,,,,,,,,,,,,2.5436,2.4344,2.4636,2.3578,12.6294,12.8765,-6.2687,-6.3398,0.0711,,,,,,,,,,,,,,,0.5261,3.5261,,7.9366,-2.3698,72.893192,-54.295232,225.86,72.893178,-54.295224,221.75,13.47,-22.4321,-22.7652,81.8809,112.7578,-0.3057
2012-04-01,987.2311,-11.3085,71.9954,78.4108,1.2799,2.5106,100.9615,2.0265,-0.3925,,,,,0.8231,,,,,,,2.33,2.281,2.2695,2.222,12.728,12.9219,-6.1242,-6.3398,0.2156,,,,,,,,,,,,,,,0.6706,3.6706,,7.7146,-2.2522,72.893184,-54.295208,222.07,72.893177,-54.295228,221.5,13.88,-9.2621,-11.2811,82.5186,114.6149,-0.38
2012-05-01,990.7269,-1.8054,80.379,81.9906,2.8063,1.873,99.2343,0.9417,-0.1531,276.6975,276.7217,226.116,226.116,0.8145,278.7117,302.4417,0.6788,-3.0599,,,2.3021,2.2928,2.2343,2.227,12.7909,12.9522,-6.1356,-6.3398,0.2042,,,,,,,,,,,,,,,0.6592,3.6592,,7.5368,-2.1315,72.893182,-54.295217,223.23,72.893176,-54.295233,221.26,13.93,1.2898,-1.8074,83.9709,140.3489,-0.1401
2012-06-01,992.6355,4.9597,72.254,72.2688,4.0003,3.336,90.0511,2.9644,-0.0026,268.751,270.3121,159.8155,159.8155,0.5962,299.9715,319.7276,0.5664,-0.0511,,,2.4781,2.4994,2.4442,2.4663,12.2925,12.4359,-6.723,-6.7286,0.0057,,,,,,,,,,,,,,,,3.0719,,5.4921,-2.3154,72.893182,-54.295228,224.09,72.893174,-54.295237,221.01,13.63,6.6754,4.957,71.7921,98.6947,-0.0136
2012-07-01,984.6069,5.9699,71.5779,71.5779,4.2505,3.2797,87.7803,3.0453,0.118,271.1201,271.1964,152.6952,152.6952,0.5587,303.3507,320.981,0.5562,0.0,,,2.4671,2.4929,2.4632,2.49,11.0475,11.2659,-7.891,-7.893,0.002,,,,,,,,,,,,,,,,1.9038,,7.4568,-1.2935,72.893181,-54.295216,221.81,72.893173,-54.295242,220.77,13.62,7.4033,5.9784,72.3827,87.1248,0.112
