time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2009-08-01,,,70.0759,70.6225,,,,,,,,,,,,,,,,,2.4441,2.4421,1.3717,1.3706,,,0.092,,,0.1753,-1.1041,-2.6518,-4.3766,-5.5333,-6.2506,-6.6367,-6.5577,,,,,,,,,,,,72.891435,-53.535011,980.71,,,,13.79,,,,,
2009-09-01,886.9607,-7.9461,73.9092,78.5402,1.8457,5.5412,118.7775,4.445,-2.4414,96.3461,97.5634,64.4652,64.4652,,226.9568,274.7957,0.4329,-9.0987,-14.4614,18.0867,2.5944,2.5552,1.3967,1.3762,17.7648,18.8947,0.0309,-0.0161,0.047,-5.2574,-2.9489,-2.6883,-3.7244,-4.7045,-5.4768,-6.0034,-6.3887,,0.6759,1.6759,2.6759,3.6759,4.6759,5.6759,8.6759,-6.5589,0.0648,0.5969,72.891403,-53.535383,979.54,72.891236,-53.536027,977.43,13.53,-7.5267,-7.9476,78.2646,124.4532,-2.4584
2009-10-01,893.1416,-13.5763,72.4906,81.541,1.1452,6.7255,111.961,5.9358,-2.3935,23.9813,24.9491,19.5915,19.5915,,209.9496,250.7616,0.4895,-15.0572,-5.4617,28.0585,2.6063,2.5408,1.383,1.3483,17.8289,18.9011,0.0583,-0.0161,0.0744,-12.2046,-8.9188,-6.5126,-5.5087,-5.1446,-5.2308,-5.4696,-6.0699,,0.7033,1.7033,2.7033,3.7033,4.7033,5.7033,8.7033,-6.3297,0.0499,0.6004,72.891363,-53.535865,979.21,72.891197,-53.536524,976.93,13.12,-13.6638,-13.5678,80.1347,117.1989,-2.3897
2009-11-01,886.8459,-19.8755,64.7823,77.0206,0.6204,5.8813,107.8833,5.2872,-1.706,0.5496,0.6293,0.6975,0.6975,,175.9694,222.4444,0.3739,-22.6346,-1.7136,41.2635,2.6106,2.5135,1.4047,1.3526,17.7764,18.9074,0.0689,-0.0161,0.085,-18.3034,-13.4826,-10.001,-8.0446,-6.7723,-6.1093,-5.7563,-5.848,,0.7139,1.7139,2.7139,3.7139,4.7139,5.7139,8.7139,-5.8879,0.1063,0.5208,72.891306,-53.536429,978.66,72.891157,-53.537021,976.43,12.58,-20.188,-19.8603,76.139,110.3536,-1.6945
2009-12-01,895.2881,-13.5234,68.0969,74.7357,1.1733,8.1475,117.6675,6.9296,-3.6331,0.0,0.0,0.0,0.0,,204.202,247.2398,0.4216,-16.1273,-8.3952,50.4804,2.5859,2.5205,1.4193,1.3835,17.8683,18.9205,0.0517,-0.0161,0.0678,-15.8218,-14.4602,-12.2156,-10.4345,-8.7254,-7.4894,-6.5971,-5.8609,,0.6967,1.6967,2.6967,3.6967,4.6967,5.6967,8.6967,-5.5421,-0.0043,0.4553,72.891266,-53.536899,979.74,72.891117,-53.537519,975.93,12.52,-13.8171,-13.5206,74.494,121.7446,-3.5603
2010-01-01,886.9807,-18.5888,78.6719,88.2176,1.0164,3.9968,110.4159,3.0649,-1.1408,,,,,,,,,,,,2.2986,2.2188,1.0678,1.031,17.7905,18.9202,0.3798,-0.0161,0.3959,-12.1814,-12.0273,-11.1293,-10.4244,-9.3923,-8.4187,-7.4679,-6.1266,,1.0248,2.0248,3.0248,4.0248,5.0248,6.0248,9.0248,-5.691,-0.08,0.305,72.891221,-53.537473,979.88,72.891077,-53.538024,975.42,12.33,-18.8377,-18.6147,87.7258,126.1129,-1.1389
2010-02-01,897.2085,-14.8647,68.911,76.7188,1.0571,7.4558,116.4747,6.4069,-3.1908,10.6595,11.107,10.3233,10.3233,,205.0484,243.6725,0.4876,-17.0871,-8.5295,41.1574,2.4268,2.3592,1.1481,1.1161,17.8931,18.9274,0.2642,-0.0161,0.2803,-12.7804,-12.0368,-10.9193,-10.3129,-9.4656,-8.6833,-7.8515,-6.4173,,0.9093,1.9093,2.9093,3.9093,4.9093,5.9093,8.9093,-5.8958,-0.08,0.305,72.89116,-53.537946,977.09,72.891039,-53.538505,974.93,12.5,-15.0348,-14.8496,78.5042,121.0361,-3.1667
2010-03-01,891.4235,-16.5255,61.5822,70.5094,0.7957,6.2029,114.1357,5.464,-2.4482,78.4308,79.3474,66.0346,66.0346,,178.8411,234.1502,0.2793,-19.3965,-6.3491,45.7957,2.467,2.3908,1.165,1.1291,17.8425,18.9307,0.2451,-0.0161,0.2612,-15.1167,-13.6185,-11.8108,-10.8034,-9.7656,-8.9373,-8.1135,-6.6639,,0.8902,1.8902,2.8902,3.8902,4.8902,5.8902,8.8902,-6.1276,-0.08,0.305,72.891145,-53.538466,983.73,72.891,-53.538986,974.44,13.66,-16.283,-16.5063,73.0378,116.0226,-2.4282
2010-04-01,896.9959,-12.9016,65.2909,73.0027,1.0781,5.9768,110.0371,5.3278,-1.9431,195.9411,196.749,155.9279,155.9302,0.7882,192.139,251.7528,0.2822,-14.6859,-10.3777,28.6971,2.4421,2.3835,1.1713,1.1433,17.8952,18.9314,0.2389,-0.0161,0.255,-12.1585,-12.7307,-11.8066,-11.1697,-10.2098,-9.3435,-8.4617,-6.8855,,0.884,1.884,2.884,3.884,4.884,5.884,8.884,-6.2992,-0.08,0.305,72.891078,-53.539051,978.2,72.890961,-53.539483,973.94,14.04,-11.6201,-12.9037,73.3941,114.7299,-1.9163
2010-05-01,901.3057,-3.0896,70.3202,71.8853,2.5544,4.2431,112.6656,3.45,-1.4407,299.6221,299.7968,219.3569,219.3569,0.7317,241.7542,293.9088,0.358,-4.9258,-16.188,28.7759,2.4363,2.422,1.306,1.299,17.9033,18.8992,0.1286,-0.0266,0.1552,-3.5661,-7.0858,-8.8417,-9.8464,-9.7554,-9.3182,-8.6256,-7.1025,,0.7736,1.7736,2.7736,3.7736,4.7736,5.7736,8.7736,-6.4817,-0.08,0.305,72.891036,-53.539537,978.78,72.890921,-53.539981,973.44,13.94,-0.6043,-3.0911,72.9856,124.5585,-1.421
