time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-03-01,,,40.6168,47.8226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,940.404,-13.4389,47.5566,53.3389,,3.5298,,,,159.4696,150.1936,118.6678,,0.7985,189.5152,240.2045,,-17.789,,,2.6544,,0.4046,,,10.8032,,,,,,-16.3483,-14.6252,-13.9032,-13.1838,-12.4794,-11.6682,-10.9666,-8.9703,,,,,,,,,,-5.0781,3.2336,,74.625076,-21.376023,659.88,,,,,,,,,
2008-05-01,941.6507,-4.7776,51.5776,53.5024,,2.748,,,,274.1776,265.6109,205.6022,,0.8116,229.3258,280.3405,,-7.784,,,2.5788,,0.3863,,,10.6119,,,,,,-10.0642,-13.3097,-13.3483,-12.9883,-12.4708,-11.7695,-11.1422,-9.2629,,,,,,,,,,-4.8101,3.0691,,74.62507,-21.376015,660.75,,,,,,,,,
2008-06-01,940.1511,4.2152,58.0614,58.0732,,3.0721,,,,285.5918,277.4795,168.9758,170.3573,0.6446,272.228,317.1275,,0.6135,,,2.638,,1.0631,,,9.8371,,,,,,0.8637,-3.1519,-7.8974,-10.273,-11.1437,-11.1552,-10.8694,-9.3246,,,,,,,,,,-5.4341,1.2108,,74.625064,-21.375987,660.71,,,,,,,,,
2008-07-01,936.7878,6.6136,56.6687,56.6687,,4.0706,,,,274.8247,270.0882,72.941,72.941,0.2868,276.2288,319.6892,,1.158,,,2.6685,,2.286,,,8.3844,,,,,,2.8212,3.0654,-0.5167,-4.8663,-7.6647,-9.1218,-9.7967,-9.3803,,,,,,,,,,-4.6871,-0.526,,74.62505,-21.375936,659.48,,,,,,,,,
2008-08-01,932.6727,4.1677,61.5851,61.6061,,3.9181,,,,154.7557,147.0121,52.2467,54.161,0.405,277.4883,314.7287,,0.0393,,,2.6578,,3.4701,,,6.9382,,,,,,0.8384,1.1242,1.6407,-0.2417,-3.252,-5.7588,-7.4856,-8.9013,,,,,,,,,,-9.0249,-0.2195,,74.62503,-21.375889,657.82,,,,,,,,,
2008-09-01,928.1336,-2.3604,69.4858,70.8069,,3.4864,,,,69.6659,65.8589,37.7818,36.8039,0.4713,256.3614,291.4548,,-5.3442,,,2.5356,,3.5645,,,6.739,,,,,,-0.6822,0.6909,-0.6521,-0.7961,-2.0592,-3.7875,-5.4871,-8.0102,,,,,,,,,,-9.1067,0.4445,,74.625023,-21.375873,655.95,,,,,,,,,
2008-10-01,925.7983,-12.0159,47.9422,52.7458,,5.2159,,,,16.8268,14.7053,12.4425,,0.4604,196.5001,242.488,,-17.2095,,,2.3686,,3.3674,,,6.7493,,,,,,-5.6111,-4.0069,-6.6675,-6.5398,-5.3889,-4.9728,-5.3704,-7.1593,,,,,,,,,,-9.1183,0.49,,74.625019,-21.375856,655.05,,,,,,,,,
2008-11-01,928.965,-17.0634,52.938,61.2976,,4.5679,,,,-0.865,0.1484,0.2032,0.0316,0.4604,185.3721,227.0557,,-21.4124,,,2.4375,,3.5021,,,6.7112,,,,,,-11.9321,-11.7791,-12.7095,-12.8504,-10.1855,-8.021,-6.9873,-6.864,,,,,,,,,,-9.1124,0.5311,,74.625011,-21.375846,654.22,,,,,,,,,
2008-12-01,922.3106,-13.9962,55.1014,61.6834,,5.1222,,,,-0.9509,0.0,0.0,0.0,0.4604,204.2281,238.1854,,-18.5493,,,2.3721,,3.0422,,,6.7348,,,,,,-13.7118,-14.2835,-14.4345,-14.1233,-12.8548,-10.9669,-9.3543,-7.2614,,,,,,,,,,-9.0401,0.5344,,74.625009,-21.375831,655.25,,,,,,,,,
