time,p_u,t_u,rh_u,rh_u_wrt_ice_or_water,qh_u,wspd_u,wdir_u,wspd_x_u,wspd_y_u,dsr,dsr_cor,usr,usr_cor,albedo,dlr,ulr,cc,t_surf,dlhf_u,dshf_u,z_boom_u,z_boom_cor_u,z_stake,z_stake_cor,z_pt,z_pt_cor,z_surf_combined,z_ice_surf,snow_height,rainfall_u,rainfall_cor_u,t_i_1,t_i_2,t_i_3,t_i_4,t_i_5,t_i_6,t_i_7,t_i_8,d_t_i_1,d_t_i_2,d_t_i_3,d_t_i_4,d_t_i_5,d_t_i_6,d_t_i_7,d_t_i_8,t_i_10m,tilt_x,tilt_y,rot,gps_lat,gps_lon,gps_alt,lat,lon,alt,batt_v,t_rad,t_i,rh_i_wrt_ice_or_water,wdir_i,wspd_y_i
2008-03-01,,,45.6896,56.3668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-04-01,,-13.6922,45.8929,51.3257,,2.9521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644162,-21.47072,880.73,,,,,,,,,
2008-05-01,,-5.5974,50.5279,52.633,,2.5846,,,,,,,,,,,,,,,,,0.4537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644159,-21.470674,881.19,,,,,,,,,
2008-06-01,,3.1694,59.8838,59.8983,,3.2945,,,,,,,,,,,,,,,,,0.8668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644155,-21.470625,881.34,,,,,,,,,
2008-07-01,,5.3116,59.784,59.7841,,3.6893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644145,-21.470539,879.95,,,,,,,,,
2008-08-01,,2.944,63.3417,63.4171,,3.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644129,-21.470462,878.77,,,,,,,,,
2008-09-01,,-3.1983,68.4829,70.0369,,2.8007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644122,-21.470403,878.2,,,,,,,,,
2008-10-01,,-12.9328,48.9048,54.2504,,4.6897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644118,-21.470352,877.78,,,,,,,,,
2008-11-01,,-18.007,53.7449,62.671,,4.3462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644114,-21.470299,877.5,,,,,,,,,
2008-12-01,,-14.4267,55.1279,62.1768,,4.7101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644108,-21.47025,877.65,,,,,,,,,
2009-01-01,,-15.1839,61.9126,69.126,,3.3982,,,,,,,,,,,,,,,,,0.2618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644102,-21.470197,877.81,,,,,,,,,
2009-02-01,,-19.9192,55.3587,65.3826,,3.0319,,,,,,,,,,,,,,,,,0.2439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644098,-21.470148,877.92,,,,,,,,,
2009-03-01,,-19.4812,47.4517,56.5058,,2.9897,,,,,,,,,,,,,,,,,0.0105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644093,-21.4701,878.17,,,,,,,,,
2009-04-01,,-16.3706,49.3415,56.4401,,2.5864,,,,,,,,,,,,,,,,,0.0693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644086,-21.470049,878.37,,,,,,,,,
2009-05-01,,-2.2808,59.7852,61.08,,2.5045,,,,,,,,,,,,,,,,,0.6381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644083,-21.470006,879.26,,,,,,,,,
2009-06-01,,-0.0431,66.1785,66.6751,,2.373,,,,,,,,,,,,,,,,,0.6557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644078,-21.469964,879.34,,,,,,,,,
2009-07-01,,4.7984,65.5578,65.5785,,4.0555,,,,,,,,,,,,,,,,,1.3388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644071,-21.469896,878.82,,,,,,,,,
2009-08-01,,1.9056,67.2143,67.3759,,3.055,,,,,,,,,,,,,,,,,2.2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644059,-21.469802,878.16,,,,,,,,,
2009-09-01,,-6.1187,59.3621,62.5506,,3.6798,,,,,,,,,,,,,,,,,2.2266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644053,-21.469744,877.38,,,,,,,,,
2009-10-01,,-12.7374,51.1969,57.55,,3.7603,,,,,,,,,,,,,,,,,1.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.64405,-21.469693,877.62,,,,,,,,,
2009-11-01,,-14.9477,57.4366,65.0884,,3.2611,,,,,,,,,,,,,,,,,1.8915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644045,-21.469647,876.99,,,,,,,,,
2009-12-01,,-11.9827,53.8079,57.809,,4.3554,,,,,,,,,,,,,,,,,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.64404,-21.469604,876.53,,,,,,,,,
2010-01-01,,-13.5797,55.8037,61.6658,,3.0086,,,,,,,,,,,,,,,,,1.7318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644035,-21.469558,876.74,,,,,,,,,
2010-02-01,,-17.0734,49.5025,56.922,,3.5993,,,,,,,,,,,,,,,,,1.7059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644031,-21.469516,877.09,,,,,,,,,
2010-03-01,,-19.3751,46.3651,55.3738,,3.1695,,,,,,,,,,,,,,,,,1.7342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644025,-21.469473,877.84,,,,,,,,,
2010-04-01,,-12.6847,56.1227,62.5848,,3.7773,,,,,,,,,,,,,,,,,1.6397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.64402,-21.469432,877.78,,,,,,,,,
2010-05-01,,-4.5218,64.2434,66.6677,,3.1668,,,,,,,,,,,,,,,,,1.1762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644016,-21.469392,879.2,,,,,,,,,
2010-06-01,,2.2375,64.4856,64.6179,,2.515,,,,,,,,,,,,,,,,,0.9384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644013,-21.469348,879.54,,,,,,,,,
2010-07-01,,5.2491,57.8092,57.8101,,3.4195,,,,,,,,,,,,,,,,,1.8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.644003,-21.469276,879.18,,,,,,,,,
2010-08-01,,2.3828,61.5739,61.7444,,3.1243,,,,,,,,,,,,,,,,,4.5043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643987,-21.469183,877.52,,,,,,,,,
2010-09-01,,-3.7056,71.136,73.1931,,2.5346,,,,,,,,,,,,,,,,,2.5507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643981,-21.469123,877.11,,,,,,,,,
2010-10-01,,-11.4691,56.7149,61.7706,,3.8958,,,,,,,,,,,,,,,,,0.0784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643978,-21.469083,876.67,,,,,,,,,
2010-11-01,,-14.204,43.9609,48.8278,,3.3029,,,,,,,,,,,,,,,,,0.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643977,-21.469044,876.49,,,,,,,,,
2010-12-01,,-14.1611,48.1428,54.0658,,5.6483,,,,,,,,,,,,,,,,,0.0604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643972,-21.469005,875.92,,,,,,,,,
2011-01-01,,-16.7929,45.3225,51.9317,,4.3279,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643967,-21.468955,876.01,,,,,,,,,
2011-02-01,,-13.7876,63.4451,71.236,,3.2533,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643963,-21.46891,876.1,,,,,,,,,
2011-03-01,,-20.2245,52.2181,62.2318,,4.761,,,,,,,,,,,,,,,,,0.0074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643955,-21.468864,876.71,,,,,,,,,
2011-04-01,,-13.1855,58.1223,64.7973,,3.0956,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.643947,-21.468815,878.21,,,,,,,,,
